codmpio,municipio,depto,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,tratamiento,alf_A1938,alf_A1951,alf_A1964,alf_A1973,numero_prestamos,CP - Promedio,MP - Promedio,LP - Promedio,T - Promedio
5004,Abriaquí,Antioquia,0,0,0,0,0,0,0,0,0,1256,1484,1942,2422,0,0,0,0,0
5021,Alejandría,Antioquia,0,0,0,0,0,0,0,0,0,6201,5899,9163,11004,0,0,0,0,0
5030,Amagá,Antioquia,439,43.21,111,25.29,66,11.79,616,80.29,1,5361,4896,7313,10100,1,43.21,25.29,11.79,80.29
5031,Amalfi,Antioquia,3775,19711.09,1837,24446.07,8,9.85,5620,44167,1,14118,20379,18552,22278,8,2463.88625,3055.75875,1.23125,5520.875
5036,Angelópolis,Antioquia,0,0,0,0,0,0,0,0,0,4363,4350,5352,5279,0,0,0,0,0
5038,Angostura,Antioquia,0,0,0,0,0,0,0,0,0,3975,3708,5143,0,0,0,0,0,0
5040,Anorí,Antioquia,82,12.25,39,6.13,0,0,121,18.38,1,5279,4755,9816,8666,1,12.25,6.13,0,18.38
5042,Santafé de Antioquia,Antioquia,2074,1669.28,452,841.56,96,16.8,2622,2527.65,1,1552,0,2337,2692,6,278.2133333,140.26,2.8,421.275
5044,Anza,Antioquia,0,0,0,0,0,0,0,0,0,3357,2614,3298,3942,0,0,0,0,0
5045,Apartadó,Antioquia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5051,Arboletes,Antioquia,670,172.49,207,230.61,0,0,877,403.1,1,0,0,0,0,1,172.49,230.61,0,403.1
5055,Argelia,Antioquia,0,0,0,0,0,0,0,0,0,2996,0,6489,0,0,0,0,0,0
5059,Armenia,Antioquia,393,125.47,129,72.69,22,13.94,544,212.1,1,6592,7820,7937,13367,2,62.735,36.345,6.97,106.05
5079,Barbosa,Antioquia,614,20.14,235,15.61,56,10.15,905,45.9,1,9257,22495,58617,0,1,20.14,15.61,10.15,45.9
5086,Belmira,Antioquia,0,0,0,0,0,0,0,0,0,2527,3191,2998,3122,0,0,0,0,0
5088,Bello,Antioquia,0,0,0,0,0,0,0,0,0,4340,3502,6040,6688,0,0,0,0,0
5091,Betania,Antioquia,227,52.65,65,17.55,9,3.86,301,74.06,1,0,0,0,0,1,52.65,17.55,3.86,74.06
