Oficina,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor
MEDELLIN,1.801,596.401.73,960,5.888. 123.63,2. 761,9.484. 525.36
Abejorral,347,432.885.00,32,68.439.50,379,501.324.50
Amalfi,535,582. 805. 18,277,"839.042, 39",812,"1,421. 847.57"
Andes,415,"974,480. 14",322,726.876.55,737,1.701.356.69
Bolivar,359,1. 371.550.00,52,250. 131.25,411,1.621.681. 25
Concordia,434,1.048. 620.00,42,204.550.00,476,1.253. 170.00
Fredonia,574,1.797.804.84,54,222.694. 44,628,"2, 020,499.28"
Frontino,958,1. 073.836.62,687,1.507.707. 39,"1,645",2.581.544.01
Granada,913,563. 094.52,82,125.503. 15,995,688.597.67
Ituango.,817,868.599.00,184,"331, 329.46",1.001•,1.199.928.46
Jerico,308,679.811. 31,74,356.789.33,382,1.036.600.64
Liborina,645,"496.723,22",125,260. 778.41,770,757.501.63
Marinilla,568,316.219.44,173,"156.103, 32",741,472. 322. 76
Rionegro,435,406.556. 27,204,480. 376.78,639,886.931.05
Santa Rosa de Osos,139,"117. 473, 51",455,959.047.00,594,1. 076.520.51
Sonson,915,"692. 997, 00",108,"223. 147,18",1. 023,916. 144.18
Sopetrán,725,582. 407.00,87,404.681.00,812,987. 088.00
Támesis,774,789.011.16,239,"416.952, 51",1.013,1.205. 963.67
Turbo,301,"184.677, 14",129,380.617. 10,430,565. 294. 24
Urrao,651,597. 677. 94,146,508. 109.91,797,1.105.787.85
Yarumal,825,795.754.91,491,"1, 179.075.73",1. 316,1.974.830.64
Yolombo,897,"851,004.27",229,932.430 89,1. 126,1783.435.16
BARRANQUILLA,726,"1,838. 853.81",296,"1, 765.665.61",1.022,3.604.519.42
Sabanalarga,655,411. 553.70,69,195.253. 33,724,606.807. 03
CARTAGENA,753,1. 265.954.78,461,3. 026. 400. 18,1.214,4.292.354. 96
Calamar,274,343.881.34,194,810.629.01,468,.154.510. 35
Corozal,372,393. 414.22,699,2.406.244.27,71,2.799.658.49
El Carmen,211,294.265. 36,370,1.423.290. 89,581.,"1.717, 556.25"
Magangué,626,654.061.72,605,2. 198.424.95,1.231.,"2, 852,486,67"
María la Baja,497,250.927.26,140,657.212. 38,637,908. 139.64
Mompos,210,533.259.60,368,1.305.671.00,578,.838.930.60
San Marcos,268,476.046.33,113,"729,599,31",381,"1.205,645, 64"
San Onofre,489,457.590. 89,112,415.096.46,601,"872.687, 35"
Sincelejo,682,898. 310.61,395,"2, 259.129.66",1. 077,3.157.440.27
TUNJA.,"2, 831","4,247.756.59",569,"1, 852.808.53",3.400,6. 100.565.12
Chiquinquirá,2.659,2. 782.049.84,456,"1, 082.669.33",3.115,3. 864.719.17
Duitama,2. 130,2.635. 244.61,128,499.435.83,2.258,3.134.680.44
El Cocuy,"1, 346","1,106.713.34",425,569.035. 16,1. 771,1.675. 748.50
Garagoa,1620,1.477. 330.00,393,465. 231.50,2.013,1.942.561.50
Guateque,1. 075,712. 335.00,152,"273. 152,31",1.227,985. 487. 31
Guayatá,652,481. 340.00,44,61.465. 00,696,542.805.00
Leiva,1.084,809. 048. 32,177,537.577. 30,1.261,1. 346.625.62
Miraflores,709,802.607.67,1.231,983. 031. 86,1.940,1. 785.639.53
Moniquirá,1.639,"1, 166.111,21",233,582. 378. 78,1. 872,1. 748.489.99
Pauna,860,720.305.00,172,275.951.69,1.032,996.256.69
Pesca,1.484,"968. 435,53",101,202.646.01,1.585,1.171. 081.54
Puebloviejo,1.004,599.880. 00,25,36.670.50,1.029,636.550.50
Ramiriquí,1.154,850.642. 72,512,459.544. 30,1. 666,1.320. 187.02
San Luis de Gaceno.,212,324.410.00,460,402.933. 39,672,727.343. 39
San Luis de Palenque,108,449.338.89,456,1.075. 177.93,564,1.524.516.82
Soatá,1. 871,1.717. 352.09,181,265.911. 75,2. 052,1.983.263. 84
Socha,896,686.215. 00,270,"433. 254,44",1. 166,1.119.469.44
Sogamoso..,2.890,2.374. 993.75,281,"857.532, 29",3. 171•,3.232.526.04
Támara,205,309. 360.00,305,611.800. 00,510,921.160.00
Yopal,212,620. 715.84,1.100,1.308.219.59,1.312,1.928. 935.43
Ventaquemada,708,784. 240.17,96,125.207.75,804,909.447.92
MANIZALES,754,"1,940. 034.87",258,2.036.072.07,1.012,3.976.106.94
Aguadas,796,1.076.550.00,136,404.692.88,932,1.481.242.88
Anserma.,722,"1, 006.073.00",142,300.915.00,864,1. 306.988.00
Apía,526,"945.968, 00",265,349.635.00,791,1.295.603. 00
Aranzazu,441,485.528.62,145,290.762.26,586,776.290.88
Armenia.,1. 053,2.353.097.00,425,1.621.193.14,1.478,3.974.290.14
Belalcazar,264,666. 005. 00,38,147.342.50,302,813. 347.50
Calarcá,463,"1,235.003.00",214,557. 070.00,677,"1.792, 073,00"
Filandia,355,394. 148.00,138,161.418.50,493,555.566.50
La Dorada,293,1. 025.955.30,333,2.112. 014.47,626,3.137. 969.77
Manzanares,1.016,1. 309.077.70,185,387.941. 39,1.201,1.697.019.09
Marsella.,314,534.410.00,123,151.515.00,437,"685,925.00"
Pensilvania,932,1.126.523.00,304,344.820. 54,1.235,1.471.343. 54
Pereira,574,"1, 325.611,12",334,2. 074.848.21,908,"3. 400, 459.33"
Pija o,120,392.505.00,61,278.492. 00,181,"670.997, 00"
Riosucio.,1.549,827.636.65,139,353.460. 35,1.688,1.181. 097.00
Salamina.,526,548.413.00,329,710.822.85,855,"1, 259.235,85"
Santa Rosa de Cabal,563,664.667.00,427,894.899.97,990,•1.559.566.97
Santuario,393,752.490.00,171,384.628.32,564,"1,137. 118.32"
POPAYAN,1.899,2.216.476.81,371,2. 163.638.82,2.270,4.380. 115.63
Bolivar,926,"1, 121.875.00",281,428.751.01,1.207,1.550.626.01
Caloto,467,"668.505,20",190,"456.064,45",657,1.124.569.65
El Tambo,775,405.995.00,153,203. 079.68,928,609.074.68
Puerto Tejada,336,"337. 815,00",83,424. 053.83,419,761.878.83
Santander,816,619. 762. 39,180,421.070.47,996,1.040.832. 86
MONTERIA,606,1.262. 174.22,231,1.576.031. 36,837,2.838.205.58
Ayapel,402,821. 861.83,296,"1,434.679.20",698,2.256.541.03
Cereté,409,1.030.905.00,268,1.166.975.00,677,"2, 197.880.00"
Lorica,1. 361,"1,471.271.90",318,1.441.726.50,1.679,2.912.998.40
Sahagún,541,496.320.50,430,1.511.024.82,971,"2,007, 345.32"
Tierra Alta,275,361. 636.80,70,"264, 870. 00",345,626.506.80
BOGOTA.,1. 426,6.143. 160.74,1064,9. 362.329.85,2. 490,15.505. 490.59
Anolaima,840,1. 110.140.65,297,625.524.11,1.137,1.735.664.76
Arbelaez,709,792.548.87,147,425.538.94,856,1.218.087.81
Cáqueza,743,841.552.00,74,103.717.19,817,945.269.19
Chía,199,317.923.00,80,"238.948,59",279,556.871.59
Chocontá.,1. 976,"1,922. 737.00",96,306.252.12,"2, 072","2, 228.989.12"
Facatativá,1. 097,"1.765. 746,75",181,792.666.31,1.278,"2,558.413. 06"
Fomeque.,548,562. 785.00,320,519.239.02,868,1.082. 024.02
Fusagasugá,974,1.002.671.68,583,913.445.09,1.557,1.916.116.77
Gachetá,1.619,"1,323.512.25",199,274.078.72,1.818,1.597.590.97
Gachala,501,486.855.67,87,167.530.13,588,654.385.80
