Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor
MEDELLIN.,Antioquia,1.935,3.632.668.14,1.592,9.763.213.08,3.527,13.395.881.22
Abejorral,Antioquia,361,413.540.00,64,121.938.64,425,535.478.64
Amalfi,Antioquia,534,657.857.60,277,841.505.27,811,1.499.362.87
Andes,Antioquia,457,1.029.349.36,384,1.109.610.73,841,2.138.960.09
Betulia,Antioquia,209,413.330.61,50,178.109.46,259,591.440.07
Bolvar,Antioquia,409,1.491.595.00,69,344.355.20,478,"1,835.950.20"
Cañasgordas.,Antioquia,905,709.134.36,376,692.094.80,1.281,1.401.229.16
Concordia,Antioquia,357,1.095.764.53,60,361.867.15,417,1.457.631.68
Fredonia,Antioquia,649,1.929.603.28,72,561.740.98,721,"2.491.344,26"
Frontino,Antioquia,644,863.503.09,512,1.521.461.99,1.156,2.384.965.08
Granada,Antioquia,920,569.231.01,98,135.695.43,1.018,704.926.44
Ituango,Antioquia,841,878.623.96,193,462.061.65,1.034,1.340.685.61
Jerico,Antioquia,290,746.380.00,130,465.034.51,420,1.211.414.51
La Ceja,Antioquia,226,325.013.91,131,371.001.64,357,696.015.55
Liborina.,Antioquia,502,432.274.48,129,284.880.17,631,717.154.65
Marinilla,Antioquia,840,528.010.48,283,228.210.98,1.123,756.221.46
Remedios,Antioquia,100,141.452.99,123,498.467.37,223,639.920.36
Rionegro,Antioquia,299,231.981.42,243,511.719.59,542,743.701.01
Santa Rosa de Osos,Antioquia,140,131.827.07,450,1.259.521.43,590,1.391.348.50
Sonson,Antioquia,770,556.090.37,112,189.530.77,882,745.621.14
Sopetrán,Antioquia,829,695.865.00,137,629.654.39,966,1.325.519.39
Támesis,Antioquia,888,762.618.52,238,480.042.01,1.126,1.242.660.53
Turbo.,Antioquia,289,176.252.29,169,559.656.90,458,735.909.19
Urrao.,Antioquia,486,452.876.43,190,607.839.86,676,1.060.716.29
Yarumal,Antioquia,888,800.187.65,559,1.529.683.60,1.447,2.329.871.25
Yolombo,Antioquia,795,892.681.76,210,1.026.447.68,1.005,1.919.129.44
BARRANQUILLA,Atlantico,846,"1,819.380.61",438,3.298.422.37,1.284,5.117.802.98
Sabanalarga•,Atlantico,711,474.939.22,147,510.576.66,858,"985,515.88"
CARTAGENA.,Bolivar,834,1.405.396.03,619,4.308.483.70,1.453,5.713.879.73
Calamar,Bolivar,336,504.510.34,217,917.199.29,553,1.421.709.63
Corozal,Bolivar,124,201.190.00,362,1.711.801.33,486,1.912.991.33
El Carmen,Bolivar,121,188.533.90,263,1.352.914.61,384,1.541.448.51
Magangué,Bolivar,545,646.084.51,437,1.925.407.08,982,2.571.491.59
María La Baja,Bolivar,506,337.982.64,177,769.404.67,683,1.107.387.31
Mompos,Bolivar,244,778.921.26,482,2.123.106.05,726,2.902.027.31
Ovejas,Bolivar,58,95.399.00,95,425.155.93,153,520.554.93
San Juan Nepomuceno,Bolivar,162,120.764.42,236,907.148.70,398,"1,027.913.12"
San Marcos,Bolivar,207,424.874.00,179,1.418.212.46,386,1.843.086.46
San Onofre,Bolivar,337,380.153.05,139,759.472.04,476,1.139.625.09
Since,Bolivar,205,281.639.73,369,1.210.027.98,574,1.491.667.71
Sincelejo,Bolivar,653,1.014.877.12,460,3.078.607.60,1.113,"4,093.484.72"
Sucre .,Bolivar,35,87.339.06,242,780.101.93,277,867.440.99
TUNJA,Boyaca,2.212,3.142.765.54,670,3.194.782.84,2.882,6.337.548.38
Chiquinquirá,Boyaca,1.734,1.929.067.14,412,"1,224.435.96",2.146,3.153.503.10
Duitama,Boyaca,1.137,1.491.337.49,236,1.065.894.25,1.373,2.557.231.74
El Cocuy,Boyaca,922,746.960.12,355,581.645.36,1.277,1.328.605.48
El Espino,Boyaca,475,360.023.24,80,158.914.07,555,518.937.31
Garagoa,Boyaca,1.403,1.341.416.45,309,557.557.72,1.712,"1,898.974.17"
Guateque,Boyaca,1.077,756.894.73,160,246.853.73,1.237,1.003.748.46
Guayata,Boyaca,833,708.116.00,72,125.337.50,905,833.453.50
La Uvita,Boyaca,975,989.178.04,133,179.573.21,1.108,1.168.751.25
Leiva,Boyaca,1.017,713.727.23,234,579.177.03,1.251,1.292.904.26
Miraflores,Boyaca,710,870.899.00,1.504,1.468.029.57,2.214,2.338.928.57
Moniquirá,Boyaca,1.634,1.221.140.05,196,503.381.03,1.830,1.724.521.08
Pauna,Boyaca,844,659.624.87,249,359.127.70,1.093,1.018.752.57
Pesca,Boyaca,1.512,984.296.00,97,198.414.74,1.609,1.182.710.74
Puebloviejo..,Boyaca,1.119,702.081.00,51,73.261.50,1.170,775.342.50
Ramiriquí,Boyaca,1.371,1.098.331.86,336,410.860.84,1.707,1.509.192.70
Saboyá,Boyaca,1.007,"987.458,15",168,232.429.83,1.175,1.219.887.98
San Luis de Gaceno,Boyaca,374,"619.792,82",647,649.069.12,1.021,1.268.861.94
San Luis de Palenque,Boyaca,34,83.216.10,428,1.113.630.02,462,1.196.846.12
"Santa Rosa de Viterbo,",Boyaca,976,1.033.708.10,84,248.345.99,1.060,1.282.054.09
Soatá..,Boyaca,856,780.867.69,84,267.236.75,940,1.048.104.44
Socha,Boyaca,942,747.424.02,399,586.929.38,1.341,1.334.353.40
Sogamoso,Boyaca,3.527,3.349.534.64,282,1.297.746.13,3.809,4.647.280.77
Támara,Boyaca,263,367.687.75,294,714.999.17,557,1.082.686.92
Ventaquemada,Boyaca,598,559.135.57,99,220.520.23,697,779.655.80
Yopal.,Boyaca,190,481.166.46,628,1.234.667.01,818,1.715.833.47
MANIZALES,Caldas,573,1.570.078.26,413,3.030.389.32,986,4.600.467.58
Aguadas,Caldas,669,1.094.173.45,141,494.980.22,810,1.589.153.67
Anserma,Caldas,719,981.167.43,159,511.124.53,878,1.492.291.96
Apía,Caldas,528,913.870.26,221,296.406.77,749,1.210.077.03
Aranzazu,Caldas,532,670.365.00,176,381.959.15,708,1.052.324.15
Armenia,Caldas,1.142,2.426.521.00,659,3.002.414.88,1.801,5.428.935.88
Belalcazar,Caldas,387,985.410.00,35,89.404.71,422,"1,074.814.71"
Belén de Umbría,Caldas,320,510.800.00,78,282.970.00,398,793.770.00
Calarcá,Caldas,526,1.381.061.00,216,"861.078,66",742,2.242.139.66
Chinchina,Caldas,139,190.550.58,30,81.012.90,169,271.563.48
Filandia..,Caldas,431,391.960.00,172,216.930.53,603,608.890.53
La Dorada,Caldas,224,665.786.47,430,2.752.560.66,654,3.418.347.13
Manzanares,Caldas,1.428,"2,188.812.82",308,691.056.87,1.736,2.879.869.69
Marsella,Caldas,345,595.922.10,141,271.020.72,486,866.942.82
Pácora,Caldas,325,521.410.00,80,253.958.64,405,775.368.64
Palestina,Caldas,55,150.760.00,15,"100.683,22",70,251.443.22
Pensilvania.,Caldas,966,1.126.456.96,472,619.141.59,1.438,1.745.598.55
Pereira,Caldas,661,1.354.334.67,569,3.400.322.08,1230,4.754.656.75
Pijao,Caldas,117,434.260.00,48,286.406.67,165,720.666.67
Riosucio,Caldas,1.704,866.693.19,133,285.030.04,1.837,1.151.723.23
Salamina,Caldas,589,668.940.07,347,861.357.13,936,1.530.297.20
Santa Rosa de Cabal,Caldas,609,740.183.00,529,1.203.656.09,1.138,1.943.839.09
