Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
MEDELLIN,Antioquia,"1, 729",3.602.377,1.680,10.128.946,509,3.193.464,3.918,16. 924.787
Abejorral,Antioquia,306,407. 760,73,189.747,12,133. 090,391,730.597
Amalfi,Antioquia,496,801. 985,228,715.915,1,"3,4",725,1.521.300
Andes,Antioquia,319,"1.004, 988",172,829. 929,113,742.656,604,2.577.573
Betulia.,Antioquia,191,"514, 650",57,"371,86",8,65.926,256,952.436
Bolivar,Antioquia,314,1.299.749,163,904.532,70,744.794,547,2.949.075
Cañasgordas,Antioquia,659,"712,25",315,"545,738",39,250.306,1. 013,"1.508,29"
Cisneros,Antioquia,300,158. 425,104,286.344,39,"131, 433",443,576.202
Concordia,Antioquia,167,547.230,39,229.903,27,150.261,233,927. 394
Fredonia,Antioquia,807,2.688. 738,157,977. 137,119,396.193,1083,4. 062.068
Frontino,Antioquia,542,"818, 638",373,"1, 003.153",27,162.398,942,1.984.189
"Granada,",Antioquia,877,657. 325,377,510.242,8,24.091,1.262,"1,191. 658"
Ituango,Antioquia,631,827. 657,134,"421,619",3,23.300,768,1.272.576
Jardín,Antioquia,130,236. 190,163,"598,94",51,"204,136",344,1. 039.266
Jericó,Antioquia,252,916. 137,108,"362,337",63,"232, 811",423,"1,511.285"
La Ceja,Antioquia,323,654.286,338,"684, 692",74,407.400,735,"1.746, 378"
Liborina,Antioquia,440,"445, 785",164,449.689,60,243.590,664,1.139. 064
Marinilla,Antioquia,523,367.504,286,309.624,136,419.558,945,1. 096.686
Puerto Berrío,Antioquia,44,216. 730,55,528.468,0,0,99,745.198
Remedios,Antioquia,109,"224,408",94,461.209,5,26.826,208,"712,443"
Rionegro,Antioquia,344,"211,173",332,"488, 716",68,257.193,744,957. 082
Salgar,Antioquia,113,"543, 350",105,"596, 903",40,462.606,258,"1,602.859"
San Roque,Antioquia,212,"122, 695",149,"430,614",29,83. 169,390,636.478
Santa Bárbara,Antioquia,216,442.238,58,139.920,47,195.598,321,777.756
Santafé de Antioquia,Antioquia,367,370.315,59,208.805,26,101.093,452,680.213
Santa Rosa de Osos,Antioquia,106,130.763,435,"1,312. 057",13,68.824,554,1.511.644
Santuario,Antioquia,511,399.131,327,269.522,57,137.823,895,"806,476"
Sonsón.,Antioquia,664,680.510,60,"134, 282",121,287.600,845,1.102. 392
Sopetrán,Antioquia,667,598.668,140,"416, 578",77,408.165,884,"1,423, 411"
Támesis,Antioquia,558,824.701,133,"453, 837",118,500.295,809,1.778. 833
Turbo,Antioquia,288,351.397,198,"798,015",0,0,486,1.149.412
Urrao,Antioquia,340,421.870,225,780. 799,81,"281, 062",646,1.483.731
Yarumal,Antioquia,780,870.174,446,"1,758.530",132,"714,988",1.358,3.343.692
Yolombo,Antioquia,241,"312,205",81,655.938,5,13.264,327,981. 407
BARRANQUILLA,Atlantico,"1,368",3.315.764,510,"3.821, 050",120,785.644,1. 998,"7,922, 458"
Sabanalarga,Atlantico,"1,339","722,402",307,"1. 026,550",25,"134, 967",1.671,"1,883.919"
CARTAGENA,Bolivar,1.318,2.099.103,786,"5.296, 211",93,903.151,2.197,8.298. 465
Calamar,Bolivar,732,823.233,276,"1.313,21",4,59.000,1. 012,"2,195,446"
Corozal,Bolivar,144,189. 800,398,1. 706.268,82,419,624,"2,314, 609"
El Carmen,Bolivar,211,272. 802,291,1.330.829,124,949. 763,626,"2,553.394"
Magangué,Bolivar,501,760.390,516,"2.846,41",20,"136, 982","1, 037",3.743. 780
María La Baja,Bolivar,268,"208, 129",178,727.701,3,30.820,449,966.650
Mompós.,Bolivar,257,"880, 434",608,2.761.001,19,115.789,884,"3,757.224"
Ovejas,Bolivar,84,211.795,164,609.719,31,208.403,279,1.029.917
San Juan Nepomuceno,Bolivar,288,279.150,323,1.066.162,63,352. 929,674,1.698.241
San Onofre,Bolivar,629,638. 085,271,"1,081. 422",1,"3, 662",901,1.723. 169
Sincé,Bolivar,421,782.921,488,"1,515.191",72,328.411,981,"2,626.523"
Sincelejo,Bolivar,967,1.862. 146,474,3.771.320,47,515.780,l. 488,6.149.246
Sucre,Bolivar,105,"324,422",275,966.568,1,"18, 000",381,"1,308, 990"
TUNJA,Boyaca,1.569,2.380. 692,254,1.642.741,558,"2, 396.075","2,381","6. 419,508"
Chiquinquirá,Boyaca,1.514,"2,146.146",449,"1,271, 688",118,517.251,2. 081,"3,935, 085"
Duitama,Boyaca,832,1.125.705,155,"761,311",118,452.230,1.105,"2,339.246"
E1 Cocuy,Boyaca,594,645.219,267,666. 721,45,"318,372",906,1.630. 312
El Espino,Boyaca,874,"617, 403",108,223.148,35,"145,348",1. 017,985.899
Garagoa,Boyaca,1.348,1.537.908,320,"644, 339",110,405.522,1. 778,"2,587. 769"
Guateque,Boyaca,1.247,"1,115.179",162,345.139,31,117.199,"1,44",1.577.517
Guayatá.,Boyaca,999,1.005. 045,83,"144, 682",9,32.150,"1,091",1.181.877
La Uvita,Boyaca,"1, 028",1. 066.268,177,344.990,9,"35,025",1.214,"1, 440.283"
Leiva,Boyaca,"1,102","1, 065.563",60,146.802,143,381.070,1.305,"1,593.435"
Miraflores,Boyaca,"1, 067","1,739.942","1, 412","1, 528,868",141,766.714,2.620,4. 035.524
Moniquirá,Boyaca,"1,126",1.094.237,183,661. 608,152,556.239,"1,461","2,312. 084"
Orocué,Boyaca,52,68.804,154,"197, 488",0,0,206,266.292
Pauna,Boyaca,815,796.292,162,313.514,40,159.293,"1, 017","1,269.099"
Pesca,Boyaca,"1,355",1.048.191,77,166.497,47,"225,536","1,479",1.440.224
Puebloviejo,Boyaca,1.225,835.628,113,"131,099",25,48.242,1.363,1.014. 969
Ramiriquí,Boyaca,1. 446,1.266.983,101,201.321,161,549.296,"1,708","2,017.600"
Saboyá..,Boyaca,"1,309",1.589.398,240,482.773,36,110.087,"1,585",2.182.258
San Luis de Gaceno,Boyaca,659,1.601.166,445,820.820,5,"33, 975","1,109","2, 455.961"
San Luis de Palenque,Boyaca,44,90.416,389,"992, 626",0,0,433,"1,083, 042"
Santa Rosa de Viterbo,Boyaca,723,853.198,57,"220,855",93,"355,631",873,"1,429.684"
Soatá,Boyaca,"1,217",944.136,118,290.279,50,188.337,1.385,"1,422.752"
Socha,Boyaca,771,786.045,141,"230, 523",15,"70,037",927,"1, 086. 605"
Sogamoso,Boyaca,3.161,2.918. 633,262,"1.927, 848",104,371.805,3.527,5.218.286
Támara,Boyaca,265,353.770,234,"532, 039",0,0,499,885.809
Ventaquemada,Boyaca,688,"1, 011,045",53,"138, 077",86,348.282,827,"1,497.404"
Yopal,Boyaca,187,"382,765",454,719.853,0,0,641,"1,102. 618"
MANIZALES,Caldas,385,"2, 028,174",388,"3.812, 075",216,1.325.944,989,7.166.193
Aguadas,Caldas,509,875. 957,153,885.208,72,"434,406",734,2.195.571
Angerma,Caldas,851,"1, 655,265",207,962. 662,92,631.923,"1,15",3.249.850
Apía,Caldas,426,"970, 051",110,252. 062,34,130.476,570,1.352.589
Aranzazu,Caldas,509,"631,16",244,638.541,71,321.570,824,1.591.271
Armenia,Caldas,788,"2. 820,885",280,1. 676.158,204,920. 638,1.272,5.417. 681
Belalcázar,Caldas,302,850.140,67,"168,892",7,83.817,376,"1.102, 849"
Belén de Umbría,Caldas,242,"470, 850",100,251.739,28,237.970,370,960.559
Calarcá,Caldas,375,"1, 449.680",136,741.710,77,366. 796,588,2.558.186
Chinchiná,Caldas,241,458.910,60,260.881,45,369.710,346,"1, 089.501"
Filandia,Caldas,351,346.477,73,98.040,56,160.862,480,605.379
La Dorada,Caldas,238,738.146,351,1.980.036,21,239.961,610,2. 958.143
Manzanares,Caldas,875,1.320. 690,315,470.880,27,134. 724,1.217,"1,926.294"
Marsella,Caldas,273,591.508,110,237.002,60,497. 507,443,1.326. 017
