,Oficina,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
0,medellin,1792,292166458,725,375507315,2517,667673773,0,0
1,abejorral,307,31803800,5,1105000,312,32908800,0,0
2,andes,426,60117100,139,31520000,565,91637100,0,0
3,bolivar,300,109830000,15,8730000,315,118560000,0,0
4,concordia,366,56468333,98,14318638,464,70786971,0,0
5,fredonia,398,121975145,31,22195029,429,144170174,0,0
6,frontino,888,66049889,83,26061336,971,92111225,0,0
7,ituango,480,37076632,51,16246607,531,53323239,0,0
8,jerico,366,72579000,84,24949323,450,97528323,0,0
9,rionegro,989,55074959,162,47338272,1151,102413231,0,0
10,santa rosa de osos,99,8041305,311,76487726,410,84529031,0,0
11,sonson,929,70364633,107,26875645,1036,97240278,0,0
12,tamesis,848,85139634,281,43329125,1129,128468759,0,0
13,turbo,235,10454401,41,19672525,276,30126926,0,0
14,taramal,753,60304602,367,98792485,1120,159097087,0,0
15,yolombo,728,54463520,140,49076277,868,103539797,0,0
16,liborina,505,34413002,48,8236790,553,42649792,0,0
17,sopetran,582,29164038,36,9846193,618,39010231,0,0
18,granada,675,29726621,62,10339462,737,40066083,0,0
19,barranquilla,1109,272014795,281,171672950,1390,443687745,0,0
20,cartagena,728,94014541,318,190296477,1046,284311018,0,0
21,corozal,164,12818578,526,150702564,690,163521142,0,0
22,el carmen,393,25366134,357,107576285,750,132942419,0,0
23,magangue,323,18351845,651,151816373,974,170168218,0,0
24,maria la baja,600,24124989,112,36287760,712,60412749,0,0
25,mompos,184,19394102,394,115381540,578,134775742,-100,0
26,san marcos,184,23955606,124,58400171,308,82355867,-90,0
27,san onofre,475,28182343,100,35376100,575,63558443,0,0
28,sincelejo,485,37869500,322,134073994,807,171943494,0,0
29,calamar,97,11603559,50,31380000,147,42983559,0,0
30,tunja,3471,461886802,289,114733446,3760,576620248,0,0
31,chiquinquira,3161,240339744,244,67738158,3405,308077902,0,0
32,duitama,2314,226816545,124,38001271,2438,264817816,0,0
33,el cocuy,1556,97973606,45,12377029,1601,110350635,0,0
34,guateque,902,46757970,61,10330000,963,57087970,0,0
35,miraflores,419,23424973,162,15454272,581,38879245,0,0
36,meniquira,2014,114336522,252,61454367,2266,175790889,0,0
37,pauma,849,60804337,56,11429128,905,72233465,0,0
38,pesca,1721,94925350,72,18317909,1793,113243259,0,0
39,ramiriqui,1490,124542050,196,27128090,1686,151670140,0,0
40,soata,2403,191842282,123,31821323,2526,223663605,0,0
41,sogamoso,2789,167183799,120,52566677,2909,219750476,0,0
42,leiva,1661,138774440,141,45460179,1802,184234619,0,0
43,puebloviejo,809,33211900,7,1830000,816,35041900,0,0
44,guayata,471,24446664,28,4076000,499,28522664,0,0
45,socha,762,58275209,20,5410052,782,63685261,0,0
46,garagoa,512,39806000,142,21742500,654,61548500,0,0
47,manizales,650,121183270,187,84590106,837,205773376,0,0
48,aguadas,710,73421603,66,30071300,776,103492903,0,0
49,anserma,705,96715767,164,34936247,869,131652014,0,0
50,apia,321,72053800,166,49185400,487,121239200,0,0
51,armenia,876,149160053,352,115280454,1228,264440507,0,0
52,calarca,542,120606600,244,65955800,786,186562400,0,0
53,la dorada,132,41687948,120,93585890,252,135273838,0,0
54,manzanares,1043,103463627,102,31817877,1145,135281504,0,0
55,pensilvania,1090,97950100,135,24831000,1225,122781100,0,0
56,pereira,459,96709260,311,115990303,770,212699563,0,0
57,pijao,137,33235957,86,28776422,223,62012379,0,0
58,riosucio,1303,66658000,123,34546876,1426,101204876,0,0
59,salamina,929,84373466,305,78198000,1234,162571466,0,0
60,santa rosa de c,520,53909015,322,56715605,842,110624620,0,0
61,santuario,361,81841455,160,43973363,521,125814818,0,0
62,filandia,173,12990665,41,4099945,214,17090610,0,0
63,marsella,168,22563500,104,11414500,272,33978000,0,0
64,popayan,2122,194483622,417,170239367,2539,364722989,0,0
65,bolivar,354,28483030,216,29890579,570,58373609,0,0
66,puerto tejada,550,47823697,103,39726625,653,87550322,0,0
67,santander,723,61719139,199,45789135,922,107508274,0,0
68,el tambo,540,24240600,57,9198836,597,33439438,-2,0
69,monteria,689,128304566,176,111701211,865,240005779,-2,0
70,ayapel,203,30300533,164,62426701,367,92721234,6000,0
71,lorica,1543,121393257,178,77226882,1721,198620139,0,0
72,sahagun,549,40737713,458,129671148,1007,170408861,0,0
73,cerete,583,100020138,264,85201868,847,185222006,0,0
74,tierralta,92,12791685,22,7387500,114,20179185,0,0
75,bogota,1184,360145555,736,466690568,1920,826836123,0,0
76,anolaima,603,71029000,18,7537857,621,78566867,-10,0
77,choconta,1095,82057365,141,31353144,1236,113410509,0,0
78,facatativa,1182,176340088,106,53997013,1288,230337101,0,0
79,fusagasuga,1133,102117830,101,32436841,1234,133654671,900000,0
80,gacheta,2017,131748488,212,35614035,2229,167362523,0,0
81,girardot,829,203121400,151,87047262,980,290168662,0,0
82,guatavita,264,33999800,13,5559000,277,39558800,0,0
83,la mesa,1348,111748157,55,22457593,1405,134205750,0,-2
84,la palma,625,36759809,67,16666394,692,53426203,0,0
85,pacho,800,69865423,74,33814556,874,103679979,0,0
86,sasaima,310,27879826,44,15471157,354,43350983,0,0
87,soacha,451,64467100,28,8331900,479,72799000,0,0
88,sopo,131,19652500,12,7272612,143,26925112,0,0
89,ubate,1166,103769990,156,76455032,1322,180225022,0,0
90,une,944,71094723,154,24110135,1098,95204858,0,0
91,chia,119,14464400,26,7077286,145,21541688,-2,0
92,fomeque,459,32491758,112,17942899,571,50434657,0,0
93,villeta,269,29824500,21,8453500,290,38278000,0,0
94,la calera,195,17979250,51,21259959,246,39239209,0,0
95,guasca,177,19843000,4,942100,181,20785100,0,0
96,san juan de rioseco,563,96131200,29,18744832,592,114876032,0,0
97,arbelaez,575,45631000,53,21007077,628,66638077,0,0
98,la peña,229,15586500,32,7629000,261,23215500,0,0
99,vergara,276,29139772,3,775000,279,29914772,0,0
100,zipaquira,395,48573563,84,35862060,479,84435623,0,0
