,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
0,medellin,antioquia,2003,331250842,959,261814141,2962,593064983,0,0
1,abejorral,antioquia,347,37298500,21,3027650,368,40326150,0,0
2,andes,antioquia,470,74868800,288,65403162,758,140271962,0,0
3,bolivar,antioquia,378,120350000,39,15309238,417,135659238,0,0
4,concordia,antioquia,342,55597393,28,6730851,370,62328244,0,0
5,fredonia,antioquia,411,122787696,46,21987353,457,144774949,100,0
6,frontino,antioquia,583,53426978,94,40471708,677,93898686,0,0
7,granada,antioquia,858,41760711,58,9668403,916,51429114,0,0
8,ituango,antioquia,598,50199581,211,25274891,809,75474472,0,0
9,jerico,antioquia,317,67521791,75,22102976,392,89624767,0,0
10,liborina,antioquia,641,43064745,93,14488800,734,57543545,10000,0
11,marinilla,antioquia,431,22112149,71,10143700,502,32255849,0,0
12,rionegro,antioquia,417,34007640,122,40304745,539,74312385,0,0
13,santa rosa de osos,antioquia,122,10437846,385,82845105,507,93282951,0,0
14,sonson,antioquia,830,55160261,119,17532067,949,72692328,0,0
15,sopetran,antioquia,652,41426223,62,18976570,714,60402793,0,0
16,tamesis,antioquia,721,72125100,280,40666590,1001,112791690,0,0
17,turbo,antioquia,239,13223584,63,24186642,302,37410226,0,0
18,yarumal,antioquia,772,63663423,444,117861139,1216,181524562,0,0
19,yolombo,antioquia,722,47648223,189,65410289,911,113058512,0,0
20,urrao,antioquia,155,21655738,33,7078737,188,28734475,0,0
21,barranquilla,atlantico,1270,230712882,328,168048160,1598,398761042,0,0
22,cartagena,bolivar,740,90959435,363,205273081,1103,296232516,0,0
23,calamar,bolivar,185,23148861,166,70575600,351,93724451,10,0
24,corozal,bolivar,380,41315000,691,194949288,1071,236264288,0,0
25,el carmen,bolivar,222,21438287,371,122477194,593,143915481,0,0
26,magangue,bolivar,443,45703411,527,144630970,970,190334381,0,0
27,maria la baja,bolivar,474,21937751,123,35470077,597,57407828,0,0
28,mompos,bolivar,235,34896483,374,111422218,609,146318701,0,0
29,san marcos,bolivar,229,30590158,99,45962185,328,76552343,0,0
30,san onofre,bolivar,472,32376614,109,38095000,581,70471614,0,0
31,sincelejo,bolivar,489,40814663,344,164199289,833,205013942,10,0
32,tunja,boyaca,3464,449032284,670,166828451,4134,615860735,0,0
33,chiquinquira,boyaca,2838,260736697,246,73103713,3084,333840410,0,0
34,duitama,boyaca,2159,219128715,118,38229491,2277,257358206,0,0
35,el cocuy,boyaca,1410,95417282,123,17843207,1533,113260489,0,0
36,garagoa,boyaca,1312,105327500,228,37063000,1540,142390500,0,0
37,guateque,boyaca,1041,62539066,85,12899947,1126,75439013,0,0
38,guayata,boyaca,555,33696500,26,4259500,581,37956000,0,0
39,leiva,boyaca,1176,82271660,163,50561998,1339,132833658,0,0
40,miraflores,boyaca,120,12950000,83,12921076,203,25871076,0,0
41,moniquira,boyaca,1832,122664846,282,60467003,2114,183131849,0,0
42,pauna,boyaca,844,67486883,120,18224227,964,85711110,0,0
43,pesca,boyaca,1564,92100965,96,20318571,1660,112419526,10,0
44,puebloviejo,boyaca,827,38269800,11,1949250,838,40219050,0,0
45,ramiriqui,boyaca,1124,84284358,632,59161740,1756,143446098,0,0
46,soata,boyaca,2388,202260001,142,32147862,2530,234407863,0,0
47,socha,boyaca,890,69816233,67,14312400,957,84128633,0,0
48,sogamoso,boyaca,2525,192947399,147,55813086,2672,248760485,0,0
49,manizales,caldas,652,117959107,208,102393611,860,220352718,0,0
50,aguadas,caldas,711,89560803,85,30152481,796,119713284,0,0
51,anserma,caldas,621,66913088,166,25191450,787,92104538,0,0
52,apia,caldas,440,77550700,267,53097250,707,130647960,-10,0
53,armenia,caldas,977,178025500,376,105176066,1353,283201566,0,0
54,belalcazar,caldas,171,33581900,30,9776600,201,43358500,0,0
55,calarca,caldas,529,118581300,227,50025800,756,168507100,100000,0
56,filandia,caldas,362,35068500,102,11620200,464,46688700,0,0
57,la dorada,caldas,198,68759812,220,146498307,418,215258119,0,0
58,manzanares,caldas,1033,104563942,128,28083837,1161,132647779,0,0
59,marsella,caldas,243,31145000,101,11907500,344,43052500,0,0
60,pensilvania,caldas,936,87606799,215,26711402,1151,113317201,1001000,0
61,pereira,caldas,511,88250500,319,145044645,830,233295145,0,0
62,pijao,caldas,176,55136000,77,25884750,253,81020750,0,0
63,riosucio,caldas,1267,68030156,130,31277670,1397,99307826,0,0
