,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
0,medellin,antioquia,2050,6844994,2070,15997220,477,2680547,4597,25522761,0,0
1,abejorral,antioquia,352,566715,151,305497,13,94810,516,967022,0,0
2,amalfi,antioquia,363,735265,188,720770,2,57600,553,1513635,0,0
3,andes,antioquia,407,1082146,186,652825,121,575507,714,2310478,0,0
4,armenia,antioquia,218,674150,58,371992,15,97181,291,1143323,0,0
5,betulia,antioquia,198,621144,78,289200,12,107332,288,1017676,0,0
6,bolivar,antioquia,296,1269939,150,608239,53,413245,499,2291423,0,0
7,cañasgordas,antioquia,441,452479,234,368882,32,170444,707,991805,0,0
8,caucasia,antioquia,163,370555,127,1118395,0,0,290,1488950,0,0
9,cisneros,antioquia,324,177566,128,333574,37,103777,489,614917,0,0
10,concordia,antioquia,194,593814,61,211219,23,131494,278,936527,0,0
11,chigorod6 ,antioquia,204,260755,153,533522,0,0,357,794277,0,0
12,dabeiba,antioquia,346,630099,224,630341,4,24523,574,1284963,0,0
13,fredonia,antioquia,857,2966902,136,818972,92,245255,1085,4031129,0,0
14,frontino,antioquia,424,460804,220,605819,19,127516,663,1194139,0,0
15,granada,antioquia,663,428526,336,258971,7,18719,1006,706216,0,0
16,ituango,antioquia,573,939102,112,423693,7,45373,692,1408168,0,0
17,jardin,antioquia,176,410230,187,561737,61,235358,424,1207325,0,0
18,jerico,antioquia,341,1054555,131,544226,49,158886,521,1757667,0,0
19,la ceja,antioquia,371,961590,360,786594,81,332525,812,2080709,0,0
20,liborina,antioquia,471,477413,172,373514,55,188382,698,1039309,0,0
21,marinilla,antioquia,523,454419,340,279509,125,351089,988,1085017,0,0
22,puerto berrio,antioquia,49,205440,131,888591,0,0,180,1094031,0,0
23,remedios,antioquia,165,269346,238,876851,9,74207,412,1220404,0,0
24,rionegro,antioquia,383,287412,474,601295,55,184701,912,1073408,0,0
25,salgar,antioquia,138,680471,98,516663,36,347635,272,1544769,0,0
26,san carlos,antioquia,418,522892,422,649370,1,2575,841,1174837,0,0
27,san roque,antioquia,278,247426,216,444168,27,68607,521,760201,0,0
28,santa barbara,antioquia,294,531358,92,277267,47,191967,433,1000592,0,0
29,santa fe de antioquia,antioquia,339,357368,106,267635,22,79519,467,704522,0,0
30,santa rosa de osos ,antioquia,156,344853,406,1229509,13,58290,575,1632652,0,0
31,santuario,antioquia,576,511726,458,504834,54,130652,1088,1147212,0,0
32,sonson,antioquia,627,658234,87,242268,125,289631,839,1190133,0,0
33,sopetran,antioquia,527,511399,164,492319,91,378876,782,1382594,0,0
34,tamesis,antioquia,646,1039289,152,445160,93,325487,891,1809936,0,0
35,titiribl,antioquia,207,714215,70,576050,19,78191,296,1368456,0,0
36,turbo,antioquia,394,500508,223,897820,0,0,617,1398328,0,0
37,urrao,antioquia,354,544260,294,777459,88,266710,736,1588429,0,0
38,yarumal,antioquia,622,716385,386,1699821,121,622226,1129,3038432,0,0
39,yolombo,antioquia,276,313545,109,713102,3,33080,388,1059727,0,0
40,barranquilla,atlantico,1623,5678377,592,5654429,113,621181,2328,11953987,0,0
41,sabanalarga,atlantico,1115,780482,349,1340681,22,110999,1486,2232162,0,0
42,cartagena ,bolivar,132,3666024,979,9082499,117,1122119,2417,13870642,0,-1189
43,calamar,bolivar,721,1053125,309,2202496,2,47000,1032,3302621,0,0
44,corozal,bolivar,163,380770,381,2233248,89,391660,633,3005678,0,0
45,el carmen,bolivar,319,476818,332,1793090,128,851278,779,3121186,0,0
46,magangue,bolivar,475,1058764,563,3326536,19,140923,1057,4526223,0,0
47,majagual,bolivar,197,449742,154,712628,0,0,351,1162370,0,0
