,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,medellin,antioquia,1935,363266814,1592,976321308,0,0,3527,1339588122
1,abejorral,antioquia,361,41354000,64,12193864,0,0,425,53547864
2,amalfi,antioquia,534,65785760,277,84150527,0,0,811,149936287
3,andes,antioquia,457,102934936,384,110961073,0,0,841,213896009
4,betulia,antioquia,209,41333061,50,17810946,0,0,259,59144007
5,bolivar,antioquia,409,149159500,69,34435520,0,0,478,183595020
6,cañasgordas,antioquia,905,70913436,376,69209480,0,0,1281,140122916
7,concordia,antioquia,357,109576453,60,36186715,0,0,417,145763168
8,fredonia,antioquia,649,192960328,72,56174098,0,0,721,249134426
9,frontino,antioquia,644,86350309,512,152146199,0,0,1156,238496508
10,granada,antioquia,920,56923101,98,13569543,0,0,1018,70492644
11,ituango,antioquia,841,87862396,193,46206165,0,0,1034,134068561
12,jerico,antioquia,290,74638000,130,46503451,0,0,420,121141451
13,la ceja,antioquia,226,32501391,131,37100164,0,0,357,69601555
14,liborina,antioquia,502,43227448,129,28488017,0,0,631,71715465
15,marinilla,antioquia,840,52801048,283,22821098,0,0,1123,75622146
16,remedios,antioquia,100,14145299,123,49846737,0,0,223,63992036
17,rionegro,antioquia,299,23198142,243,51171959,0,0,542,74370101
18,santa rosa de osos,antioquia,140,13182707,450,125952143,0,0,590,139134850
19,sonson,antioquia,770,55609037,112,18953077,0,0,882,74562114
20,sopetran,antioquia,829,69586500,137,62965439,0,0,966,132551939
21,tamesis,antioquia,888,76261852,238,48004201,0,0,1126,124266053
22,turbo,antioquia,289,17625229,169,55965690,0,0,458,73590919
23,urrao,antioquia,486,45287643,190,60783986,0,0,676,106071629
24,yarumal,antioquia,888,80018765,559,152968360,0,0,1447,232987125
25,yolombo,antioquia,795,89268176,210,102644768,0,0,1005,191912944
26,barranquilla,atlantico,846,181938061,438,329842237,0,0,1284,511780298
27,sabanalarga,atlantico,711,47493922,147,51057666,0,0,858,98551588
28,cartagena,bolivar,834,140539603,619,430848370,0,0,1453,571387973
29,calamar,bolivar,336,50451034,217,91719929,0,0,553,142170963
30,corozal,bolivar,124,20119000,362,171180133,0,0,486,191299133
31,el carmen,bolivar,121,18853390,263,135291461,0,0,384,154144851
32,magangue,bolivar,545,64608451,437,192540708,0,0,982,257149159
33,maria la baja,bolivar,506,33798264,177,76940467,0,0,683,110738731
34,mompos,bolivar,244,77892126,482,212310605,0,0,726,290202731
35,ovejas,bolivar,58,9539900,95,42515593,0,0,153,52055493
36,san juan nepomuceno,bolivar,162,12076442,236,90714870,0,0,398,102791312
37,san marcos,bolivar,207,42487400,179,141821246,0,0,386,184308646
38,san onofre,bolivar,337,38015305,139,75947204,0,0,476,113962509
39,since,bolivar,205,28163973,369,121002798,0,0,574,149166771
40,sincelejo,bolivar,653,101487712,460,307860760,0,0,1113,409348472
41,sucre,bolivar,35,8733906,242,78010193,0,0,277,86744099
42,tunja,boyaca,2212,314276554,670,319478284,0,0,2882,633754838
43,chiquinquira,boyaca,1734,192906714,412,122443596,0,0,2146,315350310
44,duitama,boyaca,1137,149133749,236,106589425,0,0,1373,255723174
45,el cocuy,boyaca,922,74696012,355,58164536,0,0,1277,132860548
46,el espino,boyaca,475,36002324,80,15891407,0,0,555,51893731
47,garagoa,boyaca,1403,134141645,309,55755772,0,0,1712,189897417
48,guateque,boyaca,1077,75689473,160,24685373,0,0,1237,100374846
49,guayata,boyaca,833,70811600,72,12533750,0,0,905,83345350
50,la uvita,boyaca,975,98917804,133,17957321,0,0,1108,116875125
51,leiva,boyaca,1017,71372723,234,57917703,0,0,1251,129290426
52,miraflores,boyaca,710,87089900,1504,146802957,0,0,2214,233892857
53,moniquira,boyaca,1634,122114005,196,50338103,0,0,1830,172452108
54,pauna,boyaca,844,65962487,249,35912770,0,0,1093,101875257
55,pesca,boyaca,1512,98429600,97,19841474,0,0,1609,118271074
56,puebloviejo,boyaca,1119,70208100,51,7326150,0,0,1170,77534250
57,ramiriqui,boyaca,1371,109833186,336,41086084,0,0,1707,150919270
58,saboya,boyaca,1007,98745815,168,23242983,0,0,1175,121988798
59,san luis de gaceno,boyaca,374,61979282,647,64906912,0,0,1021,126886194
60,san luis de palenque,boyaca,34,8321610,428,111363002,0,0,462,119684612
61,santa rosa de viterbo,boyaca,976,103370810,84,24834599,0,0,1060,128205409
62,soata,boyaca,856,78086769,84,26723675,0,0,940,104810444
63,socha,boyaca,942,74742402,399,58692938,0,0,1341,133435340
64,sogamoso,boyaca,3527,334953464,282,129774613,0,0,3809,464728077
65,tamara,boyaca,263,36768775,294,71499917,0,0,557,108268692
66,ventaquemada,boyaca,598,55913557,99,22052023,0,0,697,77965580
67,yopal,boyaca,190,48116646,628,123466701,0,0,818,171583347
68,manizales,caldas,573,157007826,413,303038932,0,0,986,460046758
69,aguadas,caldas,669,109417345,141,49498022,0,0,810,158915367
70,anserma,caldas,719,98116743,159,51112453,0,0,878,149229196
71,apia,caldas,528,91387026,221,29640677,0,0,749,121007703
72,aranzazu,caldas,532,67036500,176,38195915,0,0,708,105232415
73,armenia,caldas,1142,242652100,659,300241488,0,0,1801,542893588
74,belalcazar,caldas,387,98541000,35,8940471,0,0,422,107481471
75,belen de umbria,caldas,320,51080000,78,28297000,0,0,398,79377000
