,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,medellin,antioquia,1953,2003,331250842,959,261814141,0,0,2962,593064983
1,abejorral,antioquia,1953,347,37298500,21,3027650,0,0,368,40326150
2,andes,antioquia,1953,470,74868800,288,65403162,0,0,758,140271962
3,bolivar,antioquia,1953,378,120350000,39,15309238,0,0,417,135659238
4,concordia,antioquia,1953,342,55597393,28,6730851,0,0,370,62328244
5,fredonia,antioquia,1953,411,122787696,46,21987353,0,0,457,144774949
6,frontino,antioquia,1953,583,53426978,94,40471708,0,0,677,93898686
7,granada,antioquia,1953,858,41760711,58,9668403,0,0,916,51429114
8,ituango,antioquia,1953,598,50199581,211,25274891,0,0,809,75474472
9,jerico,antioquia,1953,317,67521791,75,22102976,0,0,392,89624767
10,liborina,antioquia,1953,641,43064745,93,14488800,0,0,734,57543545
11,marinilla,antioquia,1953,431,22112149,71,10143700,0,0,502,32255849
12,rionegro,antioquia,1953,417,34007640,122,40304745,0,0,539,74312385
13,santa rosa de osos,antioquia,1953,122,10437846,385,82845105,0,0,507,93282951
14,sonson,antioquia,1953,830,55160261,119,17532067,0,0,949,72692328
15,sopetran,antioquia,1953,652,41426223,62,18976570,0,0,714,60402793
16,tamesis,antioquia,1953,721,72125100,280,40666590,0,0,1001,112791690
17,turbo,antioquia,1953,239,13223584,63,24186642,0,0,302,37410226
18,yarumal,antioquia,1953,772,63663423,444,117861139,0,0,1216,181524562
19,yolombo,antioquia,1953,722,47648223,189,65410289,0,0,911,113058512
20,urrao,antioquia,1953,155,21655738,33,7078737,0,0,188,28734475
21,barranquilla,atlantico,1953,1270,230712882,328,168048160,0,0,1598,398761042
22,cartagena,bolivar,1953,740,90959435,363,205273081,0,0,1103,296232516
23,calamar,bolivar,1953,185,23148861,166,70575600,0,0,351,93724451
24,corozal,bolivar,1953,380,41315000,691,194949288,0,0,1071,236264288
25,el carmen,bolivar,1953,222,21438287,371,122477194,0,0,593,143915481
26,magangue,bolivar,1953,443,45703411,527,144630970,0,0,970,190334381
27,maria la baja,bolivar,1953,474,21937751,123,35470077,0,0,597,57407828
28,mompos,bolivar,1953,235,34896483,374,111422218,0,0,609,146318701
29,san marcos,bolivar,1953,229,30590158,99,45962185,0,0,328,76552343
30,san onofre,bolivar,1953,472,32376614,109,38095000,0,0,581,70471614
31,sincelejo,bolivar,1953,489,40814663,344,164199289,0,0,833,205013942
32,tunja,boyaca,1953,3464,449032284,670,166828451,0,0,4134,615860735
33,chiquinquira,boyaca,1953,2838,260736697,246,73103713,0,0,3084,333840410
34,duitama,boyaca,1953,2159,219128715,118,38229491,0,0,2277,257358206
35,el cocuy,boyaca,1953,1410,95417282,123,17843207,0,0,1533,113260489
36,garagoa,boyaca,1953,1312,105327500,228,37063000,0,0,1540,142390500
37,guateque,boyaca,1953,1041,62539066,85,12899947,0,0,1126,75439013
38,guayata,boyaca,1953,555,33696500,26,4259500,0,0,581,37956000
39,leiva,boyaca,1953,1176,82271660,163,50561998,0,0,1339,132833658
40,miraflores,boyaca,1953,120,12950000,83,12921076,0,0,203,25871076
41,moniquira,boyaca,1953,1832,122664846,282,60467003,0,0,2114,183131849
