,Unnamed: 0,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,0,medellin,antioquia,1953,2003,301674873.9642857,959,238437878.41071427,0,0.0,2962,540112752.375
1,1,abejorral,antioquia,1953,347,33968276.78571428,21,2757324.107142857,0,0.0,368,36725600.89285714
2,2,andes,antioquia,1953,470,68184085.7142857,288,59563593.96428571,0,0.0,758,127747679.67857142
3,3,bolivar,antioquia,1953,378,109604464.28571428,39,13942341.749999998,0,0.0,417,123546806.03571427
4,4,concordia,antioquia,1953,342,50633340.053571425,28,6129882.160714285,0,0.0,370,56763222.21428571
5,5,fredonia,antioquia,1953,411,111824508.85714285,46,20024196.482142854,0,0.0,457,131848614.26785713
6,6,frontino,antioquia,1953,583,48656712.10714285,94,36858162.64285714,0,0.0,677,85514874.74999999
7,7,granada,antioquia,1953,858,38032076.08928571,58,8805152.732142856,0,0.0,916,46837228.82142857
8,8,ituango,antioquia,1953,598,45717475.553571425,211,23018204.303571425,0,0.0,809,68735679.85714285
9,9,jerico,antioquia,1953,317,61493059.66071428,75,20129496.0,0,0.0,392,81622555.66071428
10,10,liborina,antioquia,1953,641,39219678.48214285,93,13195157.142857142,0,0.0,734,52405728.48214285
11,11,marinilla,antioquia,1953,431,20137849.982142854,71,9238012.5,0,0.0,502,29375862.482142854
12,12,rionegro,antioquia,1953,417,30971243.571428567,122,36706107.053571425,0,0.0,539,67677350.625
13,13,santa rosa de osos,antioquia,1953,122,9505895.464285713,385,75448220.625,0,0.0,507,84954116.0892857
14,14,sonson,antioquia,1953,830,50235237.69642857,119,15966703.874999998,0,0.0,949,66201941.57142857
15,15,sopetran,antioquia,1953,652,37727453.08928571,62,17282233.39285714,0,0.0,714,55009686.48214285
16,16,tamesis,antioquia,1953,721,65685358.928571425,280,37035644.46428571,0,0.0,1001,102721003.39285713
17,17,turbo,antioquia,1953,239,12042906.857142856,63,22027120.39285714,0,0.0,302,34070027.25
18,18,yarumal,antioquia,1953,772,57979188.803571425,444,107337823.01785713,0,0.0,1216,165317011.82142857
19,19,yolombo,antioquia,1953,722,43393917.37499999,189,59570084.62499999,0,0.0,911,102964001.99999999
20,20,urrao,antioquia,1953,155,19722189.964285713,33,6446706.910714285,0,0.0,188,26168896.874999996
21,21,barranquilla,atlantico,1953,1270,210113517.53571427,328,153043860.0,0,0.0,1598,363157377.53571427
22,22,cartagena,bolivar,1953,740,82838056.875,363,186945127.3392857,0,0.0,1103,269783184.2142857
23,23,calamar,bolivar,1953,185,21081998.410714284,166,64274207.142857134,0,0.0,351,85356196.44642857
24,24,corozal,bolivar,1953,380,37626160.71428571,691,177543101.57142857,0,0.0,1071,215169262.28571427
25,25,el carmen,bolivar,1953,222,19524154.232142854,371,111541730.24999999,0,0.0,593,131065884.48214285
26,26,magangue,bolivar,1953,443,41622749.303571425,527,131717490.53571427,0,0.0,970,173340239.8392857
27,27,maria la baja,bolivar,1953,474,19979023.232142854,123,32303105.839285713,0,0.0,597,52282129.07142857
28,28,mompos,bolivar,1953,235,31780725.589285713,374,101473805.67857142,0,0.0,609,133254531.26785713
29,29,san marcos,bolivar,1953,229,27858893.89285714,99,41858418.48214285,0,0.0,328,69717312.375
30,30,san onofre,bolivar,1953,472,29485844.89285714,109,34693660.71428571,0,0.0,581,64179505.60714285
31,31,sincelejo,bolivar,1953,489,37170496.66071428,344,149538638.19642857,0,0.0,833,186709125.74999997
32,32,tunja,boyaca,1953,3464,408940115.78571427,670,151933053.5892857,0,0.0,4134,560873169.375
33,33,chiquinquira,boyaca,1953,2838,237456634.76785713,246,66576595.767857134,0,0.0,3084,304033230.53571427
34,34,duitama,boyaca,1953,2159,199563651.16071427,118,34816143.58928571,0,0.0,2277,234379794.74999997
35,35,el cocuy,boyaca,1953,1410,86897881.82142857,123,16250063.517857142,0,0.0,1533,103147945.3392857
36,36,garagoa,boyaca,1953,1312,95923258.92857142,228,33753803.57142857,0,0.0,1540,129677062.49999999
37,37,guateque,boyaca,1953,1041,56955220.82142857,85,11748166.017857142,0,0.0,1126,68703386.8392857
38,38,guayata,boyaca,1953,555,30687883.928571425,26,3879187.4999999995,0,0.0,581,34567071.428571425
39,39,leiva,boyaca,1953,1176,74925976.07142857,163,46047533.89285714,0,0.0,1339,120973509.9642857
40,40,miraflores,boyaca,1953,120,11793749.999999998,83,11767408.499999998,0,0.0,203,23561158.499999996
41,41,moniquira,boyaca,1953,1832,111712627.60714285,282,55068163.44642857,0,0.0,2114,166780791.0535714
42,42,pauna,boyaca,1953,844,61461268.44642857,120,16597063.874999998,0,0.0,964,78058332.32142857
43,43,pesca,boyaca,1953,1564,83877664.55357142,96,18504412.875,0,0.0,1660,102382068.32142857
44,44,puebloviejo,boyaca,1953,827,34852853.57142857,11,1775209.8214285714,0,0.0,838,36628063.39285714
45,45,ramiriqui,boyaca,1953,1124,76758968.89285713,632,53879441.78571428,0,0.0,1756,130638410.67857142
46,46,soata,boyaca,1953,2388,184201072.3392857,142,29277517.178571425,0,0.0,2530,213478589.51785713
47,47,socha,boyaca,1953,890,63582640.767857134,67,13034507.142857142,0,0.0,957,76617147.91071428
48,48,sogamoso,boyaca,1953,2525,175719952.66071427,147,50829774.74999999,0,0.0,2672,226549727.41071427
49,49,manizales,caldas,1953,652,107427043.87499999,208,93251324.30357142,0,0.0,860,200678368.1785714
50,50,aguadas,caldas,1953,711,81564302.73214285,85,27460295.196428567,0,0.0,796,109024597.92857142
51,51,anserma,caldas,1953,621,60938705.142857134,166,22942213.39285714,0,0.0,787,83880918.53571428
