,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,medellin,antioquia,1954,1801,59640173,960,588812363,0,0,2761,648452536
1,abejorral,antioquia,1954,347,43288500,32,6843950,0,0,379,50132450
2,amalfi,antioquia,1954,535,58280518,277,83904239,0,0,812,142184757
3,andes,antioquia,1954,415,97448014,322,72687655,0,0,737,170135669
4,bolivar,antioquia,1954,359,137155000,52,25013125,0,0,411,162168125
5,concordia,antioquia,1954,434,104862000,42,20455000,0,0,476,125317000
6,fredonia,antioquia,1954,574,179780484,54,22269444,0,0,628,202049928
7,frontino,antioquia,1954,958,107383662,687,150770739,0,0,1645,258154401
8,granada,antioquia,1954,913,56309452,82,12550315,0,0,995,68859767
9,ituango,antioquia,1954,817,86859900,184,33132946,0,0,1001,119992846
10,jerico,antioquia,1954,308,67981131,74,35678933,0,0,382,103660064
11,liborina,antioquia,1954,645,49672322,125,26077841,0,0,770,75750163
12,marinilla,antioquia,1954,568,31621944,173,15610332,0,0,741,47232276
13,rionegro,antioquia,1954,435,40655627,204,48037678,0,0,639,88693105
14,santa rosa de osos,antioquia,1954,139,11747351,455,95904700,0,0,594,107652051
15,sonson,antioquia,1954,915,69299700,108,22314718,0,0,1023,91614418
16,sopetran,antioquia,1954,725,58240700,87,40468100,0,0,812,98708800
17,tamesis,antioquia,1954,774,78901116,239,41695251,0,0,1013,120596367
18,turbo,antioquia,1954,301,18467714,129,38061710,0,0,430,56529424
19,urrao,antioquia,1954,651,59767794,146,50810991,0,0,797,110578785
20,yarumal,antioquia,1954,825,79575491,491,117907573,0,0,1316,197483064
21,yolombo,antioquia,1954,897,85100427,229,93243089,0,0,1126,178343516
22,barranquilla,atlantico,1954,726,183885381,296,176566561,0,0,1022,360451942
23,sabanalarga,atlantico,1954,655,41155370,69,19525333,0,0,724,60680703
24,cartagena,bolivar,1954,753,126595478,461,302640018,0,0,1214,429235496
25,calamar,bolivar,1954,274,34388134,194,81062901,0,0,468,115451035
26,corozal,bolivar,1954,372,39341422,699,240624427,0,0,71,279965849
27,el carmen,bolivar,1954,211,29426536,370,142329089,0,0,581,171755625
28,magangue,bolivar,1954,626,65406172,605,219842495,0,0,1231,285248667
29,maria la baja,bolivar,1954,497,25092726,140,65721238,0,0,637,90813964
30,mompos,bolivar,1954,210,53325960,368,130567100,0,0,578,183893060
31,san marcos,bolivar,1954,268,47604633,113,72959931,0,0,381,120564564
32,san onofre,bolivar,1954,489,45759089,112,41509646,0,0,601,87268735
33,sincelejo,bolivar,1954,682,89831061,395,225912966,0,0,1077,315744027
34,tunja,boyaca,1954,2831,424775659,569,185280853,0,0,3400,610056512
35,chiquinquira,boyaca,1954,2659,278204984,456,108266933,0,0,3115,386471917
36,duitama,boyaca,1954,2130,263524461,128,49943583,0,0,2258,313468044
37,el cocuy,boyaca,1954,1346,110671334,425,56903516,0,0,1771,167574850
38,garagoa,boyaca,1954,1620,147733000,393,46523150,0,0,2013,194256150
39,guateque,boyaca,1954,1075,71233500,152,27315231,0,0,1227,98548731
40,guayata,boyaca,1954,652,48134000,44,6146500,0,0,696,54280500
41,leiva,boyaca,1954,1084,80904832,177,53757730,0,0,1261,134662562
42,miraflores,boyaca,1954,709,80260767,1231,98303186,0,0,1940,178563953
43,moniquira,boyaca,1954,1639,116611121,233,58237878,0,0,1872,174848999
44,pauna,boyaca,1954,860,72030500,172,27595169,0,0,1032,99625669
45,pesca,boyaca,1954,1484,96843553,101,20264601,0,0,1585,117108154
46,puebloviejo,boyaca,1954,1004,59988000,25,3667050,0,0,1029,63655050
47,ramiriqui,boyaca,1954,1154,85064272,512,45954430,0,0,1666,132018702
48,san luis de gaceno,boyaca,1954,212,32441000,460,40293339,0,0,672,72734339
49,san luis de palenque,boyaca,1954,108,44933889,456,107517793,0,0,564,152451682
50,soata,boyaca,1954,1871,171735209,181,26591175,0,0,2052,198326384
51,socha,boyaca,1954,896,68621500,270,43325444,0,0,1166,111946944
52,sogamoso,boyaca,1954,2890,237499375,281,85753229,0,0,3171,323252604
53,tamara,boyaca,1954,205,30936000,305,61180000,0,0,510,92116000
54,yopal,boyaca,1954,212,62071584,1100,130821959,0,0,1312,192893543
55,ventaquemada,boyaca,1954,708,78424017,96,12520775,0,0,804,90944792
56,manizales,caldas,1954,754,194003487,258,203607207,0,0,1012,397610694
57,aguadas,caldas,1954,796,107655000,136,40469288,0,0,932,148124288
58,anserma,caldas,1954,722,100607300,142,30091500,0,0,864,130698800
59,apia,caldas,1954,526,94596800,265,34963500,0,0,791,129560300
60,aranzazu,caldas,1954,441,48552862,145,29076226,0,0,586,77629088
61,armenia,caldas,1954,1053,235309700,425,162119314,0,0,1478,397429014
62,belalcazar,caldas,1954,264,66600500,38,14734250,0,0,302,81334750
