,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
0,medellin,antioquia,1960,2286,8465508,2258,18369074,471,2457036,5015,29291618,0,0
1,abejorral,antioquia,1960,411,657053,242,521870,11,69950,664,1248873,0,0
2,amalfi,antioquia,1960,350,821154,198,832186,2,49200,550,1702540,0,0
3,andes,antioquia,1960,435,1345209,211,673718,110,484869,756,2503796,0,0
4,arboletes,antioquia,1960,397,730948,176,1254270,0,0,573,1985218,0,0
5,armenia,antioquia,1960,125,666538,47,373335,7,61648,179,1101521,0,0
6,betania,antioquia,1960,186,674769,45,160413,10,61758,241,896940,0,0
7,betulia,antioquia,1960,225,717237,71,270413,13,118252,309,1105902,0,0
8,bolivar,antioquia,1960,243,1272687,144,846598,43,250350,430,2369635,0,0
9,cañasgordas,antioquia,1960,355,382340,224,347572,27,139845,606,869757,0,0
10,caucasia,antioquia,1960,365,835039,169,1700400,0,0,534,2535439,0,0
11,cisneros,antioquia,1960,268,203639,103,404009,25,69751,396,677399,0,0
12,concordia,antioquia,1960,163,609129,59,226465,21,115959,243,951553,0,0
13,chigorodo,antioquia,1960,173,222762,217,688142,1,2034,391,912938,0,0
14,dabeiba,antioquia,1960,346,662376,239,775355,4,40833,589,1478564,0,0
15,fredonia,antioquia,1960,1018,4154934,191,1554100,105,376771,1314,6085805,0,0
16,frontino,antioquia,1960,414,470753,239,683352,22,155502,675,1309607,0,0
17,granada,antioquia,1960,664,461190,354,270831,7,17924,1025,749945,0,0
18,ituango,antioquia,1960,623,1097984,123,538374,10,137666,756,1774024,0,0
19,jardin,antioquia,1960,169,375130,214,736922,82,307472,465,1419524,0,0
20,jerico,antioquia,1960,334,1277229,156,842814,44,143570,534,2263613,0,0
21,la ceja,antioquia,1960,383,1428800,378,925088,76,306592,837,2660480,0,0
22,liborina,antioquia,1960,481,460346,167,319076,52,161592,700,941014,0,0
23,marinilla,antioquia,1960,535,493294,304,208217,114,302916,953,1004427,0,0
24,puerto berrio,antioquia,1960,72,340951,148,1026930,1,810,221,1368691,0,0
25,remedios,antioquia,1960,193,474253,240,836994,10,76663,443,1387910,0,0
26,rionegro,antioquia,1960,471,436238,546,706975,66,273471,1083,1416684,0,0
27,salgar,antioquia,1960,119,744959,122,633431,32,301181,273,1679571,0,0
28,san carlos,antioquia,1960,380,514751,436,650511,1,2575,817,1167837,0,0
29,san roque,antioquia,1960,246,228945,236,549966,26,64690,508,843601,0,0
30,santa barbara,antioquia,1960,286,508165,99,331129,45,189942,430,1029236,0,0
31,santafe de antioquia,antioquia,1960,347,372526,97,262275,22,134549,466,769350,0,0
32,santa rosa de osos,antioquia,1960,207,473987,439,1437417,13,46609,659,1958013,0,0
33,santuario,antioquia,1960,711,678211,402,417272,52,147809,1165,1243292,0,0
34,sonson,antioquia,1960,689,788335,78,233286,117,254406,884,1276027,0,0
35,sopetran,antioquia,1960,518,642808,183,594758,96,357881,797,1595447,0,0
36,tamesis,antioquia,1960,611,1089197,180,449522,84,264669,875,1803388,0,0
37,titiribi,antioquia,1960,271,974855,89,792807,20,97338,380,1865000,0,0
38,turbo,antioquia,1960,453,572754,196,696198,0,0,649,1268952,0,0
39,urrao,antioquia,1960,368,740845,297,758533,84,240964,749,1740342,0,0
40,yarumal,antioquia,1960,673,781578,365,1820463,112,542919,1150,3144960,0,0
41,yolombo,antioquia,1960,231,310940,122,712180,3,28499,356,1051619,0,0
42,barranquilla,atlantico,1960,1826,4027394,711,6816930,107,613987,2644,11458311,0,0
43,sabanalarga,atlantico,1960,1202,945866,334,1430779,20,74879,1556,2451524,0,0
44,cartagena,bolivar,1960,1507,4957720,1028,9579977,116,1151242,2651,15688939,0,0
45,calamar,bolivar,1960,1095,2148152,478,3682657,3,64100,1576,5894909,0,0
46,corozal,bolivar,1960,204,803527,384,2277143,89,373094,677,3453764,0,0
47,el carmen,bolivar,1960,562,1091893,401,2621497,131,776453,1094,4489843,0,0
48,magangue,bolivar,1960,591,1506069,453,3125667,20,150531,1064,4782267,0,0
49,marta la baja,bolivar,1960,468,626404,184,1010686,14,83142,666,1720232,0,0
50,majagual,bolivar,1960,347,846554,153,637451,0,0,500,1484005,0,0
51,mompos,bolivar,1960,525,1875661,533,4245984,16,73016,1074,6194661,0,0
52,ovejas,bolivar,1960,202,491907,226,1150388,26,135572,454,1777867,0,0
53,san juan nepomuceno,bolivar,1960,681,631720,329,1601214,54,283388,1064,2516322,0,0
54,san onofre,bolivar,1960,756,918976,361,1914363,0,0,1117,2833339,0,0
55,since,bolivar,1960,528,1113585,457,2249286,66,273756,1051,3636627,0,0
56,sincelejo,bolivar,1960,1236,2110346,500,4433917,33,391170,1769,6935433,0,0
57,sucre,bolivar,1960,242,600665,240,1237059,1,12,483,1849724,-11988,0
58,tuaja,boyaca,1960,1716,3970380,428,3012943,370,1634782,2514,8618105,0,0
59,chiquinquira,boyaca,1960,1647,3220200,577,1974803,126,762461,2350,5957464,0,0
60,duitama,boyaca,1960,1029,2294735,252,1441573,96,376095,1377,4112403,0,0
61,el cocuy,boyaca,1960,590,861254,262,657293,43,310058,895,1828605,0,0
62,el espino,boyaca,1960,1111,990125,188,410359,27,113422,1326,1513906,0,0
63,garagoa,boyaca,1960,1470,2375047,367,1014505,92,316523,1929,3706075,0,0
64,guateque,boyaca,1960,1293,1551710,169,519962,78,290319,1540,2361991,0,0
65,guayata,boyaca,1960,1104,1647410,136,296188,11,35087,1251,1978685,0,0
66,la uvita,boyaca,1960,1197,1399460,273,530054,10,40395,148,1969909,0,1332
67,leiva,boyaca,1960,1305,1839170,201,559517,107,333461,1613,2732148,0,0
68,miraflores,boyaca,1960,1493,3440394,119,1504792,137,608941,2820,5554127,0,-1071
69,moniquira,boyaca,1960,1211,1414112,255,957887,93,355107,1559,2727106,0,0
70,orocue,boyaca,1960,55,104020,139,305191,0,0,194,409211,0,0
71,pauna,boyaca,1960,1074,1322106,208,483411,34,133338,1316,1938855,0,0
72,pazde ariporo,boyaca,1960,51,193843,226,925636,0,0,277,1119479,0,0
73,pesca,boyaca,1960,1269,1168838,113,293170,61,251109,1443,1713117,0,0
74,pueblo viejo,boyaca,1960,1118,1016249,103,173018,18,39296,1239,1228663,-100,0
75,puerto boyaca,boyaca,1960,285,973653,129,1312637,3,10338,417,2296628,0,0
76,ramiriqui,boyaca,1960,1567,2228267,125,299652,142,451144,1834,2979063,0,0
77,saboya,boyaca,1960,1549,2773439,469,1399940,22,66629,2040,4240008,0,0
78,san luis de gaceno,boyaca,1960,739,2151395,220,578735,5,28979,964,2759109,0,0
79,san luis de palenque,boyaca,1960,131,399980,354,1186743,0,0,485,1586723,0,0
80,santa rosa de vitervo,boyaca,1960,786,1072310,110,393267,83,310157,979,1775734,0,0
81,soata,boyaca,1960,1409,1345686,253,411872,47,154065,1709,1911623,0,0
