,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
0,Medellin,Antioquia,1541,8009701,2217,21642219,444,2808082,4202,32460002,-2808082,-444
1,Abejorral,Antioquia,397,617441,294,673041,13,63610,704,1354092,-63610,-13
2,Amagá.,Antioquia,439,1101259,111,644678,66,300637,616,2046574,-300637,-66
3,Amalfi,Antioquia,205,431416,140,637140,4,129552,349,1198108,-129552,-4
4,Andes,Antioquia,431,1269783,241,843418,111,438465,783,2551666,-438465,-111
5,Anori,Antioquia,82,208989,39,104521,0,0,121,313510,0,0
6,Antioquia,Antioquia,391,447580,125,343188,24,182057,540,972825,-182057,-24
7,Arboletes,Antioquia,670,1085347,207,1451056,0,0,877,2536403,0,0
8,Armenia,Antioquia,175,751838,71,456741,7,58036,253,1266615,-58036,-7
9,Barbosa.,Antioquia,614,448619,235,347743,56,225997,905,1022359,-225997,-56
10,Betania,Antioquia,227,704150,65,234758,9,51641,301,990549,-51641,-9
11,Betulia,Antioquia,253,830738,74,401412,15,176336,342,1408486,-176336,-15
12,Bolivar,Antioquia,225,1157700,149,872921,41,163072,415,2193693,-163072,-41
13,Cañasgordas,Antioquia,390,420509,245,375377,32,149984,667,945870,-149984,-32
14,Caucasia,Antioquia,602,1470995,203,2481890,0,0,805,3952885,0,0
15,Cisneros,Antioquia,238,169672,114,432777,20,35839,372,638288,-35839,-20
16,Concordia,Antioquia,195,723110,45,231987,20,103902,260,1058999,-103902,-20
17,Chigorod6,Antioquia,285,350845,356,1024671,4,15942,645,1391458,-15942,-4
18,Dabeiba,Antioquia,397,797059,245,856289,5,38697,647,1692045,-38697,-5
19,Fredonia,Antioquia,720,4494201,209,1913074,83,464276,1012,6871551,-464276,-83
20,Frontino,Antioquia,372,446334,295,1003645,28,245772,695,1695751,-245772,-28
21,Granada,Antioquia,667,522698,345,333408,9,22009,1021,878115,-22009,-9
22,Ituango,Antioquia,590,1050536,141,582269,12,186180,743,1818985,-186180,-12
23,Jardin,Antioquia,155,380020,256,869505,93,407944,504,1657469,-407944,-93
24,Jericó,Antioquia,347,1472320,205,1336541,50,225683,602,3034544,-225683,-50
25,La Ceja,Antioquia,412,1846200,417,1183531,83,395163,912,3424894,-395163,-83
26,Liborina,Antioquia,457,440469,167,475407,53,152942,677,1068818,-152942,-53
27,Marinilla,Antioquia,553,540136,243,268445,97,250503,893,1059084,-250503,-97
28,Nariño.:,Antioquia,360,429280,57,196807,40,58050,457,684137,-58050,-40
29,.Puerto Berrfo,Antioquia,120,447333,181,1501072,1,720,302,1949125,-720,-1
30,Remedios,Antioquia,210,481015,261,1067491,9,66813,480,1615319,-66813,-9
31,Rionegro,Antioquia,506,560459,709,1050106,137,560667,1352,2171232,-560667,-137
32,Salgar,Antioquia,145,775448,154,1006398,27,202422,326,1984268,-202422,-27
33,San Carlos,Antioquia,392,551760,466,612674,1,1648,859,1166082,-1648,-1
34,San Roque ..,Antioquia,313,292118,295,853571,34,300953,642,1446642,-300953,-34
35,Santa Bárbara,Antioquia,358,701809,113,307694,42,166954,513,1176457,-166954,-42
36,Santa Rosa de osos,Antioquia,202,506884,417,1775478,9,29151,628,2311513,-29151,-9
37,Santuario,Antioquia,841,833392,423,464846,52,175003,1316,1473241,-175003,-52
38,Sonsón,Antioquia,512,643602,74,194426,68,155613,654,993641,-155613,-68
39,Sopetrán,Antioquia,469,614688,182,868181,105,399295,756,1882164,-399295,-105
40,Támesis,Antioquia,669,1141195,214,698622,80,255465,963,2095282,-255465,-80
41,Titiribl,Antioquia,136,793309,63,793560,13,76886,212,1663755,-76886,-13
42,Turbo,Antioquia,503,790322,244,1153635,0,0,747,1943957,0,0
43,Urrao,Antioquia,393,915583,390,1270122,79,231568,862,2417273,-231568,-79
44,Yarumal,Antioquia,616,810006,369,2129935,108,468208,1093,3408149,-468208,-108
45,Yolombo,Antioquia,204,282775,117,719440,6,39701,327,1041916,-39701,-6
