,Unnamed: 0,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,0,medellin,antioquia,1959,1760,2203923.741573034,1816,7332515.258426966,505,1775928.3033707866,4081,11312367.303370787
1,1,abejorral,antioquia,1959,379,298258.3146067416,127,147137.29213483146,13,65555.05617977527,519,510950.6629213483
2,2,amalfi,antioquia,1959,346,369122.52808988764,177,360196.3820224719,1,4813.483146067416,524,734132.3932584269
3,3,andes,antioquia,1959,351,538667.7303370787,184,467966.25842696626,130,411478.3146067416,665,1418112.3033707866
4,4,betulia,antioquia,1959,215,323154.91011235956,67,176358.0,14,79669.44943820225,296,579182.3595505618
5,5,bolivar,antioquia,1959,273,651155.9662921348,159,443883.9438202247,63,326580.5056179775,495,1421620.4157303371
6,6,cañasgordas,antioquia,1959,418,265837.78651685396,246,238014.70786516854,35,121315.8202247191,699,625168.3146067415
7,7,caucasia,antioquia,1959,155,221781.23595505618,100,635849.6629213484,1,2319.6404494382023,256,859950.5393258426
8,8,cisneros,antioquia,1959,343,114950.5617977528,121,197546.49438202247,37,69958.82022471911,501,382455.8764044944
9,9,concordia,antioquia,1959,181,328912.75280898873,58,136080.60674157302,25,84120.77528089887,264,549114.1348314607
10,10,chigorodo,antioquia,1959,62,40845.84269662921,46,115365.43820224718,0,0.0,108,156211.2808988764
11,11,dabeiba,antioquia,1959,310,313525.65168539324,200,381194.62921348313,3,14746.449438202248,513,709466.7303370787
12,12,fredonia,antioquia,1959,892,1635481.1797752809,212,709731.4719101123,120,232992.06741573033,1224,2578204.7191011235
13,13,frontino,antioquia,1959,367,223955.8988764045,215,290775.06741573033,24,95833.01123595505,606,610563.9775280899
14,14,granada,antioquia,1959,565,208745.8651685393,280,131817.80898876404,6,9564.505617977527,851,350128.1797752809
15,15,ituango,antioquia,1959,624,547467.8089887641,132,305915.19101123593,4,17706.74157303371,760,871089.7415730337
16,16,jardin,antioquia,1959,158,173695.11235955055,203,377858.42696629214,57,143674.44943820225,418,695227.988764045
17,17,jerico,antioquia,1959,334,606991.6853932585,137,294707.2247191011,57,112787.3595505618,528,1014486.2696629213
18,18,la ceja,antioquia,1959,309,379725.9438202247,356,419641.75280898873,79,211751.42696629214,744,1011119.1235955056
19,19,liborina,antioquia,1959,466,276630.30337078654,164,237587.79775280898,59,130335.94382022471,689,644554.0449438202
20,20,marinilla,antioquia,1959,510,223756.48314606742,359,208141.31460674157,130,221581.24719101124,999,653479.0449438202
21,21,puerto berrio,antioquia,1959,44,101426.96629213484,129,457718.1235955056,0,0.0,173,559145.0898876404
22,22,remedios,antioquia,1959,193,172892.8651685393,222,491479.55056179775,5,14665.651685393259,420,679038.0674157303
23,23,rionegro,antioquia,1959,392,146970.5393258427,384,277190.15730337077,61,121586.29213483146,837,545746.988764045
24,24,salgar,antioquia,1959,108,311495.393258427,106,313932.5056179775,41,237160.31460674157,255,862588.213483146
25,25,san carlos,antioquia,1959,308,241814.49438202247,307,335930.69662921346,1,1849.752808988764,616,579594.9438202247
26,26,san roque,antioquia,1959,307,109297.01123595505,186,261180.16853932585,29,44272.58426966292,522,414749.7640449438
27,27,santa barbara,antioquia,1959,308,346131.84269662923,83,141943.31460674157,50,122040.70786516854,441,610115.8651685393
28,28,santafe de antioquia,antioquia,1959,371,190754.32584269662,88,122229.23595505618,24,48939.94382022472,483,361923.5056179775
29,29,santa rosa de osos,antioquia,1959,98,74053.7191011236,431,788893.213483146,12,32019.404494382023,541,894966.3370786516
30,30,santuario,antioquia,1959,560,311035.8202247191,371,201056.8988764045,55,70433.86516853933,986,582526.584269663
31,31,sonson,antioquia,1959,672,373380.1685393258,72,97130.3595505618,128,178653.57303370786,872,649164.1011235955
32,32,sopetran,antioquia,1959,613,303742.2471910112,175,292192.75280898873,85,242479.78651685393,873,838414.786516854
33,33,tamesis,antioquia,1959,552,457512.40449438203,149,280215.7752808989,105,234926.62921348313,806,972654.8089887641
34,34,turbo,antioquia,1959,284,204934.04494382022,183,508450.5168539326,0,0.0,467,713384.5617977529
35,35,urrao,antioquia,1959,376,270255.8764044944,300,435111.37078651687,94,182261.96629213484,770,887629.213483146
36,36,yarumal,antioquia,1959,808,493108.6853932584,433,1008402.3707865168,129,411807.23595505615,1370,1913318.2921348314
37,37,yolombo,antioquia,1959,281,186347.6966292135,112,404627.69662921346,6,9481.988764044943,399,600457.3820224719
38,38,barranquilla,atlantico,1959,1424,2916430.415730337,533,3046032.3033707864,122,417435.0,2079,6379897.7191011235
39,39,sabanalarga,atlantico,1959,1287,445938.84269662923,351,780044.4269662921,22,71585.66292134831,1660,1297568.9325842697
40,40,cartagena,bolivar,1959,1423,1850706.3370786516,897,4386900.235955056,112,663582.7752808989,2432,6901189.348314607
41,41,calamar,bolivar,1959,881,673124.3595505618,246,776865.8089887641,3,18337.07865168539,1130,1468327.2471910112
42,42,corozal,bolivar,1959,141,142983.37078651684,359,1011238.3146067415,90,237395.2584269663,590,1391616.9438202246
43,43,el carmen,bolivar,1959,242,202088.35955056178,298,929656.6516853933,129,540407.4606741572,669,1672152.4719101123
44,44,magangue,bolivar,1959,489,553945.9550561798,546,1925825.3258426967,22,97326.33707865169,1057,2577097.617977528
45,45,majagual,bolivar,1959,122,174229.1797752809,143,393100.55056179775,0,0.0,265,567329.7303370787
46,46,maria la baja,bolivar,1959,254,148097.1235955056,179,380804.96629213484,12,58280.393258426964,445,587182.4831460674
47,47,mompos,bolivar,1959,219,511091.0561797753,564,1715821.6516853932,16,51683.05617977528,799,2278595.7640449437
48,48,ovejas,bolivar,1959,144,159541.1797752809,190,415231.11235955055,28,103736.29213483146,362,678508.584269663
49,49,san juan nepomuceno,bolivar,1959,411,189181.34831460673,330,709683.9101123596,55,171416.1573033708,796,1070281.4157303371
50,50,san onofre,bolivar,1959,758,495353.25842696626,296,727928.1573033708,1,20056.1797752809,1055,1243337.595505618
51,51,since,bolivar,1959,403,513031.34831460676,482,1032313.9213483146,71,178684.51685393258,956,1724029.7865168538
52,52,sincelejo,bolivar,1959,906,1005144.1011235955,452,2313377.191011236,40,286356.9775280899,1398,3604878.2696629213
53,53,sucre,bolivar,1959,77,222136.51685393258,190,433021.5168539326,1,9168.539325842696,268,664326.5730337079
54,54,tunja,boyaca,1959,1944,1980974.0898876404,349,1181055.7078651686,560,1326179.9325842697,2853,4488209.730337079
55,55,chiquinquira,boyaca,1959,1417,1310771.629213483,523,755077.3483146067,117,327773.5617977528,2057,2393622.5393258426
56,56,duitama,boyaca,1959,824,697569.9775280899,191,555233.5617977529,116,272351.4606741573,1131,1525155.0
57,57,el cocuy,boyaca,1959,493,326154.1685393258,257,341254.1797752809,42,156442.78651685393,792,823851.1348314607
58,58,el espino,boyaca,1959,849,374840.8314606742,123,125356.85393258427,28,71462.46067415731,1000,571660.1460674157
59,59,garagoa,boyaca,1959,1313,973994.5617977527,294,442293.202247191,102,210793.88764044942,1709,1627081.6516853932
60,60,guateque,boyaca,1959,1305,681580.6179775281,159,263496.9438202247,61,129205.9213483146,1525,1074283.4831460675
61,61,guayata,boyaca,1959,955,656286.9101123596,123,138069.60674157302,11,18452.25842696629,1089,812808.7752808989
62,62,la uvita,boyaca,1959,1047,649319.3932584269,219,230879.8651685393,10,30456.16853932584,1276,910655.4269662921
63,63,leiva,boyaca,1959,1089,639019.1123595505,110,160614.47191011236,129,210283.88764044942,1328,1009917.4719101123
64,64,miraflores,boyaca,1959,1288,1303200.1348314607,1394,977604.1011235955,158,511800.47191011236,2840,2792604.7078651683
65,65,moniquira,boyaca,1959,1221,789182.0224719101,218,515440.3820224719,139,328252.6179775281,1578,1632875.02247191
66,66,orocue,boyaca,1959,57,49537.04494382023,152,146313.8426966292,0,0.0,209,195850.88764044942
67,67,pauna,boyaca,1959,837,518578.3146067416,188,190875.23595505618,38,81884.22471910113,1063,791337.7752808989
68,68,pesca,boyaca,1959,1348,614586.6741573034,74,95570.5617977528,55,156422.1573033708,1477,866579.3932584269
69,69,puebloviejo,boyaca,1959,1189,548221.3483146067,85,70098.06741573033,20,22892.123595505618,1294,641211.5393258426
70,70,puerto boyaca,boyaca,1959,95,160475.22471910113,26,88648.88764044944,2,4540.7191011235955,123,253664.83146067415
71,71,ramiriqui,boyaca,1959,1374,815418.3707865168,152,184844.05617977527,164,328179.2696629213,1690,1328441.6966292134
72,72,saboya,boyaca,1959,1458,1163699.0898876404,280,389052.06741573033,31,50151.33707865168,1769,1602902.4943820224
73,73,san luis de gaceno,boyaca,1959,679,1008040.213483146,441,506706.202247191,7,25757.865168539327,1127,1540504.2808988765
74,74,san luis de palenque,boyaca,1959,57,100615.55056179775,376,610340.4943820224,0,0.0,433,710956.0449438202
75,75,santa rosa de viterbo,boyaca,1959,825,610102.1123595505,58,146552.79775280898,85,187984.85393258426,968,944639.7640449438
76,76,soata,boyaca,1959,1383,635050.8539325843,151,180149.19101123596,49,95769.40449438202,1583,910969.4494382022
77,77,socha,boyaca,1959,767,500875.01123595505,145,151758.23595505618,14,36997.92134831461,926,689631.1685393258
78,78,sogamoso,boyaca,1959,3033,1703384.5280898877,278,1243851.606741573,99,241279.2808988764,3410,3188515.415730337
79,79,tamara,boyaca,1959,269,267583.8202247191,222,328423.3820224719,0,0.0,491,596007.202247191
80,80,ventaquemada,boyaca,1959,782,805115.2247191011,89,115968.84269662922,91,213504.33707865168,962,1134588.404494382
81,81,yopal,boyaca,1959,177,226093.88764044942,493,491485.8539325843,0,0.0,670,717579.7415730337
82,82,manizales,caldas,1959,470,1448004.033707865,476,2621617.7528089886,206,720647.7640449438,1152,4790269.550561798
83,83,aguadas,caldas,1959,505,493177.44943820225,164,515067.3370786517,67,215389.61797752808,736,1223634.404494382
84,84,anserma,caldas,1959,1026,1191930.168539326,270,614556.8764044944,91,355804.65168539324,1387,2162291.6966292136
85,85,apia,caldas,1959,397,424529.15730337077,174,250774.44943820225,17,41160.43820224719,588,716464.0449438202
86,86,aranzazu,caldas,1959,599,495963.5393258427,246,407154.77528089884,68,176877.16853932585,913,1079995.4831460675
87,87,armenia,caldas,1959,886,1846148.426966292,296,1267616.4606741574,179,442563.1011235955,1361,3556327.988764045
88,88,belalcazar,caldas,1959,289,589336.5168539325,98,160392.13483146066,9,56004.87640449438,396,805733.5280898876
89,89,belen de umbria,caldas,1959,300,336943.8202247191,92,154275.0,36,186226.21348314607,428,677445.0337078652
90,90,calarca,caldas,1959,460,969409.7191011236,180,566032.9550561798,67,193224.67415730338,707,1728667.3483146068
91,91,chinchina,caldas,1959,306,342783.03370786516,100,191719.88764044942,58,254461.34831460673,464,788964.2696629213
92,92,filandia,caldas,1959,368,223354.21348314607,96,75842.73033707865,49,72364.98876404495,513,371561.93258426967
93,93,genova,caldas,1959,154,259461.06741573033,49,167698.31460674157,8,25328.08988764045,211,452487.47191011236
94,94,la dorada,caldas,1959,358,712339.9213483146,340,1513761.9438202246,40,124496.73033707865,738,2350598.595505618
95,95,manzanares,caldas,1959,924,809235.3370786516,361,358844.0224719101,28,71433.80898876404,1313,1239513.168539326
96,96,marsella,caldas,1959,269,292785.84269662923,115,195393.60674157302,60,253161.13483146066,444,741340.584269663
97,97,neira,caldas,1959,125,110535.33707865169,38,54798.06741573034,19,106655.89887640449,182,271989.30337078654
98,98,pacora,caldas,1959,385,327679.01123595505,133,308717.32584269665,27,72544.9213483146,545,708941.2584269663
99,99,palestina,caldas,1959,98,176396.96629213484,20,56109.168539325845,17,103339.75280898876,135,335845.88764044945
100,100,pensilvania,caldas,1959,787,693457.3146067415,496,364101.606741573,46,105663.97752808989,1329,1163222.8988764044
101,101,pereira,caldas,1959,549,850565.3932584269,382,1613742.0,179,611230.415730337,1110,3075537.808988764
102,102,pijao,caldas,1959,92,306532.9213483146,44,136467.9775280899,14,32307.067415730337,150,475307.96629213484
103,103,quinchia,caldas,1959,547,224377.07865168538,35,49332.471910112356,6,49863.67415730337,588,323573.2247191011
104,104,quimbaya,caldas,1959,271,313762.3146067416,91,156509.2584269663,39,92516.86516853933,401,562788.4382022471
105,105,riosucio,caldas,1959,1221,479455.5842696629,122,217469.1573033708,186,390080.08988764044,1529,1087004.831460674
106,106,salamina,caldas,1959,470,417050.4943820225,304,523538.4943820225,67,168542.39325842698,841,1109131.3820224719
107,107,santa rosa de cabal,caldas,1959,519,452602.65168539324,351,440074.98876404495,177,486523.3820224719,1047,1379201.02247191
108,108,santuario,caldas,1959,236,305298.606741573,72,143291.08988764044,3,11174.157303370786,311,459763.8539325843
109,109,viterbo,caldas,1959,123,239400.87640449437,22,37479.269662921346,25,69537.06741573033,170,346417.21348314604
110,110,popayan,cauca,1959,814,721851.1348314607,532,2626631.797752809,245,479098.01123595505,1591,3827580.9438202246
111,111,bolivar,cauca,1959,665,487306.1460674157,313,288341.96629213484,9,9594.303370786516,987,785242.415730337
112,112,caloto,cauca,1959,393,294421.8539325843,163,349721.32584269665,119,226488.70786516854,675,870631.8876404495
113,113,corinto,cauca,1959,197,154409.66292134832,162,272681.52808988764,23,48091.2808988764,382,475182.47191011236
114,114,el bordo,cauca,1959,168,188012.35955056178,154,452345.3595505618,31,63333.40449438202,353,703691.1235955056
115,115,el tambo,cauca,1959,579,269404.9213483146,269,381660.5056179775,87,152601.7415730337,935,803667.1685393258
116,116,miranda,cauca,1959,111,123202.24719101124,29,133742.05617977527,31,60385.71910112359,171,317330.0224719101
117,117,paez,cauca,1959,103,58635.67415730337,182,252438.5393258427,0,0.0,285,311074.21348314604
118,118,piendamo,cauca,1959,836,420625.0786516854,126,220359.5393258427,160,278430.202247191,1122,919414.8202247191
119,119,puerto tejada,cauca,1959,254,209241.5393258427,98,246100.21348314607,49,103558.65168539326,401,558900.404494382
120,120,santander,cauca,1959,693,486421.3820224719,181,424517.69662921346,105,161576.59550561797,979,1072515.6741573033
121,121,timbio,cauca,1959,677,356378.25842696626,162,229247.8651685393,238,395597.25842696626,1077,981223.3820224719
122,122,monteria,cordoba,1959,553,1171144.5168539325,435,2998225.247191011,22,104308.17977528089,1010,4273677.943820225
123,123,ayapel,cordoba,1959,171,247007.32584269662,132,518958.23595505615,4,11368.988764044943,307,777334.5505617977
124,124,cerete,cordoba,1959,853,1769125.2471910112,551,2317455.4719101125,7,60374.831460674155,1411,4146955.550561798
125,125,cienaga de oro,cordoba,1959,286,422741.2921348315,218,545709.1685393258,4,28193.25842696629,508,996643.7191011236
126,126,chinu,cordoba,1959,273,162690.0,182,480543.77528089884,3,21494.494382022473,458,664728.2696629213
127,127,lorica,cordoba,1959,959,903206.5617977527,545,1886028.7078651686,43,139808.76404494382,1547,2929044.033707865
128,128,montelibano,cordoba,1959,161,335617.2471910112,127,618988.7191011236,0,0.0,288,954605.9662921348
129,129,sahagun,cordoba,1959,540,381423.2696629213,451,1731616.7528089888,47,217675.44943820225,1038,2330715.4719101125
130,130,san andres,cordoba,1959,283,210127.44943820225,156,505484.4943820225,8,22912.752808988764,447,738524.6966292135
131,131,san bernardo del viento,cordoba,1959,513,474181.3820224719,105,446034.5393258427,11,2586.674157303371,629,922802.595505618
132,132,san marcos,cordoba,1959,201,265283.08988764044,247,1034823.8089887641,1,14039.32584269663,449,1314146.224719101
133,133,tierralta,cordoba,1959,422,431092.11235955055,321,989218.9213483146,1,14325.842696629214,744,1434636.8764044943
134,134,bogota,cundinamarca,1959,1822,6630324.91011236,2592,16292403.84269663,1375,5895865.887640449,5789,28818594.64044944
135,135,anolaima,cundinamarca,1959,670,529031.0224719101,151,219047.8651685393,168,401592.91011235956,989,1149671.797752809
136,136,arbelaez,cundinamarca,1959,441,285783.37078651687,101,144585.57303370786,92,280249.01123595505,634,710617.9550561798
137,137,cabrera,cundinamarca,1959,349,266572.98876404495,1002,973089.7415730337,43,165092.73033707865,1394,1404755.4606741574
138,138,cachipay,cundinamarca,1959,265,259034.1573033708,44,88379.5617977528,67,160973.19101123596,376,508386.91011235956
139,139,caqueza,cundinamarca,1959,1227,868715.0898876404,119,175826.79775280898,77,165885.23595505618,1423,1210427.1235955057
140,140,chia,cundinamarca,1959,265,435427.11235955055,98,350982.57303370786,54,109694.69662921347,417,896104.3820224719
