Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
amazonas,1961,98,312141,63,206044,0,0,161,518185
antioquia,1961,17795,39160346,10804,46433241,2041,8856465,30640,94450052
arauca,1961,344,1375032,1419,3583688,4,13900,1767,4972620
atlantico,1961,3028,4973260,1045,8247709,127,688866,4200,13909835
bolivar,1961,8944,19723179,5727,39767289,569,3767464,15240,63257932
boyaca,1961,30654,48050219,8119,26444197,1914,7793211,40687,81287727
caldas,1961,12670,30598684,6427,32380120,1742,8832798,20839,71811602
caqueta,1961,1926,3787429,1600,6570052,222,870666,3748,11228147
guajira,1961,2051,6489174,1004,6685894,155,751690,3210,13926758
norte de santander,1961,8168,18030633,2983,15635643,462,2498087,11613,36164363
putumayo,1961,430,586015,798,1579070,69,306882,1297,2471967
san andres y providencia,1961,102,141129,14,61587,0,0,116,202716
santander,1961,21962,41331177,8757,38009107,958,6284665,31677,85624949
tolima,1961,15478,33190008,13242,51617377,1752,18152416,30472,103959801
valle del cauca,1961,7066,19255475,5865,42393130,1818,9210926,14749,70859531
vaupes,1961,174,937857,1,2915,0,0,175,940772
vichada,1961,27,55383,14,43402,0,0,41,98785
