,codmpio,municipio,depto,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,tratamiento,alf_A1938,alf_A1951,alf_A1964,alf_A1973,alf_A2018,numero_prestamos,CP - Promedio,MP - Promedio,LP - Promedio,T - Promedio
0,5004.0,Abriaquí,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1256,1484.0,1942,2422,99.1,0,0.0,0.0,0.0,0.0
1,5021.0,Alejandría,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,6201,5899.0,9163,11004,99.4,0,0.0,0.0,0.0,0.0
2,5030.0,Amagá,Antioquia,439,43.21,111,25.29,66,11.79,616,80.29,1,5361,4896.0,7313,10100,99.5,1,43.21,25.29,11.79,80.29
3,5031.0,Amalfi,Antioquia,3775,19711.09,1837,24446.07,8,9.85,5620,44167.0,1,14118,20379.0,18552,22278,99.6,8,2463.88625,3055.75875,1.23125,5520.875
4,5036.0,Angelópolis,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4363,4350.0,5352,5279,99.3,0,0.0,0.0,0.0,0.0
5,5038.0,Angostura,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3975,3708.0,5143,0,96.7,0,0.0,0.0,0.0,0.0
6,5040.0,Anorí,Antioquia,82,12.25,39,6.13,0,0.0,121,18.38,1,5279,4755.0,9816,8666,99.2,1,12.25,6.13,0.0,18.38
7,5042.0,Santafé de Antioquia,Antioquia,2074,1669.28,452,841.56,96,16.8,2622,2527.65,1,1552,0.0,2337,2692,99.2,6,278.2133333,140.26,2.8,421.275
8,5044.0,Anza,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3357,2614.0,3298,3942,94.7,0,0.0,0.0,0.0,0.0
9,5045.0,Apartadó,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,99.6,0,0.0,0.0,0.0,0.0
10,5051.0,Arboletes,Antioquia,670,172.49,207,230.61,0,0.0,877,403.1,1,0,0.0,0,0,97.0,1,172.49,230.61,0.0,403.1
11,5055.0,Argelia,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2996,0.0,6489,0,99.1,0,0.0,0.0,0.0,0.0
12,5059.0,Armenia,Antioquia,393,125.47,129,72.69,22,13.94,544,212.1,1,6592,7820.0,7937,13367,92.2,2,62.735,36.345,6.97,106.05
13,5079.0,Barbosa,Antioquia,614,20.14,235,15.61,56,10.15,905,45.9,1,9257,22495.0,58617,0,99.4,1,20.14,15.61,10.15,45.9
14,5086.0,Belmira,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2527,3191.0,2998,3122,99.8,0,0.0,0.0,0.0,0.0
15,5088.0,Bello,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4340,3502.0,6040,6688,100.0,0,0.0,0.0,0.0,0.0
16,5091.0,Betania,Antioquia,227,52.65,65,17.55,9,3.86,301,74.06,1,0,0.0,0,0,97.5,1,52.65,17.55,3.86,74.06
17,5093.0,Betulia,Antioquia,1473,8772.63,445,4857.43,49,28.53,1967,13755.31,1,10762,7702.0,18110,23490,94.9,7,1253.232857,693.9185714,4.075714286,1965.044286
18,5107.0,Briceño,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3652,0.0,8303,0,96.7,0,0.0,0.0,0.0,0.0
19,5113.0,Buriticá,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1824,1975.0,2361,3020,99.0,0,0.0,0.0,0.0,0.0
20,5120.0,Cáceres,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1697,0.0,5933,0,92.8,0,0.0,0.0,0.0,0.0
21,5125.0,Caicedo,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,665,1791.0,5052,9494,97.8,0,0.0,0.0,0.0,0.0
22,5129.0,Caldas,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1685,2131.0,2487,2951,99.2,0,0.0,0.0,0.0,0.0
23,5134.0,Campamento,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,5345,7346.0,15246,0,94.9,0,0.0,0.0,0.0,0.0
24,5138.0,Cañasgordas,Antioquia,4498,15113.84,2204,14563.11,138,43.25,6840,29720.18,1,4918,0.0,3629,0,99.1,7,2159.12,2080.444286,6.178571429,4245.74
25,5142.0,Caracolí,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4486,0.0,5492,0,99.6,0,0.0,0.0,0.0,0.0
26,5145.0,Caramanta,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2196,2648.0,3729,4991,99.9,0,0.0,0.0,0.0,0.0
27,5147.0,Carepa,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,99.3,0,0.0,0.0,0.0,0.0
28,5148.0,El Carmen de Viboral,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,6245,7158.0,8428,10776,99.4,0,0.0,0.0,0.0,0.0
29,5150.0,Carolina,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1448,0.0,2571,0,99.3,0,0.0,0.0,0.0,0.0
30,5154.0,Caucasia,Antioquia,920,227.51,430,492.39,1,0.48,1351,720.39,1,2108,0.0,4667,0,99.7,3,75.83666667,164.13,0.16,240.13
31,5172.0,Chigorodó,Antioquia,551,181.85,555,458.18,4,3.4,1110,643.43,1,29643,0.0,101972,0,99.5,3,60.61666667,152.7266667,1.133333333,214.4766667
32,5190.0,Cisneros,Antioquia,1777,2571.28,627,2147.3,133,47.35,2537,4765.92,1,0,0.0,0,0,99.8,6,428.5466667,357.8833333,7.891666667,794.32
33,5197.0,Cocorná,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3100,0.0,4162,0,99.7,0,0.0,0.0,0.0,0.0
34,5206.0,Concepción,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4751,4925.0,5518,5820,99.5,0,0.0,0.0,0.0,0.0
35,5212.0,Copacabana,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3240,3503.0,5917,6277,99.5,0,0.0,0.0,0.0,0.0
36,5234.0,Dabeiba,Antioquia,1053,90.71,669,99.83,12,4.05,1734,194.58,1,112,452.0,2823,7182,90.6,3,30.23666667,33.27666667,1.35,64.86
37,5237.0,Don Matías,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,6397,6927.0,10321,9363,99.6,0,0.0,0.0,0.0,0.0
38,5240.0,Ebéjico,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2316,2279.0,2880,3822,97.1,0,0.0,0.0,0.0,0.0
39,5250.0,El Bagre,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4248,0.0,7293,9377,97.6,0,0.0,0.0,0.0,0.0
40,5264.0,Entrerrios,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,6385,5907.0,7269,8292,99.3,0,0.0,0.0,0.0,0.0
41,5266.0,Envigado,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1610,0.0,2284,0,99.2,0,0.0,0.0,0.0,0.0
42,5306.0,Giraldo,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3450,4391.0,5510,6795,99.7,0,0.0,0.0,0.0,0.0
43,5308.0,Girardota,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4302,4721.0,7188,7998,99.6,0,0.0,0.0,0.0,0.0
44,5310.0,Gómez Plata,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2310,2268.0,2724,3284,99.8,0,0.0,0.0,0.0,0.0
45,5315.0,Guadalupe,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,5221,0.0,6709,0,98.6,0,0.0,0.0,0.0,0.0
