cod_mpio,Cod Dep,Anio,Poblacion,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
5001,50,19566,3705845.68,18283,3864.86,16007,8830.359999999999,1935,15.21,36225,12710.419999999998
5002,50,19566,260974.72,3438,6391.139999999999,925,1044.25,51,9.2,4414,7444.59
5030,5,1962,12036.26,439,43.21,111,25.29,66,11.79,616,80.29
5031,40,15661,74727.24,3775,19711.09,1837,24446.07,8,9.850000000000001,5620,44166.99999999999
5034,50,19566,285089.05,3957,12428.750000000002,2519,11709.39,475,50.59,6951,24188.74
5040,5,1962,8056.47,82,12.25,39,6.13,0,0.0,121,18.38
5042,30,11752,81330.11,2074,1669.28,452,841.5599999999998,96,16.8,2622,2527.65
5051,5,1962,2971.31,670,172.49,207,230.61,0,0.0,877,403.1
5059,10,3922,11428.310000000001,393,125.47,129,72.69,22,13.940000000000001,544,212.1
5079,5,1962,10518.74,614,20.14,235,15.61,56,10.15,905,45.9
5091,5,1962,6316.06,227,52.65,65,17.55,9,3.86,301,74.06
5093,35,13707,60781.700000000004,1473,8772.630000000001,445,4857.43,49,28.53,1967,13755.31
5101,50,19566,169624.47999999998,3201,40291.35,1192,12705.93,227,57.150000000000006,4620,53054.42
5138,35,13707,67838.73000000001,4498,15113.839999999998,2204,14563.11,138,43.25,6840,29720.179999999997
5154,15,5881,14635.93,920,227.51,430,492.39,1,0.48,1351,720.39
5172,15,5881,5493.33,551,181.85000000000002,555,458.18,4,3.4,1110,643.4300000000001
5190,30,11752,28222.299999999996,1777,2571.28,627,2147.3,133,47.35,2537,4765.92
5209,50,19566,115788.2,2630,28590.17,552,8601.24,95,25.22,3277,37216.619999999995
5234,15,5881,34577.96,1053,90.71,669,99.83,12,4.05,1734,194.58
5282,50,19566,172481.63999999998,6731,44091.80999999999,1145,10212.01,414,45.39,8290,54349.2
5284,50,19566,111076.42000000001,6094,39265.92,3525,46969.33,98,28.400000000000002,9717,86263.65
5313,50,19566,100464.68,7860,21728.75,2190,6881.67,30,4.22,10080,28614.65
5361,50,19566,156972.68,6605,19858.800000000003,1523,9906.74,26,8.790000000000001,8154,29774.35
5364,30,11752,57531.979999999996,900,1857.1599999999999,1182,5314.42,262,59.86,2344,7231.44
5368,50,19566,140851.05000000002,3141,24738.670000000002,1252,11970.580000000002,219,29.85,4612,36739.11
5376,35,13707,72163.95,2178,6086.35,2274,10765.359999999999,317,76.99,4769,16928.690000000002
5411,50,19566,78187.17,5053,24962.830000000005,1402,12392.28,227,57.220000000000006,6682,37411.11999999999
5440,45,17614,105346.17,5355,12614.779999999999,2476,6814.56,488,65.45,8319,19494.809999999998
5483,5,1962,10333.65,360,19.62,57,8.99,40,2.65,457,31.26
5579,20,7839,69816.67,257,31.580000000000002,496,111.11,1,0.02,754,142.70999999999998
5604,35,13707,40744.670000000006,931,3527.72,1167,13467.44,28,17.06,2126,17012.229999999996
5615,50,19566,191257.62999999998,4433,8897.58,3208,11875.080000000002,321,31.05,7962,20803.700000000004
5642,30,11752,82013.36000000002,804,3757.09,676,4492.74,144,59.06,1624,8308.87
5649,15,5881,33257.14,1118,70.68,1195,88.15,3,0.37000000000000005,2316,159.2
5670,30,11752,78469.3,1546,1024.08,1047,1489.3700000000001,119,19.86,2712,2533.31
5679,30,11752,100448.35,1567,1921.2300000000002,512,1742.7199999999998,186,25.31,2265,3689.27
5686,50,19566,162393.61999999997,1368,3457.7599999999993,4168,26755.459999999995,47,7.2700000000000005,5583,30220.489999999998
5697,25,9796,60053.590000000004,3068,123.15,1903,85.63999999999999,218,25.53,5189,234.31000000000003
5756,50,19566,298855.93,7211,10055.949999999997,932,3569.9100000000003,442,17.96,8585,13643.8
5761,50,19566,118185.44,6269,20324.55,1305,14844.189999999999,358,68.94,7932,35237.7
5789,50,19566,140111.53,7030,25480.420000000002,2127,14851.329999999998,396,58.32,9553,40385.42
5809,10,3922,23344.66,343,64.95,133,58.56,32,6.72,508,130.23000000000002
5837,50,19566,69407.41,3051,14891.449999999999,1620,34215.09,0,0.0,4671,49106.560000000005
5847,45,17614,145927.49,3464,9367.630000000001,2004,10123.289999999999,342,35.61,5810,19526.550000000003
5887,50,19566,207841.93,7717,16229.119999999999,4527,28553.940000000002,490,64.46,12734,44847.51
5890,50,19566,192160.97999999998,4910,17117.780000000006,1409,19572.420000000006,20,2.4400000000000004,6339,36692.630000000005
8001,80,19566,2856527.84,11671,3851.1399999999994,4823,4266.21,455,4.6,16949,8121.96
8638,64,15661,152261.01,8135,7000.28,2088,6438.540000000001,88,12.430000000000001,10311,13451.25
8685,8,1962,5760.76,746,67.58,108,47.02,1,1.15,855,115.75
11001,500,39148,16141212.92,14422,3162.3599999999997,16732,7758.560000000001,4323,21.639999999999997,35477,10942.65
13001,130,19566,1334267.93,10489,4525.55,6887,11609.220000000001,436,15.740000000000002,17812,16150.51
13140,130,19566,114083.41,5248,13665.559999999998,2552,31751.84,17,17.59,7817,45434.97
13244,130,19566,234576.31999999998,2453,4681.139999999999,3282,27123.940000000002,475,71.85000000000001,6210,31876.680000000004
13430,130,19566,379316.62000000005,4716,6395.529999999999,5222,24142.870000000003,72,7.05,10010,30545.53
13442,130,19566,66534.51,4100,19144.04,1635,41597.579999999994,45,26.269999999999996,5780,60768.01999999999
13468,130,19566,136127.49,2817,17763.89,5220,55495.79,69,13.799999999999999,8106,73273.48999999999
13654,13,1962,10920.84,247,11.06,91,28.36,38,8.14,376,47.57
13657,91,13707,75393.16,2302,1912.74,2177,15975.39,230,69.42,4709,17957.550000000003
13744,13,1962,5252.82,153,37.04,99,33.56,0,0.0,252,70.6
15001,150,19566,329750.3,22612,64438.719999999994,4862,34592.990000000005,1876,119.08,29350,99150.79999999999
15176,150,19566,188389.55,19600,57408.62,4411,23731.999999999996,487,70.36,24498,81210.97999999998
15238,150,19566,230877.21,12977,49742.79,1803,14868.369999999999,411,33.510000000000005,15191,64644.67999999999
15244,150,19566,82693.47999999998,9369,48373.9,2744,24987.689999999995,180,78.13999999999999,12293,73439.72000000002
15248,105,13707,30702.0,5310,15566.989999999998,939,6218.030000000001,120,64.92999999999999,6369,21849.95
15299,150,19566,84075.23000000001,12292,58098.149999999994,3084,24808.850000000002,398,89.91,15774,82996.91000000002
15322,150,19566,69973.93000000001,11261,43514.7,1360,13193.449999999999,235,62.07,12856,56770.229999999996
15325,150,19566,68696.17,8599,33675.48,736,4960.540000000001,44,12.030000000000001,9379,38648.07999999999
15403,105,13707,54381.27,7506,21973.000000000004,1352,4926.83,41,12.86,8899,26912.209999999995
15407,150,19566,37171.69,11071,119133.13000000002,1792,68042.29,495,193.54000000000002,13358,187368.99
15455,150,19566,68077.6,8880,40689.8,11694,58419.45,580,241.21,21154,99350.47
15469,150,19566,134533.44999999998,14122,38876.38,2288,19078.989999999994,491,83.92,16901,58039.299999999996
15480,15,1962,1946.55,193,114.92,95,69.92,1,0.7,289,185.55
15516,15,1962,10750.89,502,50.16,167,29.51,65,12.18,734,91.85
15531,150,19566,38538.399999999994,8921,112937.04000000002,1784,37659.130000000005,151,64.18,10856,150660.33
15542,150,19566,128345.73000000001,14308,34592.85,969,7381.58,232,43.72,15509,42018.14000000001
15572,45,5881,11261.7,651,325.19000000000005,283,388.05999999999995,8,4.01,942,717.26
15599,150,19566,67580.07,13531,71078.56999999999,2688,28810.94,563,156.07999999999998,16782,100176.56
15632,105,13707,83305.42000000001,8670,15542.67,2393,4940.19,111,16.54,11174,20499.4
15667,120,15661,16683.83,4224,73669.71000000002,3698,67976.33,27,56.94,7949,141702.97999999998
15693,105,13707,43028.04,5618,28651.61,623,7066.39,342,112.22,6583,35830.24
15753,150,19566,81937.64,14399,82320.22999999998,1430,16367.28,201,46.97,16030,98734.5
15755,150,19566,102731.79999999999,10832,23493.519999999997,805,2757.76,81,9.08,11718,26260.35
15757,150,19566,63865.82999999999,7783,49092.99,1914,23258.690000000002,51,18.86,9748,72370.54999999999
15759,150,19566,291878.32,30442,43024.98,2516,14778.16,382,24.659999999999997,33340,57827.799999999996
15804,15,1962,8990.84,1302,121.55,83,10.83,69,15.34,1454,147.72
15814,30,3922,11236.49,1167,169.34,157,106.22999999999999,278,93.75999999999999,1602,369.32
15861,120,15661,61611.1,5868,21876.46,704,6873.830000000001,297,87.84,6869,28838.140000000003
17001,170,19566,1274797.0,5196,5566.549999999999,3994,7614.07,794,19.27,9984,13199.9
17013,170,19566,201759.26,6040,23810.49,1481,10391.009999999998,285,42.01,7806,34243.51
17042,170,19566,243642.86,8272,21102.829999999994,2094,9658.630000000001,363,48.5,10729,30809.97
17050,136,15661,133630.06,4305,10403.25,1700,7174.120000000001,243,31.830000000000002,6248,17609.190000000002
17088,153,17614,94065.55000000002,2877,32371.15,696,5479.46,45,20.349999999999998,3618,37870.990000000005
17174,119,13707,116074.64,1767,2961.2899999999995,618,2739.6,232,54.68,2617,5755.57
17380,170,19566,43840.920000000006,2594,73202.68000000001,3704,211130.01,152,114.74000000000001,6450,284447.42999999993
17433,170,19566,166634.28,10097,41638.97,3055,14571.439999999999,135,19.759999999999998,13287,56230.149999999994
17486,102,11752,93763.3,800,944.24,359,1197.75,85,29.07,1244,2171.0699999999997
17513,119,13707,119430.81,2736,5517.86,1093,3579.3299999999995,128,19.55,3957,9116.73
17524,102,11745,51444.76,543,4573.910000000001,142,2403.7799999999997,52,35.54,737,7013.2300000000005
17541,170,19566,245166.8,8682,18614.230000000003,4079,7778.630000000001,185,18.619999999999997,12945,26374.600000000002
17614,170,19566,296270.17,13148,12003.930000000002,1393,4779.44,693,47.72,15234,16831.089999999997
17653,170,19566,204679.38999999998,5890,16402.68,3191,18843.690000000002,271,30.28,9352,35276.659999999996
17662,34,3922,34278.020000000004,735,30.369999999999997,247,14.43,23,4.09,1005,48.89
17877,51,5881,40165.78,378,48.040000000000006,75,16.0,81,18.85,534,82.9
18001,180,19566,183915.0,11233,28584.15,5280,32095.339999999997,285,30.09,16798,60709.56
18094,18,1962,3326.93,757,139.53,352,172.24,72,39.85,1181,351.63
18592,18,1962,0.0,406,0.0,187,0.0,36,0.0,629,0.0
18753,72,7839,39879.06,912,132.51,1004,162.02999999999997,144,27.91,2060,322.45
18756,18,1962,0.0,325,0.0,247,0.0,1,0.0,573,0.0
19001,190,19566,452092.98000000004,13331,20643.569999999996,5025,23311.779999999995,1105,47.849999999999994,19461,44003.22000000001
19022,19,1962,11508.05,315,20.18,161,18.3,0,0.0,476,38.48
19100,190,19566,238984.15,7531,18298.990000000005,3316,9434.239999999998,34,1.37,10881,27734.609999999997
19142,171,17614,137860.89,4320,13380.289999999999,1758,14787.459999999997,474,55.4,6552,28223.16
19212,57,5881,26066.63,803,64.39,552,94.59,86,22.32,1441,181.3
19256,190,19566,163807.69,6818,10576.07,1933,5833.6900000000005,351,33.49,9102,16443.260000000002
19318,19,1962,11554.98,21,0.72,0,0.0,0,0.0,21,0.72
19450,19,1962,9370.72,288,27.65,184,36.62,10,1.84,482,66.11
19455,57,5881,25959.46,443,49.47,166,61.24000000000001,118,26.62,727,137.33
19517,76,7839,29043.85,699,43.61,768,115.04,3,0.35,1470,159.0
19532,57,5881,40910.95,904,67.35,670,123.77999999999999,82,10.91,1656,202.05
19548,95,9796,36801.91,4365,292.62,722,159.44,624,142.88,5711,594.95
19573,190,19566,100380.62999999999,3107,17287.359999999997,1080,21132.920000000002,223,45.0,4410,38465.35
19698,190,19566,145676.54,7003,20148.520000000004,1907,14519.62,469,49.870000000000005,9379,34718.01
19807,133,13707,74090.45,5115,8546.01,1423,6455.72,917,144.57,7455,15146.29
20001,470,19566,229648.19,7991,47507.7,6872,68471.67000000001,177,24.39,15040,116003.78
20011,235,9796,83402.14,1956,154.17000000000002,1190,216.8,532,72.91,3678,443.9
20013,282,11752,0.0,1164,0.0,983,0.0,51,0.0,2198,0.0
20178,423,17608,54012.32000000001,2191,30393.839999999997,2222,68337.04999999999,3,0.76,4416,98731.68000000001
20621,47,1962,1942.5,429,389.81,370,691.87,29,51.78,828,1133.46
20787,47,1962,5022.29,262,85.71,238,173.23,30,13.13,530,272.07
23001,230,19566,534444.4500000001,5814,10999.74,3518,16118.99,95,10.95,9427,27129.680000000004
