,index,Código Departamento,Departamento,codmpio,Entidad,Dimensión,Subcategoría,Indicador,Dato Numérico,Dato Cualitativo,Año,Mes,Fuente,Unidad de Medida,municipio,depto,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,tratamiento,alf_A1938,alf_A1951,alf_A1964,alf_A1973,numero_prestamos,CP - Promedio,MP - Promedio,LP - Promedio,T - Promedio
0,2207,5.0,Antioquia,5004.0,Abriaquí,Medición de desempeño municipal,Resumen MDM,MDM,"52,70",,2018.0,12.0,DNP - DDDR,Puntos,Abriaquí,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1256,1484.0,1942,2422,0,0.0,0.0,0.0,0.0
1,2208,5.0,Antioquia,5021.0,Alejandría,Medición de desempeño municipal,Resumen MDM,MDM,"41,84",,2018.0,12.0,DNP - DDDR,Puntos,Alejandría,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,6201,5899.0,9163,11004,0,0.0,0.0,0.0,0.0
2,2209,5.0,Antioquia,5030.0,Amagá,Medición de desempeño municipal,Resumen MDM,MDM,"58,90",,2018.0,12.0,DNP - DDDR,Puntos,Amagá,Antioquia,439,43.21,111,25.29,66,11.79,616,80.29,1,5361,4896.0,7313,10100,1,43.21,25.29,11.79,80.29
3,2210,5.0,Antioquia,5031.0,Amalfi,Medición de desempeño municipal,Resumen MDM,MDM,"59,35",,2018.0,12.0,DNP - DDDR,Puntos,Amalfi,Antioquia,3775,19711.09,1837,24446.07,8,9.85,5620,44167.0,1,14118,20379.0,18552,22278,8,2463.88625,3055.75875,1.23125,5520.875
4,2212,5.0,Antioquia,5036.0,Angelópolis,Medición de desempeño municipal,Resumen MDM,MDM,"44,03",,2018.0,12.0,DNP - DDDR,Puntos,Angelópolis,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4363,4350.0,5352,5279,0,0.0,0.0,0.0,0.0
5,2213,5.0,Antioquia,5038.0,Angostura,Medición de desempeño municipal,Resumen MDM,MDM,"54,13",,2018.0,12.0,DNP - DDDR,Puntos,Angostura,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3975,3708.0,5143,0,0,0.0,0.0,0.0,0.0
6,2214,5.0,Antioquia,5040.0,Anorí,Medición de desempeño municipal,Resumen MDM,MDM,"51,58",,2018.0,12.0,DNP - DDDR,Puntos,Anorí,Antioquia,82,12.25,39,6.13,0,0.0,121,18.38,1,5279,4755.0,9816,8666,1,12.25,6.13,0.0,18.38
7,2215,5.0,Antioquia,5042.0,Santafé de Antioquia,Medición de desempeño municipal,Resumen MDM,MDM,"60,13",,2018.0,12.0,DNP - DDDR,Puntos,Santafé de Antioquia,Antioquia,2074,1669.28,452,841.56,96,16.8,2622,2527.65,1,1552,0.0,2337,2692,6,278.2133333,140.26,2.8,421.275
8,2216,5.0,Antioquia,5044.0,Anzá,Medición de desempeño municipal,Resumen MDM,MDM,"50,37",,2018.0,12.0,DNP - DDDR,Puntos,Anza,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3357,2614.0,3298,3942,0,0.0,0.0,0.0,0.0
9,2217,5.0,Antioquia,5045.0,Apartadó,Medición de desempeño municipal,Resumen MDM,MDM,"59,75",,2018.0,12.0,DNP - DDDR,Puntos,Apartadó,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
10,2218,5.0,Antioquia,5051.0,Arboletes,Medición de desempeño municipal,Resumen MDM,MDM,"40,07",,2018.0,12.0,DNP - DDDR,Puntos,Arboletes,Antioquia,670,172.49,207,230.61,0,0.0,877,403.1,1,0,0.0,0,0,1,172.49,230.61,0.0,403.1
11,2219,5.0,Antioquia,5055.0,Argelia,Medición de desempeño municipal,Resumen MDM,MDM,"43,93",,2018.0,12.0,DNP - DDDR,Puntos,Argelia,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2996,0.0,6489,0,0,0.0,0.0,0.0,0.0
12,2220,5.0,Antioquia,5059.0,Armenia,Medición de desempeño municipal,Resumen MDM,MDM,"50,39",,2018.0,12.0,DNP - DDDR,Puntos,Armenia,Antioquia,393,125.47,129,72.69,22,13.94,544,212.1,1,6592,7820.0,7937,13367,2,62.735,36.345,6.97,106.05
13,2221,5.0,Antioquia,5079.0,Barbosa,Medición de desempeño municipal,Resumen MDM,MDM,"60,20",,2018.0,12.0,DNP - DDDR,Puntos,Barbosa,Antioquia,614,20.14,235,15.61,56,10.15,905,45.9,1,9257,22495.0,58617,0,1,20.14,15.61,10.15,45.9
14,2222,5.0,Antioquia,5086.0,Belmira,Medición de desempeño municipal,Resumen MDM,MDM,"51,66",,2018.0,12.0,DNP - DDDR,Puntos,Belmira,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2527,3191.0,2998,3122,0,0.0,0.0,0.0,0.0
15,2223,5.0,Antioquia,5088.0,Bello,Medición de desempeño municipal,Resumen MDM,MDM,"67,41",,2018.0,12.0,DNP - DDDR,Puntos,Bello,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4340,3502.0,6040,6688,0,0.0,0.0,0.0,0.0
16,2224,5.0,Antioquia,5091.0,Betania,Medición de desempeño municipal,Resumen MDM,MDM,"52,07",,2018.0,12.0,DNP - DDDR,Puntos,Betania,Antioquia,227,52.65,65,17.55,9,3.86,301,74.06,1,0,0.0,0,0,1,52.65,17.55,3.86,74.06
17,2225,5.0,Antioquia,5093.0,Betulia,Medición de desempeño municipal,Resumen MDM,MDM,"43,55",,2018.0,12.0,DNP - DDDR,Puntos,Betulia,Antioquia,1473,8772.63,445,4857.43,49,28.53,1967,13755.31,1,10762,7702.0,18110,23490,7,1253.232857,693.9185714,4.075714286,1965.044286
18,2227,5.0,Antioquia,5107.0,Briceño,Medición de desempeño municipal,Resumen MDM,MDM,"57,31",,2018.0,12.0,DNP - DDDR,Puntos,Briceño,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3652,0.0,8303,0,0,0.0,0.0,0.0,0.0
19,2228,5.0,Antioquia,5113.0,Buriticá,Medición de desempeño municipal,Resumen MDM,MDM,"41,28",,2018.0,12.0,DNP - DDDR,Puntos,Buriticá,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1824,1975.0,2361,3020,0,0.0,0.0,0.0,0.0
20,2229,5.0,Antioquia,5120.0,Cáceres,Medición de desempeño municipal,Resumen MDM,MDM,"38,71",,2018.0,12.0,DNP - DDDR,Puntos,Cáceres,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1697,0.0,5933,0,0,0.0,0.0,0.0,0.0
21,2230,5.0,Antioquia,5125.0,Caicedo,Medición de desempeño municipal,Resumen MDM,MDM,"50,24",,2018.0,12.0,DNP - DDDR,Puntos,Caicedo,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,665,1791.0,5052,9494,0,0.0,0.0,0.0,0.0
22,2231,5.0,Antioquia,5129.0,Caldas,Medición de desempeño municipal,Resumen MDM,MDM,"64,96",,2018.0,12.0,DNP - DDDR,Puntos,Caldas,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1685,2131.0,2487,2951,0,0.0,0.0,0.0,0.0
23,2232,5.0,Antioquia,5134.0,Campamento,Medición de desempeño municipal,Resumen MDM,MDM,"37,30",,2018.0,12.0,DNP - DDDR,Puntos,Campamento,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,5345,7346.0,15246,0,0,0.0,0.0,0.0,0.0
24,2233,5.0,Antioquia,5138.0,Cañasgordas,Medición de desempeño municipal,Resumen MDM,MDM,"46,14",,2018.0,12.0,DNP - DDDR,Puntos,Cañasgordas,Antioquia,4498,15113.84,2204,14563.11,138,43.25,6840,29720.18,1,4918,0.0,3629,0,7,2159.12,2080.444286,6.178571429,4245.74
25,2234,5.0,Antioquia,5142.0,Caracolí,Medición de desempeño municipal,Resumen MDM,MDM,"47,74",,2018.0,12.0,DNP - DDDR,Puntos,Caracolí,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4486,0.0,5492,0,0,0.0,0.0,0.0,0.0
26,2235,5.0,Antioquia,5145.0,Caramanta,Medición de desempeño municipal,Resumen MDM,MDM,"45,39",,2018.0,12.0,DNP - DDDR,Puntos,Caramanta,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2196,2648.0,3729,4991,0,0.0,0.0,0.0,0.0
27,2236,5.0,Antioquia,5147.0,Carepa,Medición de desempeño municipal,Resumen MDM,MDM,"57,60",,2018.0,12.0,DNP - DDDR,Puntos,Carepa,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
28,2237,5.0,Antioquia,5148.0,El Carmen de Viboral,Medición de desempeño municipal,Resumen MDM,MDM,"73,92",,2018.0,12.0,DNP - DDDR,Puntos,El Carmen de Viboral,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,6245,7158.0,8428,10776,0,0.0,0.0,0.0,0.0
29,2238,5.0,Antioquia,5150.0,Carolina,Medición de desempeño municipal,Resumen MDM,MDM,"69,15",,2018.0,12.0,DNP - DDDR,Puntos,Carolina,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1448,0.0,2571,0,0,0.0,0.0,0.0,0.0
30,2239,5.0,Antioquia,5154.0,Caucasia,Medición de desempeño municipal,Resumen MDM,MDM,"61,05",,2018.0,12.0,DNP - DDDR,Puntos,Caucasia,Antioquia,920,227.51,430,492.39,1,0.48,1351,720.39,1,2108,0.0,4667,0,3,75.83666667,164.13,0.16,240.13
31,2240,5.0,Antioquia,5172.0,Chigorodó,Medición de desempeño municipal,Resumen MDM,MDM,"54,01",,2018.0,12.0,DNP - DDDR,Puntos,Chigorodó,Antioquia,551,181.85,555,458.18,4,3.4,1110,643.43,1,29643,0.0,101972,0,3,60.61666667,152.7266667,1.133333333,214.4766667
32,2241,5.0,Antioquia,5190.0,Cisneros,Medición de desempeño municipal,Resumen MDM,MDM,"53,80",,2018.0,12.0,DNP - DDDR,Puntos,Cisneros,Antioquia,1777,2571.28,627,2147.3,133,47.35,2537,4765.92,1,0,0.0,0,0,6,428.5466667,357.8833333,7.891666667,794.32
33,2242,5.0,Antioquia,5197.0,Cocorná,Medición de desempeño municipal,Resumen MDM,MDM,"45,24",,2018.0,12.0,DNP - DDDR,Puntos,Cocorná,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3100,0.0,4162,0,0,0.0,0.0,0.0,0.0
34,2243,5.0,Antioquia,5206.0,Concepción,Medición de desempeño municipal,Resumen MDM,MDM,"46,14",,2018.0,12.0,DNP - DDDR,Puntos,Concepción,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4751,4925.0,5518,5820,0,0.0,0.0,0.0,0.0
35,2245,5.0,Antioquia,5212.0,Copacabana,Medición de desempeño municipal,Resumen MDM,MDM,"71,49",,2018.0,12.0,DNP - DDDR,Puntos,Copacabana,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3240,3503.0,5917,6277,0,0.0,0.0,0.0,0.0
36,2246,5.0,Antioquia,5234.0,Dabeiba,Medición de desempeño municipal,Resumen MDM,MDM,"34,88",,2018.0,12.0,DNP - DDDR,Puntos,Dabeiba,Antioquia,1053,90.71,669,99.83,12,4.05,1734,194.58,1,112,452.0,2823,7182,3,30.23666667,33.27666667,1.35,64.86
37,2247,5.0,Antioquia,5237.0,Don Matías,Medición de desempeño municipal,Resumen MDM,MDM,"59,93",,2018.0,12.0,DNP - DDDR,Puntos,Don Matías,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,6397,6927.0,10321,9363,0,0.0,0.0,0.0,0.0
38,2248,5.0,Antioquia,5240.0,Ebéjico,Medición de desempeño municipal,Resumen MDM,MDM,"49,80",,2018.0,12.0,DNP - DDDR,Puntos,Ebéjico,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2316,2279.0,2880,3822,0,0.0,0.0,0.0,0.0
39,2249,5.0,Antioquia,5250.0,El Bagre,Medición de desempeño municipal,Resumen MDM,MDM,"48,99",,2018.0,12.0,DNP - DDDR,Puntos,El Bagre,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4248,0.0,7293,9377,0,0.0,0.0,0.0,0.0
40,2250,5.0,Antioquia,5264.0,Entrerrios,Medición de desempeño municipal,Resumen MDM,MDM,"50,04",,2018.0,12.0,DNP - DDDR,Puntos,Entrerrios,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,6385,5907.0,7269,8292,0,0.0,0.0,0.0,0.0
41,2251,5.0,Antioquia,5266.0,Envigado,Medición de desempeño municipal,Resumen MDM,MDM,"80,74",,2018.0,12.0,DNP - DDDR,Puntos,Envigado,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1610,0.0,2284,0,0,0.0,0.0,0.0,0.0
42,2254,5.0,Antioquia,5306.0,Giraldo,Medición de desempeño municipal,Resumen MDM,MDM,"43,80",,2018.0,12.0,DNP - DDDR,Puntos,Giraldo,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3450,4391.0,5510,6795,0,0.0,0.0,0.0,0.0
43,2255,5.0,Antioquia,5308.0,Girardota,Medición de desempeño municipal,Resumen MDM,MDM,"66,77",,2018.0,12.0,DNP - DDDR,Puntos,Girardota,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4302,4721.0,7188,7998,0,0.0,0.0,0.0,0.0
44,2256,5.0,Antioquia,5310.0,Gómez Plata,Medición de desempeño municipal,Resumen MDM,MDM,"47,54",,2018.0,12.0,DNP - DDDR,Puntos,Gómez Plata,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2310,2268.0,2724,3284,0,0.0,0.0,0.0,0.0
45,2258,5.0,Antioquia,5315.0,Guadalupe,Medición de desempeño municipal,Resumen MDM,MDM,"56,83",,2018.0,12.0,DNP - DDDR,Puntos,Guadalupe,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,5221,0.0,6709,0,0,0.0,0.0,0.0,0.0
46,2259,5.0,Antioquia,5318.0,Guarne,Medición de desempeño municipal,Resumen MDM,MDM,"75,27",,2018.0,12.0,DNP - DDDR,Puntos,Guarne,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,13167,9500.0,14960,13911,0,0.0,0.0,0.0,0.0
47,2260,5.0,Antioquia,5321.0,Guatapé,Medición de desempeño municipal,Resumen MDM,MDM,"62,81",,2018.0,12.0,DNP - DDDR,Puntos,Guatapé,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,5545,4413.0,8345,14058,0,0.0,0.0,0.0,0.0
48,2261,5.0,Antioquia,5347.0,Heliconia,Medición de desempeño municipal,Resumen MDM,MDM,"52,16",,2018.0,12.0,DNP - DDDR,Puntos,Heliconia,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1277,1606.0,1824,2073,0,0.0,0.0,0.0,0.0
49,2262,5.0,Antioquia,5353.0,Hispania,Medición de desempeño municipal,Resumen MDM,MDM,"40,70",,2018.0,12.0,DNP - DDDR,Puntos,Hispania,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
50,2263,5.0,Antioquia,5360.0,Itagüí,Medición de desempeño municipal,Resumen MDM,MDM,"79,48",,2018.0,12.0,DNP - DDDR,Puntos,Itagui,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4835,5540.0,13064,11067,0,0.0,0.0,0.0,0.0
