,Cod Dep,cod_mpio,Oficina,Departamento,Anio,Poblacion,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,91,91001,leticia,amazonas,1954,2395.11,17,539.19,4,1091.74,0,0.0,21,1630.93
1,91,91001,leticia,amazonas,1955,2405.67,11,584.76,18,2894.64,0,0.0,29,3479.4
2,91,91001,leticia,amazonas,1956,2416.27,26,1745.05,19,1159.91,0,0.0,45,2904.96
3,91,91001,leticia,amazonas,1957,2426.91,48,36.52,37,21.63,0,0.0,85,58.15
4,91,91001,leticia,amazonas,1958,2437.6,50,23.7,52,42.66,9,11.48,111,77.84
5,91,91001,leticia,amazonas,1959,2448.34,90,39.36,53,51.28,0,0.0,143,90.63
6,91,91001,leticia,amazonas,1960,2459.13,71,29.11,52,39.77,0,0.0,123,68.88
7,91,91001,leticia,amazonas,1962,2480.85,141,79.73,54,36.34,0,0.0,195,116.07
8,5,5001,medellin,antioquia,1952,281629.81,1792,1037.41,725,1333.34,0,0.0,2517,2370.75
9,5,5001,medellin,antioquia,1953,297984.59,2003,1012.38,959,800.17,0,0.0,2962,1812.55
10,5,5001,medellin,antioquia,1954,315289.13,1801,163.51,960,1614.31,0,0.0,2761,1777.82
11,5,5001,medellin,antioquia,1955,333598.58,1935,925.59,1592,2487.64,0,0.0,3527,3413.23
12,5,5001,medellin,antioquia,1956,352971.29,1874,694.0,1922,2500.14,0,0.0,3796,3194.14
13,5,5001,medellin,antioquia,1957,373469.01,1798,5.08,2066,21.23,0,0.0,3864,26.31
14,5,5001,medellin,antioquia,1958,395157.07,1729,5.67,1680,15.94,509,5.03,3918,26.64
15,5,5001,medellin,antioquia,1959,418104.6,1760,5.27,1816,17.54,505,4.25,4081,27.06
16,5,5001,medellin,antioquia,1960,442384.73,2050,8.31,2070,19.41,477,3.25,4597,30.97
17,5,5001,medellin,antioquia,1962,495256.87,1541,7.64,2217,20.64,444,2.68,4202,30.95
18,5,5002,abejorral,antioquia,1952,28181.17,307,1128.55,5,39.21,0,0.0,312,1167.76
19,5,5002,abejorral,antioquia,1953,27706.47,347,1226.01,21,99.52,0,0.0,368,1325.52
20,5,5002,abejorral,antioquia,1954,27239.77,347,1373.69,32,217.18,0,0.0,379,1590.87
21,5,5002,abejorral,antioquia,1955,26780.93,361,1312.53,64,387.02,0,0.0,425,1699.56
22,5,5002,abejorral,antioquia,1956,26329.82,340,1293.16,76,266.15,0,0.0,416,1559.32
23,5,5002,abejorral,antioquia,1957,25886.31,302,10.69,82,4.61,0,0.0,384,15.3
24,5,5002,abejorral,antioquia,1958,25450.27,306,9.96,73,4.64,12,3.25,391,17.85
25,5,5002,abejorral,antioquia,1959,25021.57,379,11.92,127,5.88,13,2.62,519,20.42
26,5,5002,abejorral,antioquia,1960,24600.09,352,12.37,151,6.67,13,2.07,516,21.1
27,5,5002,abejorral,antioquia,1962,23778.32,397,12.26,294,13.37,13,1.26,704,26.89
28,5,5030,amaga,antioquia,1962,12036.26,439,43.21,111,25.29,66,11.79,616,80.29
29,5,5031,amalfi,antioquia,1954,8638.07,535,5832.1,277,8396.25,0,0.0,812,14228.35
30,5,5031,amalfi,antioquia,1955,8823.08,534,6337.68,277,8106.91,0,0.0,811,14444.6
31,5,5031,amalfi,antioquia,1956,9012.04,636,7314.24,277,7728.73,0,0.0,913,15042.97
32,5,5031,amalfi,antioquia,1957,9205.06,660,75.43,273,60.46,0,0.0,933,135.89
33,5,5031,amalfi,antioquia,1958,9402.21,496,53.05,228,47.36,1,0.22,725,100.63
34,5,5031,amalfi,antioquia,1959,9603.58,346,38.44,177,37.51,1,0.5,524,76.44
35,5,5031,amalfi,antioquia,1960,9809.26,363,40.24,188,39.45,2,3.15,553,82.84
36,5,5031,amalfi,antioquia,1962,10233.94,205,19.91,140,29.4,4,5.98,349,55.28
37,5,5034,andes,antioquia,1952,30282.6,426,1985.2,139,1040.86,0,0.0,565,3026.06
38,5,5034,andes,antioquia,1953,29882.56,470,2281.74,288,1993.26,0,0.0,758,4274.99
39,5,5034,andes,antioquia,1954,29487.81,415,2856.59,322,2130.77,0,0.0,737,4987.36
40,5,5034,andes,antioquia,1955,29098.27,457,3006.87,384,3241.32,0,0.0,841,6248.19
41,5,5034,andes,antioquia,1956,28713.87,332,2190.19,305,3205.84,0,0.0,637,5396.04
42,5,5034,andes,antioquia,1957,28334.56,349,22.32,298,34.03,0,0.0,647,56.35
43,5,5034,andes,antioquia,1958,27960.25,319,22.36,172,18.46,113,16.52,604,57.34
44,5,5034,andes,antioquia,1959,27590.89,351,19.52,184,16.96,130,14.91,665,51.4
45,5,5034,andes,antioquia,1960,27226.41,407,21.34,186,12.87,121,11.35,714,45.56
46,5,5034,andes,antioquia,1962,26511.83,431,22.62,241,15.02,111,7.81,783,45.45
47,5,5040,anori,antioquia,1962,8056.47,82,12.25,39,6.13,0,0.0,121,18.38
48,5,5042,antioquia,antioquia,1956,11922.6,270,1595.57,33,795.17,0,0.0,303,2390.75
49,5,5042,antioquia,antioquia,1957,12490.43,336,15.42,41,7.27,0,0.0,377,22.68
50,5,5042,santafe de antioquia,antioquia,1958,13085.3,367,17.6,59,9.92,26,4.81,452,32.33
51,5,5042,santafe de antioquia,antioquia,1959,13708.5,371,13.92,88,8.92,24,3.57,483,26.4
52,5,5042,santafe de antioquia,antioquia,1960,14361.38,339,13.36,106,10.0,22,2.97,467,26.34
53,5,5042,antioquia,antioquia,1962,15761.9,391,13.41,125,10.28,24,5.45,540,29.15
54,5,5051,arboletes,antioquia,1962,2971.31,670,172.49,207,230.61,0,0.0,877,403.1
55,5,5059,armenia,antioquia,1960,5704.56,218,63.44,58,35.01,15,9.15,291,107.6
