,numero_prestamos,codmpio
0,20,11001
1,12,86001
2,11,54820
3,10,41006
4,10,25053
5,10,73585
6,10,73675
7,10,41001
8,10,63548
9,10,47288
10,10,76122
11,10,70001
12,10,66001
13,10,76246
14,10,76248
15,10,66045
16,10,63272
17,10,23068
18,10,70215
19,10,41551
20,10,25175
21,10,25183
22,10,17001
23,10,17013
24,10,23162
25,10,19100
26,10,25269
27,10,25279
28,10,13001
29,10,8001
30,10,5890
31,10,25307
32,10,15753
33,10,15531
34,10,52399
35,10,17614
36,10,54498
37,10,15599
38,10,54518
39,10,5368
40,10,68861
41,10,23807
42,10,25862
43,10,73001
44,10,54660
45,10,15755
46,10,73411
47,10,15757
48,10,15759
49,10,54720
50,10,52683
51,10,20001
52,10,5686
53,10,73283
54,10,73319
55,10,5756
56,10,73347
57,10,73349
58,10,63130
59,10,25297
60,10,76520
61,10,5282
62,10,73268
63,10,5361
64,10,19698
65,10,25843
66,10,17653
67,10,25875
68,10,5411
69,10,73055
70,10,25899
71,10,73168
72,10,68669
73,10,5615
74,10,63001
75,10,18001
76,10,15542
77,10,52838
78,10,44650
79,10,5761
80,10,73352
81,10,5789
82,10,5837
83,10,5887
84,10,73504
85,10,44874
86,10,47001
87,10,88001
88,10,73678
89,10,5313
90,10,68780
91,10,54001
92,10,76736
93,10,25377
94,10,19256
95,10,15176
96,10,76622
97,10,68432
98,10,50001
99,10,68444
100,10,15238
101,10,5001
102,10,15244
103,10,41885
104,10,25513
105,10,15322
106,10,52378
107,10,68572
108,10,5101
109,10,17433
110,10,25845
111,10,76828
112,10,76834
113,10,70713
114,10,5209
115,10,23660
116,10,66687
117,10,52356
118,10,17541
119,10,5284
120,10,73686
121,10,25758
122,10,70708
123,10,19001
124,10,68167
125,10,17042
126,10,68679
127,10,15001
128,10,41668
129,10,25290
130,10,25322
131,10,52001
132,10,25386
133,10,25394
134,10,25662
135,10,25398
136,10,13468
137,10,13140
138,10,54128
139,10,15407
140,10,23417
141,10,66440
142,10,5002
143,10,25718
144,10,54172
145,10,5034
146,10,13244
147,10,15299
148,10,15325
149,10,44001
150,10,68615
151,10,68689
152,10,15455
153,10,76147
154,10,52678
155,10,25754
156,10,68755
157,10,41078
158,10,13442
159,10,47245
160,10,73870
161,10,76001
162,10,66682
163,10,13430
164,10,76113
165,10,81001
166,10,41298
167,10,19573
168,10,47555
169,10,68001
170,10,15469
171,10,41524
172,10,23001
173,10,76243
174,10,25040
175,10,17380
176,10,41396
177,9,5847
178,9,20178
179,9,17088
180,9,73124
181,9,25151
182,9,25326
183,9,19142
184,9,73236
185,9,27001
186,9,41797
187,9,73449
188,9,5440
189,8,85001
190,8,8638
191,8,17050
192,8,54051
193,8,73067
194,8,15861
195,8,68081
196,8,54206
197,8,85325
198,8,5031
199,8,54313
200,8,85400
201,8,15667
202,8,25293
203,8,25438
204,8,73622
205,8,81794
206,8,68547
207,8,91001
208,8,68895
209,7,25320
210,7,15248
211,7,97001
212,7,68502
213,7,25491
214,7,76863
215,7,5093
216,7,5604
217,7,17174
218,7,41807
219,7,23189
220,7,25769
221,7,17513
222,7,70771
223,7,47189
224,7,50318
225,7,73624
226,7,5376
227,7,25878
228,7,73226
229,7,50689
230,7,50573
231,7,13657
232,7,15693
233,7,73043
234,7,15632
235,7,19807
236,7,66088
237,7,68770
238,7,70742
239,7,50606
240,7,76606
241,7,52210
242,7,70508
243,7,25658
244,7,99001
245,7,15403
246,7,25245
247,7,5138
248,6,68190
249,6,73861
250,6,25535
251,6,85230
252,6,76233
253,6,17486
254,6,5642
255,6,76895
256,6,54239
257,6,5364
258,6,25815
259,6,5679
260,6,73873
261,6,73443
262,6,41306
263,6,20013
264,6,68773
265,6,5190
266,6,68298
267,6,63594
268,6,68575
269,6,27245
270,6,5670
271,6,5042
272,6,25851
273,6,25123
274,6,68079
275,6,17524
276,5,19548
277,5,76020
278,5,52835
279,5,20011
280,5,5697
281,4,73152
282,4,18753
283,4,76109
284,4,73270
285,4,66594
286,4,50313
287,4,5579
288,4,19517
289,4,73483
290,4,25120
291,4,23466
292,3,5234
293,3,70429
294,3,23670
295,3,5154
296,3,5649
297,3,23182
298,3,47318
299,3,19532
300,3,63302
301,3,25402
302,3,19212
303,3,41319
304,3,19455
305,3,50006
306,3,5172
307,3,73024
308,3,47551
309,3,23675
310,3,41020
311,3,44279
312,3,17877
313,3,44078
314,3,68207
315,3,15572
316,2,73030
317,2,15814
318,2,41132
319,2,68500
320,2,17662
321,2,52260
322,2,5809
323,2,41799
324,2,76100
325,2,5059
326,2,68327
327,1,23555
328,1,25596
329,1,68655
330,1,18592
331,1,85225
332,1,73555
333,1,20787
334,1,73408
335,1,20621
336,1,25426
337,1,15516
338,1,15804
339,1,5079
340,1,52687
341,1,68820
342,1,23570
343,1,19450
344,1,81591
345,1,5091
346,1,18094
347,1,5051
348,1,18756
349,1,50226
350,1,25328
351,1,66400
352,1,19318
353,1,41801
354,1,41791
355,1,68406
356,1,54174
357,1,70717
358,1,52320
359,1,47707
360,1,5483
361,1,41359
362,1,13654
363,1,85250
364,1,86568
365,1,8685
366,1,68101
367,1,85162
368,1,5040
369,1,23686
370,1,19022
371,1,13744
372,1,15480
373,1,5030
374,1,50287
375,1,63470
