,Cod Dep,cod_mpio,Oficina,Departamento,Anio,Poblacion,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,91,91001,leticia,amazonas,1954,2395.11,17,539.19,4,1091.74,0,0.0,21,1630.93
1,5,5002,abejorral,antioquia,1954,27239.77,347,1373.69,32,217.18,0,0.0,379,1590.87
2,5,5031,amalfi,antioquia,1954,8638.07,535,5832.1,277,8396.25,0,0.0,812,14228.35
3,5,5034,andes,antioquia,1954,29487.81,415,2856.59,322,2130.77,0,0.0,737,4987.36
4,5,5101,bolivar,antioquia,1954,14485.13,359,8184.79,52,1492.67,0,0.0,411,9677.46
5,5,5209,concordia,antioquia,1954,11384.59,434,7961.94,42,1553.1,0,0.0,476,9515.04
6,5,5282,fredonia,antioquia,1954,16341.78,574,9509.58,54,1177.95,0,0.0,628,10687.53
7,5,5284,frontino,antioquia,1954,9143.0,958,10152.38,687,14254.32,0,0.0,1645,24406.7
8,5,5313,granada,antioquia,1954,9494.96,913,5126.33,82,1142.56,0,0.0,995,6268.89
9,5,5361,ituango,antioquia,1954,15250.44,817,4923.29,184,1878.0,0,0.0,1001,6801.29
10,5,5368,jerico,antioquia,1954,13219.65,308,4445.15,74,2332.97,0,0.0,382,6778.13
11,5,5411,liborina,antioquia,1954,7688.7,645,5584.44,125,2931.82,0,0.0,770,8516.26
12,5,5440,marinilla,antioquia,1954,11206.32,568,2439.18,173,1204.11,0,0.0,741,3643.29
13,5,5001,medellin,antioquia,1954,315289.13,1801,163.51,960,1614.31,0,0.0,2761,1777.82
14,5,5615,rionegro,antioquia,1954,17891.17,435,1964.27,204,2320.93,0,0.0,639,4285.18
15,5,5686,santa rosa de osos,antioquia,1954,15994.81,139,634.86,455,5182.97,0,0.0,594,5817.83
16,5,5756,sonson,antioquia,1954,27140.11,915,2207.18,108,710.72,0,0.0,1023,2917.9
17,5,5761,sopetran,antioquia,1954,10861.9,725,4634.88,87,3220.51,0,0.0,812,7855.4
18,5,5789,tamesis,antioquia,1954,13597.83,774,5015.7,239,2650.54,0,0.0,1013,7666.25
19,5,5837,turbo,antioquia,1954,4791.09,301,3331.94,129,6867.08,0,0.0,430,10199.02
20,5,5847,urrao,antioquia,1954,15010.05,651,3441.94,146,2926.13,0,0.0,797,6368.07
21,5,5887,yarumal,antioquia,1954,19719.91,825,3488.13,491,5168.39,0,0.0,1316,8656.52
22,5,5890,yolombo,antioquia,1954,17002.61,897,4326.48,229,4740.45,0,0.0,1126,9066.92
23,81,81001,arauca,arauca,1954,6152.86,153,5519.94,1092,22987.38,0,0.0,1245,28507.32
24,81,81794,tame,arauca,1954,31570.68,36,287.9,480,1543.69,0,0.0,516,1831.59
25,8,8001,barranquilla,atlantico,1954,253602.03,726,626.78,296,601.83,0,0.0,1022,1228.61
26,8,8638,sabanalarga,atlantico,1954,17244.7,655,2062.95,69,978.73,0,0.0,724,3041.68
27,13,13140,calamar,bolivar,1954,10918.35,274,2722.51,194,6417.76,0,0.0,468,9140.27
28,13,13001,cartagena,bolivar,1954,116978.7,753,935.47,461,2236.34,0,0.0,1214,3171.81
29,13,70215,corozal,bolivar,1954,14153.28,372,2402.76,699,14696.06,0,0.0,71,17098.82
30,13,13244,el carmen,bolivar,1954,21537.02,211,1181.06,370,5712.5,0,0.0,581,6893.56
31,13,13430,magangue,bolivar,1954,33567.54,626,1684.29,605,5661.22,0,0.0,1231,7345.52
32,13,13442,maria la baja,bolivar,1954,6052.32,497,3583.8,140,9386.46,0,0.0,637,12970.27
33,13,13468,mompos,bolivar,1954,12263.4,210,3758.77,368,9203.25,0,0.0,578,12962.02
34,13,70708,san marcos,bolivar,1954,10267.52,268,4007.76,113,6142.38,0,0.0,381,10150.15
35,13,70713,san onofre,bolivar,1954,15190.3,489,2603.93,112,2362.11,0,0.0,601,4966.04
36,13,70001,sincelejo,bolivar,1954,28721.36,682,2703.58,395,6799.15,0,0.0,1077,9502.73
37,15,15176,chiquinquira,boyaca,1954,18324.16,2659,13123.78,456,5107.28,0,0.0,3115,18231.06
38,15,15238,duitama,boyaca,1954,18270.97,2130,12467.45,128,2362.85,0,0.0,2258,14830.3
39,15,15244,el cocuy,boyaca,1954,8301.57,1346,11523.73,425,5925.12,0,0.0,1771,17448.85
40,15,15299,garagoa,boyaca,1954,8180.65,1620,15610.18,393,4915.86,0,0.0,2013,20526.04
41,15,15322,guateque,boyaca,1954,6833.49,1075,9010.73,152,3455.26,0,0.0,1227,12465.99
42,15,15325,guayata,boyaca,1954,6689.49,652,6219.81,44,794.24,0,0.0,696,7014.05
43,15,15407,leiva,boyaca,1954,3423.26,1084,20429.26,177,13574.35,0,0.0,1261,34003.62
