,index,Unnamed: 0,Cod Dep,cod_mpio,Oficina,Poblacion,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,0,0,5,5002,abejorral,28181.17,antioquia,1952,307,1128.55,5,39.21,0,0.0,312,1167.76
1,1,1,5,5034,andes,30282.6,antioquia,1952,426,1985.2,139,1040.86,0,0.0,565,3026.06
2,2,2,5,5101,bolivar,12969.55,antioquia,1952,300,8468.3,15,673.12,0,0.0,315,9141.41
3,3,3,5,5209,concordia,11239.07,antioquia,1952,366,5024.29,98,1274.01,0,0.0,464,6298.29
4,4,4,5,5282,fredonia,15699.57,antioquia,1952,398,7769.33,31,1413.73,0,0.0,429,9183.07
5,5,5,5,5284,frontino,7998.64,antioquia,1952,888,8257.64,83,3258.22,0,0.0,971,11515.86
6,6,6,5,5313,granada,9105.64,antioquia,1952,675,3264.64,62,1135.5,0,0.0,737,4400.14
7,7,7,5,5361,ituango,14921.7,antioquia,1952,480,2484.75,51,1088.79,0,0.0,531,3573.54
8,8,8,5,5368,jerico,12614.91,antioquia,1952,366,5753.43,84,1977.76,0,0.0,450,7731.19
9,9,9,5,5411,liborina,7591.26,antioquia,1952,505,4533.24,48,1085.04,0,0.0,553,5618.28
10,10,10,5,5001,medellin,281629.81,antioquia,1952,1792,1037.41,725,1333.34,0,0.0,2517,2370.75
11,11,11,5,5615,rionegro,17032.67,antioquia,1952,989,3233.49,162,2779.26,0,0.0,1151,6012.75
12,12,12,5,5686,santa rosa de osos,15811.07,antioquia,1952,99,508.59,311,4837.61,0,0.0,410,5346.19
13,13,13,5,5756,sonson,25310.88,antioquia,1952,929,2780.02,107,1061.82,0,0.0,1036,3841.84
14,14,14,5,5761,sopetran,10213.53,antioquia,1952,582,2855.43,36,964.03,0,0.0,618,3819.47
15,15,15,5,5789,tamesis,13294.24,antioquia,1952,848,6404.25,281,3259.24,0,0.0,1129,9663.49
16,16,16,5,5837,turbo,3786.06,antioquia,1952,235,2761.29,41,5196.04,0,0.0,276,7957.33
17,17,17,5,5887,yarumal,18964.24,antioquia,1952,753,3179.91,367,5209.41,0,0.0,1120,8389.32
18,18,18,5,5890,yolombo,15580.85,antioquia,1952,728,3495.54,140,3149.78,0,0.0,868,6645.32
19,19,19,81,81001,arauca,6257.09,arauca,1952,144,3286.28,91,4265.06,0,0.0,235,7551.34
20,20,20,8,8001,barranquilla,232918.36,atlantico,1952,1109,1167.85,281,737.05,0,0.0,1390,1904.91
21,21,21,13,13140,calamar,10565.92,bolivar,1952,97,1098.21,50,2969.93,0,0.0,147,4068.13
22,22,22,13,13001,cartagena,106547.45,bolivar,1952,728,882.37,318,1786.03,0,0.0,1046,2668.4
23,23,23,13,70215,corozal,13307.85,bolivar,1952,164,963.23,526,11324.34,0,0.0,690,12287.57
24,24,24,13,13244,el carmen,20237.19,bolivar,1952,393,1253.44,357,5315.77,0,0.0,750,6569.21
25,25,25,13,13430,magangue,30763.79,bolivar,1952,323,596.54,651,4934.9,0,0.0,974,5531.45
26,26,26,13,13442,maria la baja,5650.86,bolivar,1952,600,4269.26,112,6421.63,0,0.0,712,10690.89
27,27,27,13,13468,mompos,11374.55,bolivar,1952,184,1705.04,394,10143.83,0,0.0,578,11848.89
28,28,28,13,70708,san marcos,9749.93,bolivar,1952,184,2457.0,124,5989.8,0,0.0,308,8446.82
29,29,29,13,70713,san onofre,14426.41,bolivar,1952,475,1953.52,100,2452.18,0,0.0,575,4405.7
30,30,30,13,70001,sincelejo,26539.13,bolivar,1952,485,1426.93,322,5051.94,0,0.0,807,6478.87
31,31,31,15,15176,chiquinquira,17944.75,boyaca,1952,3161,13393.32,244,3774.82,0,0.0,3405,17168.14
32,32,32,15,15238,duitama,15605.25,boyaca,1952,2314,14534.63,124,2435.16,0,0.0,2438,16969.79
33,33,33,15,15244,el cocuy,8326.5,boyaca,1952,1556,11766.48,45,1486.46,0,0.0,1601,13252.94
34,34,34,15,15299,garagoa,8013.36,boyaca,1952,512,4967.45,142,2713.28,0,0.0,654,7680.74
35,35,35,15,15322,guateque,6711.96,boyaca,1952,902,6966.37,61,1539.04,0,0.0,963,8505.41
36,36,36,15,15325,guayata,6556.5,boyaca,1952,471,3728.61,28,621.67,0,0.0,499,4350.29
37,37,37,15,15407,leiva,3223.48,boyaca,1952,1661,43051.12,141,14102.83,0,0.0,1802,57153.95
38,38,38,15,15455,miraflores,6798.3,boyaca,1952,419,3445.71,162,2273.26,0,0.0,581,5718.97
39,39,39,15,15469,moniquira,12919.28,boyaca,1952,2014,8850.07,252,4756.8,0,0.0,2266,13606.86
40,40,40,15,15531,pauna,2167.31,boyaca,1952,849,28055.21,56,5273.42,0,0.0,905,33328.63
41,41,41,15,15542,pesca,12291.85,boyaca,1952,1721,7722.63,72,1490.25,0,0.0,1793,9212.87
42,42,42,15,15755,puebloviejo,10266.46,boyaca,1952,809,3234.99,7,178.25,0,0.0,816,3413.24
43,43,43,15,15599,ramiriqui,6483.64,boyaca,1952,1490,19208.66,196,4184.08,0,0.0,1686,23392.75
44,44,44,15,15753,soata,7856.0,boyaca,1952,2403,24419.84,123,4050.58,0,0.0,2526,28470.42
45,45,45,15,15757,socha,5931.15,boyaca,1952,762,9825.28,20,912.14,0,0.0,782,10737.42
46,46,46,15,15759,sogamoso,23645.19,boyaca,1952,2789,7070.52,120,2223.14,0,0.0,2909,9293.67
47,47,47,15,15001,tunja,23929.42,boyaca,1952,3471,19302.05,289,4794.66,0,0.0,3760,24096.71
48,48,48,17,17013,aguadas,16573.63,caldas,1952,710,4430.03,66,1814.41,0,0.0,776,6244.43
49,49,49,17,17042,anserma,20525.16,caldas,1952,705,4712.06,164,1702.12,0,0.0,869,6414.18
50,50,50,17,66045,apia,16743.28,caldas,1952,321,4303.45,166,2937.62,0,0.0,487,7241.07
51,51,51,17,63001,armenia,59476.86,caldas,1952,876,2507.87,352,1938.24,0,0.0,1228,4446.11
52,52,52,17,63130,calarca,56599.04,caldas,1952,542,2130.89,244,1165.32,0,0.0,786,3296.21
53,53,53,17,63272,filandia,10041.04,caldas,1952,173,1293.76,41,408.32,0,0.0,214,1702.08
54,54,54,17,17380,la dorada,4181.7,caldas,1952,132,9969.14,120,22379.87,0,0.0,252,32349.01
55,55,55,17,17001,manizales,105380.56,caldas,1952,650,1149.96,187,802.71,0,0.0,837,1952.67
56,56,56,17,17433,manzanares,13475.5,caldas,1952,1043,7677.91,102,2361.16,0,0.0,1145,10039.07
57,57,57,17,66440,marsella,13131.24,caldas,1952,168,1718.31,104,869.26,0,0.0,272,2587.57
58,58,58,17,17541,pensilvania,24766.28,caldas,1952,1090,3954.98,135,1002.61,0,0.0,1225,4957.59
59,59,59,17,66001,pereira,94796.36,caldas,1952,459,1020.18,311,1223.57,0,0.0,770,2243.75
