,Cod Dep,Cod Mun,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,91,91001,leticia,amazonas,1954,17,1291423.7288135595,4,2614830.5084745768,0,0.0,21,3906254.237288136
1,5,5002,abejorral,antioquia,1954,347,37418872.881355934,32,5915956.7796610175,0,0.0,379,43334829.66101696
2,5,5031,amalfi,antioquia,1954,535,50378074.881355934,277,72527393.03389831,0,0.0,812,122905467.91525424
3,5,5034,andes,antioquia,1954,415,84234723.9661017,322,62831701.77966102,0,0.0,737,147066425.74576274
4,5,5101,bolivar,antioquia,1954,359,118557711.8644068,52,21621514.83050848,0,0.0,411,140179226.69491526
5,5,5209,concordia,antioquia,1954,434,90643423.72881356,42,17681440.677966103,0,0.0,476,108324864.40677968
6,5,5282,fredonia,antioquia,1954,574,155403469.220339,54,19249858.37288136,0,0.0,628,174653327.59322035
7,5,5284,frontino,antioquia,1954,958,92823165.45762712,687,130327248.9661017,0,0.0,1645,223150414.4237288
8,5,5313,granada,antioquia,1954,913,48674272.06779662,82,10848577.372881357,0,0.0,995,59522849.44067797
9,5,5361,ituango,antioquia,1954,817,75082286.44067797,184,28640343.15254237,0,0.0,1001,103722629.59322035
10,5,5368,jerico,antioquia,1954,308,58763350.525423735,74,30841111.57627119,0,0.0,382,89604462.10169493
11,5,5411,liborina,antioquia,1954,645,42937091.89830509,125,22541862.55932204,0,0.0,770,65478954.457627125
12,5,5440,marinilla,antioquia,1954,568,27334222.77966102,173,13493676.813559324,0,0.0,741,40827899.593220346
13,5,5001,medellin,antioquia,1954,1801,51553369.881355934,960,508973398.52542377,0,0.0,2761,560526768.4067798
14,5,5615,rionegro,antioquia,1954,435,35142999.61016949,204,41524094.54237288,0,0.0,639,76666921.27118644
15,5,5686,santa rosa de osos,antioquia,1954,139,10154489.847457629,455,82900672.88135594,0,0.0,594,93055162.72881356
16,5,5756,sonson,antioquia,1954,915,59903130.50847458,108,19288993.52542373,0,0.0,1023,79192124.03389831
17,5,5761,sopetran,antioquia,1954,725,50343655.9322034,87,34980900.0,0,0.0,812,85324555.9322034
18,5,5789,tamesis,antioquia,1954,774,68202659.59322034,239,36041657.6440678,0,0.0,1013,104244317.23728816
19,5,5837,turbo,antioquia,1954,301,15963617.18644068,129,32900800.16949153,0,0.0,430,48864417.355932206
20,5,5847,urrao,antioquia,1954,651,51663686.33898306,146,43921365.10169492,0,0.0,797,95585051.44067796
21,5,5887,yarumal,antioquia,1954,825,68785593.91525425,491,101920105.47457628,0,0.0,1316,170705699.38983053
22,5,5890,yolombo,antioquia,1954,897,73561386.05084747,229,80599958.2881356,0,0.0,1126,154161344.33898306
23,81,81001,arauca,arauca,1954,153,33963445.6779661,1092,141438127.1186441,0,0.0,1245,175401572.79661018
24,81,81794,tame,arauca,1954,36,9089237.288135594,480,48735254.23728814,0,0.0,516,57824491.525423735
25,8,8001,barranquilla,atlantico,1954,726,158951770.01694918,296,152625332.38983053,0,0.0,1022,311577102.4067797
26,8,8638,sabanalarga,atlantico,1954,655,35574980.84745763,69,16877830.220338985,0,0.0,724,52452811.06779662
27,13,13140,calamar,bolivar,1954,274,29725336.16949153,194,70071321.20338984,0,0.0,468,99796657.37288135
28,13,13001,cartagena,bolivar,1954,753,109429989.45762712,461,261604083.35593224,0,0.0,1214,371034072.81355935
29,13,70215,corozal,bolivar,1954,372,34006991.89830509,699,207997386.05084747,0,0.0,71,242004377.94915256
30,13,13244,el carmen,bolivar,1954,211,25436497.220338985,370,123030229.47457628,0,0.0,581,148466726.69491526
31,13,13430,magangue,bolivar,1954,626,56537538.50847458,605,190033343.13559324,0,0.0,1231,246570881.64406785
32,13,13442,maria la baja,bolivar,1954,497,21690322.474576272,140,56809883.69491526,0,0.0,637,78500206.16949153
33,13,13468,mompos,bolivar,1954,210,46095321.355932206,368,112863086.44067796,0,0.0,578,158958407.79661018
34,13,70708,san marcos,bolivar,1954,268,41149767.50847458,113,63067059.00000001,0,0.0,381,104216826.5084746
35,13,70713,san onofre,bolivar,1954,489,39554466.76271187,112,35881219.423728816,0,0.0,601,75435686.18644069
36,13,70001,sincelejo,bolivar,1954,682,77650578.15254238,395,195280699.4237288,0,0.0,1077,272931277.57627124
37,15,15176,chiquinquira,boyaca,1954,2659,240482274.3050848,456,93586670.89830507,0,0.0,3115,334068945.2033899
38,15,15238,duitama,boyaca,1954,2130,227792330.6949153,128,43171571.74576271,0,0.0,2258,270963902.440678
39,15,15244,el cocuy,boyaca,1954,1346,95665051.42372882,425,49187785.016949154,0,0.0,1771,144852836.44067797
40,15,15299,garagoa,boyaca,1954,1620,127701406.77966104,393,40214926.27118644,0,0.0,2013,167916333.05084747
41,15,15322,guateque,boyaca,1954,1075,61574720.33898306,152,23611470.864406783,0,0.0,1227,85186191.20338984
42,15,15325,guayata,boyaca,1954,652,41607355.9322034,44,5313076.271186441,0,0.0,696,46920432.20338984
