,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,leticia,amazonas,1954,17,1494000,4,3025000,0,0,21,4519000
1,leticia,amazonas,1955,11,1655000,18,8192400,0,0,29,9847400
2,leticia,amazonas,1956,26,5374000,19,3572000,0,0,45,8946000
3,leticia,amazonas,1957,48,135561,37,80294,0,0,85,215855
4,leticia,amazonas,1958,50,92875,52,167195,9,45000,111,305070
5,leticia,amazonas,1959,90,168159,53,219083,0,0,143,387242
6,leticia,amazonas,1960,71,133358,52,182176,0,0,123,315534
7,abejorral,antioquia,1952,307,31803800,5,1105000,0,0,312,32908800
8,abejorral,antioquia,1953,347,37298500,21,3027650,0,0,368,40326150
9,abejorral,antioquia,1954,347,43288500,32,6843950,0,0,379,50132450
10,abejorral,antioquia,1955,361,41354000,64,12193864,0,0,425,53547864
11,abejorral,antioquia,1956,340,43395500,76,8931423,0,0,416,52326923
12,abejorral,antioquia,1957,302,423190,82,182655,0,0,384,605845
13,abejorral,antioquia,1958,306,407760,73,189747,12,133090,391,730597
14,abejorral,antioquia,1959,379,520490,127,256769,13,114400,519,891659
15,abejorral,antioquia,1960,352,566715,151,305497,13,94810,516,967022
16,amalfi,antioquia,1954,535,58280518,277,83904239,0,0,812,142184757
17,amalfi,antioquia,1955,534,65785760,277,84150527,0,0,811,149936287
18,amalfi,antioquia,1956,636,84010862,277,88771701,0,0,913,172782563
19,amalfi,antioquia,1957,660,1061974,273,851167,0,0,933,1913141
20,amalfi,antioquia,1958,496,801985,228,715915,1,3400,725,1521300
21,amalfi,antioquia,1959,346,644155,177,628578,1,8400,524,1281133
22,amalfi,antioquia,1960,363,735265,188,720770,2,57600,553,1513635
23,andes,antioquia,1952,426,60117100,139,31520000,0,0,565,91637100
24,andes,antioquia,1953,470,74868800,288,65403162,0,0,758,140271962
25,andes,antioquia,1954,415,97448014,322,72687655,0,0,737,170135669
26,andes,antioquia,1955,457,102934936,384,110961073,0,0,841,213896009
27,andes,antioquia,1956,332,80152500,305,117321385,0,0,637,197473885
28,andes,antioquia,1957,349,967070,298,1474859,0,0,647,2441929
29,andes,antioquia,1958,319,1004988,172,829929,113,742656,604,2577573
30,andes,antioquia,1959,351,940028,184,816647,130,718070,665,2474745
31,andes,antioquia,1960,407,1082146,186,652825,121,575507,714,2310478
32,antioquia,antioquia,1956,270,24245500,33,12083025,0,0,303,36328525
33,antioquia,antioquia,1957,336,294515,41,138789,0,0,377,433304
34,armenia,antioquia,1960,218,674150,58,371992,15,97181,291,1143323
35,betulia,antioquia,1955,209,41333061,50,17810946,0,0,259,59144007
36,betulia,antioquia,1956,213,42628000,58,29182394,0,0,271,72810394
37,betulia,antioquia,1957,194,452610,61,362751,0,0,255,815361
38,betulia,antioquia,1958,191,514650,57,371860,8,65926,256,952436
39,betulia,antioquia,1959,215,563937,67,307762,14,139031,296,1010730
40,betulia,antioquia,1960,198,621144,78,289200,12,107332,288,1017676
41,bolivar,antioquia,1952,300,109830000,15,8730000,0,0,315,118560000
42,bolivar,antioquia,1953,378,120350000,39,15309238,0,0,417,135659238
43,bolivar,antioquia,1954,359,137155000,52,25013125,0,0,411,162168125
44,bolivar,antioquia,1955,409,149159500,69,34435520,0,0,478,183595020
45,bolivar,antioquia,1956,358,148013300,158,153502553,0,0,516,301515853
46,bolivar,antioquia,1957,289,1149741,238,2018681,0,0,527,3168422
47,bolivar,antioquia,1958,314,1299749,163,904532,70,744794,547,2949075
48,bolivar,antioquia,1959,273,1136331,159,774621,63,569915,495,2480867
49,bolivar,antioquia,1960,296,1269939,150,608239,53,413245,499,2291423
50,caucasia,antioquia,1959,155,387030,100,1109620,1,4048,256,1500698
51,caucasia,antioquia,1960,163,370555,127,1118395,0,0,290,1488950
52,cañasgordas,antioquia,1955,905,70913436,376,69209480,0,0,1281,140122916
53,cañasgordas,antioquia,1956,1031,86469083,431,82333301,0,0,1462,168802384
54,cañasgordas,antioquia,1957,654,642547,357,822044,0,0,1011,1464591
55,cañasgordas,antioquia,1958,659,712250,315,545738,39,250306,1013,1508294
56,cañasgordas,antioquia,1959,418,463913,246,415359,35,211708,699,1090980
57,cañasgordas,antioquia,1960,441,452479,234,368882,32,170444,707,991805
58,chigorodo,antioquia,1959,62,71280,46,201324,0,0,108,272604
59,chigorodo,antioquia,1960,204,260755,153,533522,0,0,357,794277
60,cisneros,antioquia,1956,269,14062802,52,11039795,0,0,321,25102597
61,cisneros,antioquia,1957,303,168168,108,372080,0,0,411,540248
62,cisneros,antioquia,1958,300,158425,104,286344,39,131433,443,576202
63,cisneros,antioquia,1959,343,200600,121,344738,37,122085,501,667423
64,cisneros,antioquia,1960,324,177566,128,333574,37,103777,489,614917
65,concordia,antioquia,1952,366,56468333,98,14318638,0,0,464,70786971
66,concordia,antioquia,1953,342,55597393,28,6730851,0,0,370,62328244
67,concordia,antioquia,1954,434,104862000,42,20455000,0,0,476,125317000
68,concordia,antioquia,1955,357,109576453,60,36186715,0,0,417,145763168
69,concordia,antioquia,1956,214,42037310,62,36497133,0,0,276,78534443
70,concordia,antioquia,1957,180,466030,59,391253,0,0,239,857283
71,concordia,antioquia,1958,167,547230,39,229903,27,150261,233,927394
72,concordia,antioquia,1959,181,573985,58,237474,25,146799,264,958258
73,concordia,antioquia,1960,194,593814,61,211219,23,131494,278,936527
74,dabeiba,antioquia,1959,310,547133,200,665222,3,25734,513,1238089
75,dabeiba,antioquia,1960,346,630099,224,630341,4,24523,574,1284963
76,fredonia,antioquia,1952,398,121975145,31,22195029,0,0,429,144170174
77,fredonia,antioquia,1953,411,122787696,46,21987353,0,0,457,144774949
78,fredonia,antioquia,1954,574,179780484,54,22269444,0,0,628,202049928
79,fredonia,antioquia,1955,649,192960328,72,56174098,0,0,721,249134426
80,fredonia,antioquia,1956,696,206619967,90,72041140,0,0,786,278661107
81,fredonia,antioquia,1957,727,2161813,138,1029825,0,0,865,3191638
82,fredonia,antioquia,1958,807,2688738,157,977137,119,396193,1083,4062068
83,fredonia,antioquia,1959,892,2854075,212,1238551,120,406594,1224,4499220
84,fredonia,antioquia,1960,857,2966902,136,818972,92,245255,1085,4031129
