,Departamento,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
0,amazonas,,,17.0,11.0,26.0,48.0,50.0,90.0,71.0,98.0,141.0
1,antioquia,11666.0,12009.0,14336.0,15563.0,15950.0,14653.0,14566.0,15293.0,16404.0,17795.0,18979.0
2,arauca,144.0,127.0,189.0,243.0,189.0,174.0,171.0,233.0,276.0,344.0,278.0
3,atlantico,1109.0,1270.0,1381.0,1557.0,1874.0,2247.0,2707.0,2711.0,2738.0,3028.0,2958.0
4,bolivar,3633.0,3869.0,4382.0,4367.0,4177.0,4600.0,5925.0,6470.0,6524.0,8944.0,11588.0
5,boyaca,27304.0,26069.0,27349.0,27742.0,27330.0,25718.0,27217.0,28075.0,28035.0,30654.0,32315.0
6,caldas,10119.0,10832.0,11654.0,13448.0,12935.0,10584.0,10891.0,12734.0,13562.0,12670.0,13066.0
7,caqueta,1054.0,1004.0,1267.0,1357.0,1099.0,901.0,997.0,1032.0,1121.0,1926.0,3801.0
8,cauca,4289.0,5454.0,5219.0,5653.0,5249.0,4945.0,4936.0,5490.0,6432.0,,8145.0
9,choco,,147.0,317.0,480.0,628.0,580.0,524.0,482.0,490.0,,429.0
10,cordoba,3659.0,3355.0,3594.0,3310.0,3056.0,2844.0,3695.0,5215.0,5771.0,,10519.0
11,cundinamarca,17339.0,18891.0,21019.0,22139.0,20128.0,18994.0,21030.0,21708.0,22529.0,,23457.0
12,guajira,,,2087.0,1432.0,1039.0,1022.0,1197.0,1567.0,1555.0,2051.0,2234.0
13,huila,4596.0,5144.0,5370.0,5517.0,5511.0,4702.0,5222.0,6252.0,7100.0,,8894.0
14,magdalena,2338.0,4502.0,3008.0,2808.0,2135.0,2199.0,2620.0,3491.0,4286.0,,8076.0
15,meta,860.0,977.0,1934.0,2259.0,2264.0,2296.0,2490.0,2592.0,2917.0,,4714.0
16,nariño,5037.0,5460.0,6376.0,7512.0,7287.0,7276.0,8226.0,8610.0,9735.0,,11478.0
17,norte de santander,5095.0,5627.0,6196.0,6538.0,6429.0,5588.0,5868.0,6222.0,6674.0,8168.0,9316.0
18,putumayo,81.0,156.0,184.0,,,,259.0,343.0,364.0,430.0,446.0
19,san andres y providencia,78.0,94.0,75.0,103.0,83.0,93.0,88.0,87.0,89.0,102.0,87.0
20,santander,8128.0,8875.0,10902.0,13020.0,13757.0,12239.0,13426.0,14816.0,18440.0,21962.0,22423.0
21,tolima,9263.0,10644.0,12547.0,12262.0,11314.0,11435.0,12016.0,13760.0,15356.0,15478.0,15784.0
22,valle del cauca,6946.0,7879.0,7746.0,8419.0,7762.0,7000.0,7042.0,7392.0,7367.0,7066.0,6277.0
23,vaupes,,,,42.0,86.0,157.0,177.0,177.0,180.0,174.0,42.0
24,vichada,,,,6.0,56.0,42.0,34.0,35.0,26.0,27.0,32.0
