,Departamento,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
0,amazonas,,,1494000.0,1655000.0,5374000.0,135561.0,92875.0,168159.0,133358.0,312141.0,418873.0
1,antioquia,1285213072.0,1379587224.0,1582039020.0,2055771331.0,2124742759.0,20791183.0,23382002.0,24853235.0,31389289.0,39160346.0,43760643.0
2,arauca,20562546.0,19140765.0,49806045.0,58558000.0,34235823.0,286914.0,339891.0,660173.0,943938.0,1375032.0,1189256.0
3,atlantico,272014795.0,230712882.0,225040751.0,229431983.0,260155147.0,2843734.0,4038166.0,5867664.0,6458859.0,4973260.0,6073363.0
4,bolivar,295681197.0,383180663.0,556771211.0,646766506.0,671831771.0,7283469.0,9332410.0,11937611.0,12572746.0,19723179.0,25170558.0
5,boyaca,2145348193.0,2190930189.0,2662642557.0,2672585006.0,2693062306.0,26251992.0,30085777.0,35094394.0,39917083.0,48050219.0,56536386.0
6,caldas,1328524086.0,1453122405.0,1860969626.0,2134833626.0,2201543931.0,19570942.0,21968538.0,26756745.0,29298687.0,30598684.0,33920325.0
7,caqueta,73933017.0,82947408.0,128047449.0,151850407.0,117621816.0,1100096.0,1568128.0,1846062.0,2050320.0,3787429.0,6645800.0
8,cauca,356750088.0,483979888.0,537042940.0,572675676.0,541022759.0,5224157.0,5616477.0,6578863.0,8120692.0,,11066300.0
9,choco,,4288428.0,9626285.0,10677675.0,28700501.0,228127.0,192775.0,192934.0,306835.0,,380574.0
10,cordoba,433547892.0,457327165.0,544417025.0,553687496.0,500860775.0,5093772.0,7434824.0,11820665.0,13407970.0,,25503418.0
11,cundinamarca,2015461997.0,2166381321.0,2949209098.0,2987508822.0,2953557317.0,30639404.0,37077077.0,43370590.0,49158858.0,,51806613.0
12,guajira,,,392531747.0,277498592.0,224599950.0,2104398.0,2574714.0,4124617.0,4293855.0,6489174.0,8202655.0
13,huila,487238620.0,597240880.0,700660902.0,691660085.0,745410631.0,7748970.0,9938145.0,12122174.0,15360736.0,,23433859.0
14,magdalena,414778061.0,842021621.0,724352990.0,663329049.0,509235742.0,5675062.0,7886684.0,12054016.0,14248146.0,,32386613.0
15,meta,137571167.0,227041583.0,494052907.0,652888656.0,532891038.0,4920000.0,5785211.0,5936874.0,6546062.0,,13540693.0
16,nariño,420960638.0,525029547.0,677264367.0,837335186.0,847031111.0,8767601.0,10430223.0,11975151.0,14579890.0,,20286849.0
17,norte de santander,633887896.0,752946951.0,961531252.0,975825422.0,949852014.0,9063359.0,10417531.0,11696591.0,13228132.0,18030633.0,22002906.0
18,putumayo,4555000.0,9756123.0,8587500.0,,,,151673.0,238278.0,410199.0,586015.0,684757.0
19,san andres y providencia,2926200.0,3863400.0,5256200.0,5979176.0,5056600.0,108150.0,89254.0,138620.0,164761.0,141129.0,121380.0
20,santander,739663586.0,784110935.0,1108694368.0,1333580661.0,1457894475.0,13658856.0,17524864.0,21591245.0,29689566.0,41331177.0,45638205.0
21,tolima,1227834901.0,1387066820.0,1789842098.0,1754134504.0,1632206956.0,17863926.0,21924157.0,26423302.0,31862885.0,33190008.0,37765035.0
22,valle del cauca,980239561.0,1187702756.0,1266973285.0,1416636616.0,1412297023.0,14092574.0,15680060.0,15859646.0,17333175.0,19255475.0,19446945.0
23,vaupes,,,,12100000.0,32800000.0,626450.0,1142401.0,1107197.0,928683.0,937857.0,251120.0
24,vichada,,,,2370000.0,13025000.0,118574.0,73071.0,70920.0,66360.0,55383.0,88539.0
