,Departamento,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
0,amazonas,,,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
1,antioquia,0.0,0.0,0.0,0.0,0.0,0.0,2178.0,2188.0,2089.0,2041.0,2190.0
2,arauca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0
3,atlantico,0.0,0.0,0.0,0.0,0.0,0.0,145.0,144.0,135.0,127.0,120.0
4,bolivar,0.0,0.0,0.0,0.0,0.0,0.0,560.0,580.0,571.0,569.0,585.0
5,boyaca,0.0,0.0,0.0,0.0,0.0,0.0,2131.0,2128.0,2008.0,1914.0,1952.0
6,caldas,0.0,0.0,0.0,0.0,0.0,0.0,1767.0,1788.0,1720.0,1742.0,1935.0
7,caqueta,0.0,0.0,0.0,0.0,0.0,0.0,14.0,58.0,93.0,222.0,373.0
8,cauca,0.0,0.0,0.0,0.0,0.0,0.0,1065.0,1097.0,1118.0,,1216.0
9,choco,,0.0,0.0,0.0,0.0,0.0,28.0,29.0,29.0,,31.0
10,cordoba,0.0,0.0,0.0,0.0,0.0,0.0,141.0,151.0,138.0,,143.0
11,cundinamarca,0.0,0.0,0.0,0.0,0.0,0.0,4491.0,4812.0,4768.0,,3228.0
12,guajira,,,0.0,0.0,0.0,0.0,148.0,163.0,155.0,155.0,163.0
13,huila,0.0,0.0,0.0,0.0,0.0,0.0,561.0,645.0,689.0,,909.0
14,magdalena,0.0,0.0,0.0,0.0,0.0,0.0,400.0,427.0,427.0,,429.0
15,meta,0.0,0.0,0.0,0.0,0.0,0.0,199.0,252.0,275.0,,360.0
16,nariño,0.0,0.0,0.0,0.0,0.0,0.0,492.0,515.0,533.0,,657.0
17,norte de santander,0.0,0.0,0.0,0.0,0.0,0.0,551.0,500.0,465.0,462.0,462.0
18,putumayo,0.0,0.0,0.0,,,,47.0,54.0,62.0,69.0,78.0
19,san andres y providencia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,santander,0.0,0.0,0.0,0.0,0.0,0.0,826.0,806.0,851.0,958.0,1194.0
21,tolima,0.0,0.0,0.0,0.0,0.0,0.0,1694.0,1618.0,1641.0,1752.0,2125.0
22,valle del cauca,0.0,0.0,0.0,0.0,0.0,0.0,1797.0,1810.0,1788.0,1818.0,1917.0
23,vaupes,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,vichada,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
