,Departamento,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
0,amazonas,,,0.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0
1,antioquia,0.0,0.0,0.0,0.0,0.0,0.0,11067313.0,10619433.0,9291917.0,8856465.0,10481438.0
2,arauca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14300.0,13900.0,13900.0,13900.0
3,atlantico,0.0,0.0,0.0,0.0,0.0,0.0,920611.0,853389.0,732180.0,688866.0,550595.0
4,bolivar,0.0,0.0,0.0,0.0,0.0,0.0,4041231.0,4251811.0,3853642.0,3767464.0,4370227.0
5,boyaca,0.0,0.0,0.0,0.0,0.0,0.0,8583716.0,8793233.0,7842968.0,7793211.0,8902895.0
6,caldas,0.0,0.0,0.0,0.0,0.0,0.0,9867462.0,9579060.0,8796281.0,8832798.0,11956036.0
7,caqueta,0.0,0.0,0.0,0.0,0.0,0.0,49866.0,217669.0,380408.0,870666.0,1603811.0
8,cauca,0.0,0.0,0.0,0.0,0.0,0.0,3377517.0,3453123.0,3572132.0,,5077580.0
9,choco,,0.0,0.0,0.0,0.0,0.0,73044.0,94035.0,88569.0,,171456.0
10,cordoba,0.0,0.0,0.0,0.0,0.0,0.0,964401.0,1111782.0,1071115.0,,1680263.0
11,cundinamarca,0.0,0.0,0.0,0.0,0.0,0.0,22566806.0,25677531.0,29721192.0,,17221170.0
12,guajira,,,0.0,0.0,0.0,0.0,781980.0,861311.0,777678.0,751690.0,982237.0
13,huila,0.0,0.0,0.0,0.0,0.0,0.0,2920239.0,3125828.0,3211098.0,,6204077.0
14,magdalena,0.0,0.0,0.0,0.0,0.0,0.0,2019661.0,2048538.0,2004270.0,,2378979.0
15,meta,0.0,0.0,0.0,0.0,0.0,0.0,1014871.0,1446908.0,1564519.0,,2398217.0
16,nariño,0.0,0.0,0.0,0.0,0.0,0.0,2399743.0,2526967.0,2391927.0,,2877775.0
17,norte de santander,0.0,0.0,0.0,0.0,0.0,0.0,3006510.0,2766435.0,2486787.0,2498087.0,2991643.0
18,putumayo,0.0,0.0,0.0,,,,184620.0,206413.0,219767.0,306882.0,450322.0
19,san andres y providencia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,santander,0.0,0.0,0.0,0.0,0.0,0.0,5084108.0,5127732.0,5299633.0,6284665.0,9141320.0
21,tolima,0.0,0.0,0.0,0.0,0.0,0.0,8719465.0,8479140.0,12469012.0,18152416.0,22049056.0
22,valle del cauca,0.0,0.0,0.0,0.0,0.0,0.0,9521933.0,9472407.0,9063016.0,9210926.0,10845876.0
23,vaupes,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,vichada,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
