,Departamento,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
0,amazonas,,,4.0,18.0,19.0,37.0,52.0,53.0,52.0,63.0,54.0
1,antioquia,2786.0,3680.0,5152.0,6851.0,8352.0,8805.0,7828.0,9090.0,9928.0,10804.0,12183.0
2,arauca,91.0,81.0,1572.0,1689.0,1817.0,1603.0,1502.0,1463.0,1429.0,1419.0,1507.0
3,atlantico,281.0,328.0,365.0,585.0,772.0,843.0,817.0,884.0,941.0,1045.0,1203.0
4,bolivar,2954.0,3167.0,3457.0,4277.0,4969.0,5333.0,5048.0,5172.0,5496.0,5727.0,7182.0
5,boyaca,2082.0,3239.0,7767.0,8207.0,8804.0,7988.0,6630.0,7170.0,7501.0,8119.0,9699.0
6,caldas,2988.0,3553.0,4167.0,5557.0,6455.0,6169.0,4599.0,5167.0,5687.0,6427.0,7137.0
7,caqueta,298.0,407.0,480.0,491.0,481.0,456.0,497.0,625.0,1106.0,1600.0,2229.0
8,cauca,992.0,1139.0,1258.0,1917.0,2021.0,1872.0,1638.0,2371.0,2711.0,,3835.0
9,choco,,15.0,41.0,49.0,94.0,94.0,91.0,89.0,90.0,,132.0
10,cordoba,1262.0,1341.0,1613.0,2178.0,2713.0,2771.0,3006.0,3470.0,3913.0,,4557.0
11,cundinamarca,2483.0,3564.0,5859.0,7933.0,8834.0,9166.0,7697.0,9590.0,10236.0,,8863.0
12,guajira,,,850.0,1003.0,1073.0,979.0,951.0,951.0,928.0,1004.0,1315.0
13,huila,1151.0,1599.0,2656.0,3060.0,3176.0,3193.0,2936.0,5713.0,6250.0,,7301.0
14,magdalena,2996.0,3159.0,2822.0,3170.0,3245.0,3149.0,3183.0,3649.0,3808.0,,5867.0
15,meta,149.0,2463.0,5445.0,5284.0,5056.0,4886.0,4823.0,4916.0,5279.0,,5947.0
16,nariño,2341.0,2336.0,2456.0,3379.0,3685.0,3622.0,3072.0,3308.0,3477.0,,4623.0
17,norte de santander,1512.0,2017.0,2356.0,2944.0,3131.0,2744.0,2183.0,2156.0,2472.0,2983.0,3548.0
18,putumayo,91.0,334.0,441.0,,,,496.0,643.0,760.0,798.0,931.0
19,san andres y providencia,4.0,13.0,17.0,23.0,22.0,16.0,12.0,11.0,12.0,14.0,11.0
20,santander,2018.0,2929.0,4488.0,5577.0,6296.0,6813.0,6053.0,6657.0,7284.0,8757.0,10312.0
21,tolima,2781.0,3347.0,5121.0,6238.0,6122.0,5869.0,6415.0,11784.0,12926.0,13242.0,13307.0
22,valle del cauca,2786.0,3702.0,4360.0,5494.0,5767.0,5436.0,4177.0,5143.0,5507.0,5865.0,5925.0
23,vaupes,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
24,vichada,,,,5.0,17.0,17.0,13.0,15.0,11.0,14.0,20.0
