,Departamento,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
0,amazonas,,,3025000.0,8192400.0,3572000.0,80294.0,167195.0,219083.0,182176.0,206044.0,190912.0
1,antioquia,910627748.0,911284757.0,1642250692.0,2473534528.0,3073880322.0,34755685.0,28954540.0,34947280.0,38894893.0,46433241.0,58685710.0
2,arauca,26686870.0,24257777.0,220004500.0,293059877.0,319604453.0,2822316.0,2467912.0,2689994.0,2925040.0,3583688.0,4028332.0
3,atlantico,171672950.0,168048160.0,196091894.0,380899903.0,484775966.0,4731913.0,4847600.0,6676879.0,6995110.0,8247709.0,11001568.0
4,bolivar,1011291264.0,1133054902.0,1523169811.0,2168704337.0,2482157190.0,25615712.0,24992013.0,29931519.0,34475465.0,39767289.0,54607569.0
5,boyaca,539870401.0,676104522.0,1296163524.0,1749282068.0,1917514545.0,18315349.0,15747649.0,18545184.0,21361110.0,26444197.0,34269482.0
6,caldas,903969088.0,985939101.0,1356254445.0,2047541300.0,2499973918.0,26228774.0,18586551.0,22969642.0,26781589.0,32380120.0,37967546.0
7,caqueta,95063676.0,102934456.0,137790281.0,145118002.0,135352591.0,1290215.0,1664683.0,2434235.0,4615566.0,6570052.0,9248592.0
8,cauca,294844542.0,350806891.0,409665826.0,585736580.0,610541888.0,5541627.0,7046737.0,10257317.0,11680953.0,,16673247.0
9,choco,,2899541.0,5718022.0,6362433.0,16017450.0,146337.0,163163.0,189084.0,156511.0,,269605.0
10,cordoba,473615310.0,526078317.0,739530688.0,1138690541.0,1408336239.0,14566750.0,17150296.0,24558918.0,29348572.0,,42011804.0
11,cundinamarca,1064508812.0,1378473354.0,2155903026.0,3381872033.0,4512152182.0,48190640.0,38906477.0,49779603.0,54660348.0,,31530673.0
12,guajira,,,246519853.0,334838608.0,377233348.0,3468977.0,3716816.0,5185712.0,5091198.0,6685894.0,9616547.0
13,huila,298694229.0,439459175.0,645197244.0,810060651.0,885850450.0,9477092.0,10356103.0,21615625.0,24034988.0,,29281838.0
14,magdalena,947031009.0,1071187048.0,1123883722.0,1402515395.0,1566131136.0,14654846.0,17437909.0,24409390.0,26371993.0,,54355139.0
15,meta,54251109.0,260340066.0,585281532.0,742680232.0,885612470.0,8258183.0,8579580.0,10816471.0,14506794.0,,21724831.0
16,nariño,448114154.0,448689803.0,529097277.0,711289845.0,803945989.0,8411105.0,7552889.0,8335442.0,9752887.0,,12365057.0
17,norte de santander,500213943.0,679777565.0,840176250.0,1129120310.0,1214846006.0,10871814.0,8757218.0,9371840.0,12035451.0,15635643.0,20011869.0
18,putumayo,14159000.0,47095302.0,46625749.0,,,,665260.0,842429.0,1106709.0,1579070.0,1907221.0
19,san andres y providencia,390000.0,1216000.0,2071243.0,2861903.0,1791300.0,22942.0,24962.0,19760.0,41385.0,61587.0,50529.0
20,santander,557316880.0,652084529.0,1026167191.0,1546459277.0,1924466524.0,21051232.0,18812110.0,23031475.0,28889780.0,38009107.0,48965663.0
21,tolima,932613819.0,1176806461.0,1706159205.0,2129372011.0,2223584796.0,22429532.0,28152491.0,48209381.0,51482102.0,51617377.0,50825533.0
22,valle del cauca,1022557686.0,1205013764.0,1508340037.0,2146247967.0,2591557908.0,27587967.0,23722577.0,32701523.0,34554946.0,42393130.0,45356148.0
23,vaupes,,,,0.0,0.0,9.0,0.0,4583.0,3749.0,2915.0,5670.0
24,vichada,,,,1810000.0,7520000.0,59627.0,59946.0,55705.0,36658.0,43402.0,90139.0
