,Departamento,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
0,amazonas,,,21.0,29.0,45.0,85.0,111.0,143.0,123.0,161.0,195.0
1,antioquia,14452.0,15689.0,19488.0,22414.0,24302.0,23458.0,24572.0,26571.0,28421.0,30640.0,33352.0
2,arauca,235.0,208.0,1761.0,1932.0,2006.0,1777.0,1673.0,1700.0,1709.0,1767.0,1789.0
3,atlantico,1390.0,1598.0,1746.0,2142.0,2646.0,3090.0,3669.0,3739.0,3814.0,4200.0,4281.0
4,bolivar,6587.0,7036.0,6839.0,8644.0,9146.0,9933.0,11533.0,12222.0,12591.0,15240.0,19355.0
5,boyaca,29386.0,29308.0,35116.0,35949.0,36134.0,33706.0,35978.0,37373.0,37544.0,40687.0,43966.0
6,caldas,13107.0,14385.0,15820.0,19005.0,19390.0,16753.0,17257.0,19689.0,20969.0,20839.0,22138.0
7,caqueta,1352.0,1411.0,1747.0,1848.0,1580.0,1357.0,1508.0,1715.0,2320.0,3748.0,6403.0
8,cauca,5281.0,6593.0,6477.0,7570.0,7270.0,6817.0,7639.0,8958.0,10261.0,,13196.0
9,choco,,162.0,358.0,529.0,722.0,674.0,643.0,600.0,609.0,,592.0
10,cordoba,4921.0,4696.0,5207.0,5488.0,5769.0,5615.0,6842.0,8836.0,9822.0,,15219.0
11,cundinamarca,19824.0,22455.0,26878.0,30072.0,28780.0,28160.0,32218.0,36110.0,37533.0,,35548.0
12,guajira,,,2937.0,2435.0,2112.0,2001.0,2296.0,2681.0,2638.0,3210.0,3712.0
13,huila,5747.0,6743.0,8026.0,8577.0,8687.0,7895.0,8719.0,12610.0,14039.0,,17104.0
14,magdalena,5334.0,7661.0,5830.0,5978.0,5380.0,5348.0,6203.0,7567.0,8521.0,,14372.0
15,meta,1009.0,3440.0,7379.0,7543.0,7320.0,7182.0,7512.0,7760.0,8471.0,,11021.0
16,nariño,7378.0,7796.0,8832.0,10891.0,10972.0,10898.0,11790.0,12433.0,13745.0,,16758.0
17,norte de santander,6607.0,7644.0,8552.0,9482.0,9560.0,8332.0,8602.0,8878.0,9611.0,11613.0,13326.0
18,putumayo,172.0,490.0,625.0,,,,802.0,1040.0,1186.0,1297.0,1455.0
19,san andres y providencia,82.0,107.0,92.0,126.0,105.0,109.0,100.0,98.0,101.0,116.0,98.0
20,santander,10146.0,11804.0,15390.0,18597.0,20053.0,19052.0,20305.0,22279.0,26575.0,31677.0,33929.0
21,tolima,12044.0,13991.0,17668.0,18500.0,17436.0,17304.0,20125.0,27162.0,29923.0,30472.0,31216.0
22,valle del cauca,9732.0,11581.0,12106.0,13913.0,13529.0,12436.0,13016.0,14345.0,14662.0,14749.0,14119.0
23,vaupes,,,,42.0,86.0,157.0,177.0,178.0,181.0,175.0,43.0
24,vichada,,,,11.0,73.0,59.0,47.0,50.0,37.0,41.0,52.0
