,Departamento,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
0,amazonas,,,4519000.0,9847400.0,8946000.0,215855.0,305070.0,387242.0,315534.0,518185.0,609785.0
1,antioquia,2195840820.0,2290861881.0,3224289512.0,4529305859.0,5199623181.0,55446868.0,63403855.0,70419948.0,79576099.0,94450052.0,112927791.0
2,arauca,47249416.0,43398542.0,269810545.0,351617877.0,353840276.0,3109230.0,2807803.0,3364467.0,3882878.0,4972620.0,5231488.0
3,atlantico,443687745.0,398761042.0,421132645.0,610331886.0,744931113.0,7575647.0,9806377.0,13397932.0,14186149.0,13909835.0,17625526.0
4,bolivar,1306972651.0,1516235545.0,2079941022.0,2815470843.0,3153988861.0,32900181.0,38365654.0,46120941.0,50901853.0,63257932.0,84148354.0
5,boyaca,2685218594.0,2867034701.0,3959806081.0,4421867074.0,4610576851.0,44567341.0,54411142.0,62432811.0,69121161.0,81287727.0,99708763.0
6,caldas,2232493174.0,2437960516.0,3217224071.0,4182354926.0,4701517849.0,45799716.0,50422551.0,59305447.0,64876556.0,71811602.0,83843907.0
7,caqueta,168996693.0,185881864.0,265837730.0,296968409.0,252974407.0,2390311.0,3282677.0,4497966.0,7046294.0,11228147.0,17498203.0
8,cauca,651594632.0,834786779.0,946709766.0,1158412256.0,1151564647.0,10765784.0,16040731.0,20289303.0,23373777.0,,32817127.0
9,choco,,7187969.0,15344307.0,17040108.0,44717951.0,374464.0,428982.0,476053.0,551915.0,,821635.0
10,cordoba,907157204.0,983405482.0,1283947713.0,1692378037.0,1909197014.0,19660522.0,25549521.0,37491365.0,43827657.0,,69195485.0
11,cundinamarca,3079070821.0,3544834675.0,5105111624.0,6369380855.0,7474809499.0,78830044.0,96652885.0,118827724.0,133540400.0,,100558456.0
12,guajira,,,639051600.0,612337200.0,601833298.0,5573375.0,7073510.0,10171640.0,10162731.0,13926758.0,18801439.0
13,huila,785932849.0,1036700115.0,1345858146.0,1501720736.0,1631261081.0,17226062.0,23214487.0,36863627.0,42606822.0,,58919774.0
14,magdalena,1361799070.0,1913208799.0,1848236712.0,2065844444.0,2075366878.0,20329908.0,27344254.0,38511944.0,42624409.0,,89120731.0
15,meta,191822276.0,487381649.0,1079334439.0,1395568888.0,1418503508.0,13178183.0,15379662.0,18200253.0,22617375.0,,37663741.0
16,nariño,869074792.0,973629350.0,1206361644.0,1548625031.0,1650977100.0,17178706.0,20382855.0,22837560.0,26724704.0,,35529681.0
17,norte de santander,1134101839.0,1432724576.0,1801707502.0,2104945732.0,2164698020.0,19935673.0,22181259.0,23834866.0,27750370.0,36164363.0,45006418.0
18,putumayo,18714000.0,56851425.0,55213249.0,,,,1001553.0,1287120.0,1736675.0,2471967.0,3042300.0
19,san andres y providencia,3316200.0,5079400.0,7327443.0,8841079.0,6847900.0,131092.0,114216.0,158380.0,206146.0,202716.0,171909.0
20,santander,1296980466.0,1436195464.0,2134861559.0,2880039938.0,3382360999.0,34710088.0,41421082.0,49750452.0,63878979.0,85624949.0,103745188.0
21,tolima,2160453700.0,2563873271.0,3496001303.0,3883506515.0,3855791752.0,40293458.0,58796114.0,83111823.0,95813999.0,103959801.0,110639624.0
22,valle del cauca,2002800447.0,2392656520.0,2775313322.0,3562884583.0,4003854931.0,41680541.0,48924570.0,58033576.0,60951137.0,70859531.0,75648969.0
23,vaupes,,,,12100000.0,32800000.0,626450.0,1142401.0,1111780.0,932432.0,940772.0,256790.0
24,vichada,,,,4180000.0,20545000.0,178201.0,133017.0,126625.0,103018.0,98785.0,178678.0
