,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,amazonas,1954,17,1494000,4,3025000,0,0,21,4519000
1,amazonas,1955,11,1655000,18,8192400,0,0,29,9847400
2,amazonas,1956,26,5374000,19,3572000,0,0,45,8946000
3,amazonas,1957,48,135561,37,80294,0,0,85,215855
4,amazonas,1958,50,92875,52,167195,9,45000,111,305070
5,amazonas,1959,90,168159,53,219083,0,0,143,387242
6,amazonas,1960,71,133358,52,182176,0,0,123,315534
7,amazonas,1961,98,312141,63,206044,0,0,161,518185
228,amazonas,1962,141,418873,54,190912,0,0,195,609785
8,antioquia,1952,11666,1285213072,2786,910627748,0,0,14452,2195840820
9,antioquia,1953,12009,1379587224,3680,911284757,0,0,15689,2290861881
10,antioquia,1954,14336,1582039020,5152,1642250692,0,0,19488,3224289512
11,antioquia,1955,15563,2055771331,6851,2473534528,0,0,22414,4529305859
12,antioquia,1956,15950,2124742759,8352,3073880322,0,0,24302,5199623181
13,antioquia,1957,14653,20791183,8805,34755685,0,0,23458,55446868
14,antioquia,1958,14566,23382002,7828,28954540,2178,11067313,24572,63403855
15,antioquia,1959,15293,24853235,9090,34947280,2188,10619433,26571,70419948
16,antioquia,1960,16404,31389289,9928,38894893,2089,9291917,28421,79576099
17,antioquia,1961,17795,39160346,10804,46433241,2041,8856465,30640,94450052
229,antioquia,1962,18979,43760643,12183,58685710,2190,10481438,33352,112927791
18,arauca,1952,144,20562546,91,26686870,0,0,235,47249416
19,arauca,1953,127,19140765,81,24257777,0,0,208,43398542
20,arauca,1954,189,49806045,1572,220004500,0,0,1761,269810545
21,arauca,1955,243,58558000,1689,293059877,0,0,1932,351617877
22,arauca,1956,189,34235823,1817,319604453,0,0,2006,353840276
23,arauca,1957,174,286914,1603,2822316,0,0,1777,3109230
24,arauca,1958,171,339891,1502,2467912,0,0,1673,2807803
25,arauca,1959,233,660173,1463,2689994,4,14300,1700,3364467
26,arauca,1960,276,943938,1429,2925040,4,13900,1709,3882878
27,arauca,1961,344,1375032,1419,3583688,4,13900,1767,4972620
230,arauca,1962,278,1189256,1507,4028332,4,13900,1789,5231488
28,atlantico,1952,1109,272014795,281,171672950,0,0,1390,443687745
29,atlantico,1953,1270,230712882,328,168048160,0,0,1598,398761042
30,atlantico,1954,1381,225040751,365,196091894,0,0,1746,421132645
31,atlantico,1955,1557,229431983,585,380899903,0,0,2142,610331886
32,atlantico,1956,1874,260155147,772,484775966,0,0,2646,744931113
33,atlantico,1957,2247,2843734,843,4731913,0,0,3090,7575647
34,atlantico,1958,2707,4038166,817,4847600,145,920611,3669,9806377
35,atlantico,1959,2711,5867664,884,6676879,144,853389,3739,13397932
36,atlantico,1960,2738,6458859,941,6995110,135,732180,3814,14186149
37,atlantico,1961,3028,4973260,1045,8247709,127,688866,4200,13909835
231,atlantico,1962,2958,6073363,1203,11001568,120,550595,4281,17625526
38,bolivar,1952,3633,295681197,2954,1011291264,0,0,6587,1306972651
39,bolivar,1953,3869,383180663,3167,1133054902,0,0,7036,1516235545
40,bolivar,1954,4382,556771211,3457,1523169811,0,0,6839,2079941022
41,bolivar,1955,4367,646766506,4277,2168704337,0,0,8644,2815470843
42,bolivar,1956,4177,671831771,4969,2482157190,0,0,9146,3153988861
43,bolivar,1957,4600,7283469,5333,25615712,0,0,9933,32900181
44,bolivar,1958,5925,9332410,5048,24992013,560,4041231,11533,38365654
45,bolivar,1959,6470,11937611,5172,29931519,580,4251811,12222,46120941
46,bolivar,1960,6524,12572746,5496,34475465,571,3853642,12591,50901853
47,bolivar,1961,8944,19723179,5727,39767289,569,3767464,15240,63257932
232,bolivar,1962,11588,25170558,7182,54607569,585,4370227,19355,84148354
48,boyaca,1952,27304,2145348193,2082,539870401,0,0,29386,2685218594
49,boyaca,1953,26069,2190930189,3239,676104522,0,0,29308,2867034701
50,boyaca,1954,27349,2662642557,7767,1296163524,0,0,35116,3959806081
51,boyaca,1955,27742,2672585006,8207,1749282068,0,0,35949,4421867074
52,boyaca,1956,27330,2693062306,8804,1917514545,0,0,36134,4610576851
53,boyaca,1957,25718,26251992,7988,18315349,0,0,33706,44567341
54,boyaca,1958,27217,30085777,6630,15747649,2131,8583716,35978,54411142
55,boyaca,1959,28075,35094394,7170,18545184,2128,8793233,37373,62432811
56,boyaca,1960,28035,39917083,7501,21361110,2008,7842968,37544,69121161
57,boyaca,1961,30654,48050219,8119,26444197,1914,7793211,40687,81287727
233,boyaca,1962,32315,56536386,9699,34269482,1952,8902895,43966,99708763
58,caldas,1952,10119,1328524086,2988,903969088,0,0,13107,2232493174
59,caldas,1953,10832,1453122405,3553,985939101,0,0,14385,2437960516
60,caldas,1954,11654,1860969626,4167,1356254445,0,0,15820,3217224071
61,caldas,1955,13448,2134833626,5557,2047541300,0,0,19005,4182354926
62,caldas,1956,12935,2201543931,6455,2499973918,0,0,19390,4701517849
63,caldas,1957,10584,19570942,6169,26228774,0,0,16753,45799716
64,caldas,1958,10891,21968538,4599,18586551,1767,9867462,17257,50422551
65,caldas,1959,12734,26756745,5167,22969642,1788,9579060,19689,59305447
66,caldas,1960,13562,29298687,5687,26781589,1720,8796281,20969,64876556
67,caldas,1961,12670,30598684,6427,32380120,1742,8832798,20839,71811602
